uid,pair_id,side,text,Segment,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,quantity
p00000_A,00000,A,it was my father s last request to me that i should assist his widow and daughters,1,64.71,58.82,35.29,23.53,17.65,0,0,5.88,0,11.76,0,5.88,11.76,0,5.88,0,0
p00001_A,00001,A,he did not know what he was talking of i dare say ten to one but he was light headed at the time had he been in his right senses he could not have thought of such a thing as begging you to give away half your fortune from your own child,1,82.69,69.23,23.08,19.23,1.92,0,5.77,11.54,0,3.85,3.85,17.31,13.46,0,3.85,3.85,5.77
p00002_A,00002,A,he did not stipulate for any particular sum my dear fanny he only requested me in general terms to assist them and make their situation more comfortable than it was in his power to do perhaps it would have been as well if he had left it wholly to myself he could hardly suppose i should neglect them but as he required the promise i could not do less than give it at least i thought so at the time the promise therefore was given and must be performed something must be done for them whenever they leave norland and settle in a new home,1,83.81,70.48,20.95,16.19,5.71,0,0,5.71,4.76,4.76,3.81,13.33,14.29,7.62,10.48,1.9,4.76
p00003_A,00003,A,well then let something be done for them but that something need not be three thousand pounds consider that when the money is once parted with it never can return your sisters will marry and it will be gone for ever if indeed it could be restored to our poor little boy,1,86.54,73.08,19.23,5.77,0,1.92,1.92,0,1.92,13.46,1.92,7.69,19.23,11.54,9.62,3.85,9.62
p00004_A,00004,A,why to be sure that would make great difference the time may come when harry will regret that so large a sum was parted with if he should have a numerous family for instance it would be a very convenient addition,1,82.93,60.98,9.76,2.44,0,0,0,2.44,0,7.32,9.76,7.32,21.95,9.76,7.32,0,9.76
p00005_A,00005,A,to be sure it would,1,100,80,20,0,0,0,0,0,0,20,0,20,40,0,0,0,0
p00006_A,00006,A,perhaps then it would be better for all parties if the sum were diminished one half five hundred pounds would be a prodigious increase to their fortunes,1,85.19,66.67,7.41,3.7,0,0,0,0,3.7,3.7,7.41,7.41,18.52,3.7,7.41,0,29.63
p00007_A,00007,A,oh beyond anything great what brother on earth would do half so much for his sisters even if really his sisters and as it is only half blood but you have such a generous spirit,1,80,68.57,17.14,8.57,0,0,2.86,5.71,0,8.57,2.86,11.43,11.43,14.29,14.29,0,8.57
p00008_A,00008,A,i would not wish to do any thing mean one had rather on such occasions do too much than too little no one at least can think i have not done enough for them even themselves they can hardly expect more,1,87.8,80.49,17.07,12.2,4.88,0,0,0,7.32,4.88,0,12.2,19.51,12.2,2.44,7.32,14.63
p00009_A,00009,A,there is no knowing what they may expect but we are not to think of their expectations the question is what you can afford to do,1,84.62,76.92,23.08,15.38,0,3.85,3.85,0,7.69,7.69,3.85,11.54,23.08,3.85,3.85,7.69,0
p00010_A,00010,A,certainly and i think i may afford to give them five hundred pounds a piece as it is without any addition of mine they will each have about three thousand pounds on their mother s death a very comfortable fortune for any young woman,1,86.36,68.18,15.91,13.64,6.82,0,0,0,6.82,2.27,4.55,15.91,9.09,9.09,4.55,0,18.18
p00011_A,00011,A,to be sure it is and indeed it strikes me that they can want no addition at all they will have ten thousand pounds divided amongst them if they marry they will be sure of doing well and if they do not they may all live very comfortably together on the interest of ten thousand pounds,1,89.29,76.79,19.64,14.29,1.79,0,0,0,12.5,5.36,1.79,10.71,17.86,5.36,7.14,3.57,16.07
