uid,pair_id,side,text
p00000_A,00000,A,you may esteem him
p00001_A,00001,A,as for the house itself to be sure it is too small for our family but we will make ourselves tolerably comfortable for the present as it is too late in the year for improvements perhaps in the spring if i have plenty of money as i dare say i shall we may think about building these parlors are both too small for such parties of our friends as i hope to see often collected here and i have some thoughts of throwing the passage into one of them with perhaps a part of the other and so leave the remainder of that other for an entrance this with a new drawing room which may be easily added and a bed chamber and garret above will make it a very snug little cottage i could wish the stairs were handsome but one must not expect every thing though i suppose it would be no difficult matter to widen them i shall see how much i am before hand with the world in the spring and we will plan our improvements accordingly
p00002_A,00002,A,infirmity do you call colonel brandon infirm i can easily suppose that his age may appear much greater to you than to my mother but you can hardly deceive yourself as to his having the use of his limbs
p00003_A,00003,A,my dearest child at this rate you must be in continual terror of my decay and it must seem to you a miracle that my life has been extended to the advanced age of forty
p00004_A,00004,A,had he been only in a violent fever you would not have despised him half so much confess marianne is not there something interesting to you in the flushed cheek hollow eye and quick pulse of a fever
p00005_A,00005,A,i rather think you are mistaken for when i was talking to her yesterday of getting a new grate for the spare bedchamber she observed that there was no immediate hurry for it as it was not likely that the room would be wanted for some time
p00006_A,00006,A,and what sort of a young man is he
p00007_A,00007,A,and is that all you can say for him but what are his manners on more intimate acquaintance what his pursuits his talents and genius
p00008_A,00008,A,but who is he where does he come from has he a house at allenham
p00009_A,00009,A,i do not believe that mr willoughby will be incommoded by the attempts of either of my daughters towards what you call catching him it is not an employment to which they have been brought up men are very safe with us let them be ever so rich i am glad to find however from what you say that he is a respectable young man and one whose acquaintance will not be ineligible
p00010_A,00010,A,that is an expression sir john which i particularly dislike i abhor every common place phrase by which wit is intended and setting one s cap at a man or making a conquest are the most odious of all their tendency is gross and illiberal and if their construction could ever be deemed clever time has long ago destroyed all its ingenuity
p00011_A,00011,A,ay you will make conquests enough i dare say one way or other poor brandon he is quite smitten already and he is very well worth setting your cap at i can tell you in spite of all this tumbling about and spraining of ankles
p00012_A,00012,A,well marianne for one morning i think you have done pretty well you have already ascertained mr willoughby s opinion in almost every matter of importance you know what he thinks of cowper and scott you are certain of his estimating their beauties as he ought and you have received every assurance of his admiring pope no more than is proper but how is your acquaintance to be long supported under such extraordinary despatch of every subject for discourse you will soon have exhausted each favourite topic another meeting will suffice to explain his sentiments on picturesque beauty and second marriages and then you can have nothing farther to ask
p00013_A,00013,A,my love you must not be offended with elinor she was only in jest i should scold her myself if she were capable of wishing to check the delight of your conversation with our new friend
p00014_A,00014,A,brandon is just the kind of man whom every body speaks well of and nobody cares about whom all are delighted to see and nobody remembers to talk to
p00015_A,00015,A,that is exactly what i think of him
p00016_A,00016,A,in defence of your prot g you can even be saucy
p00017_A,00017,A,that is to say he has told you that in the east indies the climate is hot and the mosquitoes are troublesome
p00018_A,00018,A,i may venture to say that his observations have stretched much further than your candour but why should you dislike him
p00019_A,00019,A,i do not dislike him i consider him on the contrary as a very respectable man who has every body s good word and nobody s notice who has more money than he can spend more time than he knows how to employ and two new coats every year
p00020_A,00020,A,add to which that he has neither genius taste nor spirit that his understanding has no brilliancy his feelings no ardour and his voice no expression
p00021_A,00021,A,miss dashwood you are now using me unkindly you are endeavouring to disarm me by reason and to convince me against my will but it will not do you shall find me as stubborn as you can be artful i have three unanswerable reasons for disliking colonel brandon he threatened me with rain when i wanted it to be fine he has found fault with the hanging of my curricle and i cannot persuade him to buy my brown mare if it will be any satisfaction to you however to be told that i believe his character to be in other respects irreproachable i am ready to confess it and in return for an acknowledgment which must give me some pain you cannot deny me the privilege of disliking him as much as ever
p00022_A,00022,A,take care margaret it may be only the hair of some great uncle of his
p00023_A,00023,A,remember that whatever your conjectures may be you have no right to repeat them
p00024_A,00024,A,yes yes we can guess where he is at his own house at norland to be sure he is the curate of the parish i dare say
p00025_A,00025,A,well then he is lately dead marianne for i am sure there was such a man once and his name begins with an f
p00026_A,00026,A,what is the matter with brandon
p00027_A,00027,A,no ma am it came from town and is merely a letter of business
p00028_A,00028,A,my dear madam recollect what you are saying
p00029_A,00029,A,in town what can you have to do in town at this time of year
p00030_A,00030,A,my own loss is great in being obliged to leave so agreeable a party but i am the more concerned as i fear my presence is necessary to gain your admittance at whitwell
p00031_A,00031,A,but if you write a note to the housekeeper mr brandon will it not be sufficient
p00032_A,00032,A,we must go it shall not be put off when we are so near it you cannot go to town till tomorrow brandon that is all
