A,B,i_text,j_text,article_i_count,article_j_count,article_i_present,article_j_present,auxverb_i_count,auxverb_j_count,auxverb_i_present,auxverb_j_present,conj_i_count,conj_j_count,conj_i_present,conj_j_present,adverb_i_count,adverb_j_count,adverb_i_present,adverb_j_present,ipron_i_count,ipron_j_count,ipron_i_present,ipron_j_present,negate_i_count,negate_j_count,negate_i_present,negate_j_present,ppron_i_count,ppron_j_count,ppron_i_present,ppron_j_present,prep_i_count,prep_j_count,prep_i_present,prep_j_present,quant_i_count,quant_j_count,quant_i_present,quant_j_present,i_tokens,j_tokens,i_merge_id,j_merge_id,i_addressees,A_gender,A_category,B_gender,B_category
Mrs. Bennet,Mr. Bennet,it will be no use to us if twenty such should come since you will not visit them,i hope mr bingley will like it lizzy,0,0,0,0,4,1,1,1,2,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,4,2,1,1,1,0,1,0,0,0,0,0,18,8,24,26,Mr. Bennet,F,major,M,intermediate
Mr. Bennet,Mrs. Bennet,depend upon it my dear that when there are twenty i will visit them all,we are not in a way to know what mr bingley likes since we are not to visit,0,1,0,1,1,2,1,1,3,1,1,1,0,0,0,0,1,0,1,0,0,2,0,1,4,2,1,1,0,1,0,1,0,0,0,0,15,18,25,27,Mrs. Bennet,M,intermediate,F,major
Mr. Bennet,Elizabeth,i hope mr bingley will like it lizzy,but you forget mama that we shall meet him at the assemblies and that mrs long has promised to introduce him,0,1,0,1,1,2,1,1,0,4,0,1,0,1,0,1,1,2,1,1,0,0,0,0,2,4,1,1,0,1,0,1,0,0,0,0,8,21,26,28,Elizabeth; Kitty; Lydia; Mary; Mrs. Bennet,M,intermediate,F,major
Elizabeth,Mr. Bennet,but you forget mama that we shall meet him at the assemblies and that mrs long has promised to introduce him,no more have i and i am glad to find that you do not depend on her serving you,1,0,1,0,2,2,1,1,4,2,1,1,1,0,1,0,2,1,1,1,0,2,0,1,4,5,1,1,1,1,1,1,0,0,0,0,21,19,28,30,Kitty; Lydia; Mary; Mr. Bennet; Mrs. Bennet,F,major,M,intermediate
Mrs. Bennet,Kitty,don t keep coughing so kitty for heaven s sake have a little compassion on my nerves you tear them to pieces,i do not cough for my own amusement,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,3,2,1,1,3,1,1,1,0,0,0,0,22,8,31,33,Elizabeth; Kitty; Lydia; Mary; Mr. Bennet,F,major,F,minor
Mr. Bennet,Elizabeth,kitty has no discretion in her coughs she times them ill,to morrow fortnight,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,0,0,0,0,3,0,1,0,1,0,1,0,0,0,0,0,11,3,32,34,Elizabeth; Kitty; Lydia; Mary; Mrs. Bennet,M,intermediate,F,major
Kitty,Mrs. Bennet,i do not cough for my own amusement,aye so it is and mrs long does not come back till the day before so it will be impossible for her to introduce him for she will not know him herself,0,1,0,1,1,5,1,1,0,4,0,1,0,4,0,1,0,7,0,1,1,2,1,1,2,7,1,1,1,1,1,1,0,0,0,0,8,32,33,35,Elizabeth; Lydia; Mary; Mr. Bennet; Mrs. Bennet,F,minor,F,major
Elizabeth,Mr. Bennet,to morrow fortnight,then my dear you may have the advantage of your friend and introduce mr bingley to her,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,4,0,1,0,2,0,1,0,0,0,0,3,17,34,36,Kitty; Lydia; Mary; Mr. Bennet; Mrs. Bennet,F,major,M,intermediate
Mr. Bennet,Lydia,now kitty you may cough as much as you chuse,oh i am not afraid for though i am the youngest i m the tallest,0,2,0,1,1,2,1,1,1,2,1,1,3,0,1,0,0,0,0,0,0,1,0,1,2,3,1,1,0,0,0,0,0,0,0,0,10,15,44,46,Elizabeth; Kitty; Lydia; Mary; Mrs. Bennet,M,intermediate,F,intermediate
Charlotte Lucas,Jane,my overhearings were more to the purpose than yours eliza mr darcy is not so well worth listening to as his friend is he poor eliza to be only just tolerable,are you quite sure ma am is not there a little mistake i certainly saw mr darcy speaking to her,1,1,1,1,4,2,1,1,2,0,1,0,4,3,1,1,2,1,1,1,1,1,1,1,4,3,1,1,2,1,1,1,0,0,0,0,31,20,71,73,A Young Lucas; Elizabeth; Jane; Kitty; Lydia; Maria; Mary; Mrs. Bennet,F,intermediate,F,intermediate
Mrs. Bennet,Jane,aye because she asked him at last how he liked netherfield and he could not help answering her but she said he seemed very angry at being spoke to,that he never speaks much unless among his intimate acquaintance with them he is remarkably agreeable,0,0,0,0,2,1,1,1,4,2,1,1,1,3,1,1,7,3,1,1,1,1,1,1,7,4,1,1,3,2,1,1,0,0,0,0,29,16,74,76,A Young Lucas; Charlotte Lucas; Elizabeth; Jane; Kitty; Lydia; Maria; Mary,F,major,F,intermediate
Jane,Mrs. Bennet,miss bingley told me,i do not believe a word of it my dear if he had been so very agreeable he would have talked to mrs long but i can guess how it was every body says that he is ate up with pride and i dare say he had heard somehow that mrs long does not keep a carriage and had come to the ball in a hack chaise,0,4,0,1,0,11,0,1,0,7,0,1,0,4,0,1,0,6,0,1,0,2,0,1,1,10,1,1,0,6,0,1,0,0,0,0,4,67,75,77,A Young Lucas; Charlotte Lucas; Elizabeth; Jane; Kitty; Lydia; Maria; Mary; Mrs. Bennet,F,intermediate,F,major
Jane,Charlotte Lucas,that he never speaks much unless among his intimate acquaintance with them he is remarkably agreeable,i do not mind his not talking to mrs long but i wish he had danced with eliza,0,0,0,0,1,2,1,1,2,1,1,1,3,0,1,0,3,2,1,1,1,2,1,1,4,4,1,1,2,2,1,1,0,0,0,0,16,18,76,78,A Young Lucas; Charlotte Lucas; Elizabeth; Kitty; Lydia; Maria; Mary; Mrs. Bennet,F,intermediate,F,intermediate
Charlotte Lucas,Elizabeth,i do not mind his not talking to mrs long but i wish he had danced with eliza,i believe ma am i may safely promise you never to dance with him,0,0,0,0,2,2,1,1,1,0,1,0,0,2,0,1,2,1,1,1,2,1,1,1,4,4,1,1,2,1,1,1,0,0,0,0,18,14,78,80,A Young Lucas; Elizabeth; Jane; Kitty; Lydia; Maria; Mary; Mrs. Bennet,F,intermediate,F,major
Mrs. Bennet,Charlotte Lucas,another time lizzy i would not dance with him if i were you,his pride does not offend me so much as pride often does because there is an excuse for it one cannot wonder that so very fine a young man with family fortune every thing in his favour should think highly of himself if i may so express it he has a right to be proud,0,3,0,1,2,5,1,1,1,4,1,1,0,7,0,1,1,6,1,1,1,2,1,1,4,9,1,1,1,4,1,1,0,0,0,0,13,56,79,81,A Young Lucas; Charlotte Lucas; Elizabeth; Jane; Kitty; Lydia; Maria; Mary,F,major,F,intermediate
Charlotte Lucas,Mary,his pride does not offend me so much as pride often does because there is an excuse for it one cannot wonder that so very fine a young man with family fortune every thing in his favour should think highly of himself if i may so express it he has a right to be proud,pride is a very common failing i believe by all that i have ever read i am convinced that it is very common indeed that human nature is particularly prone to it and that there are very few of us who do not cherish a feeling of self complacency on the score of some quality or other real or imaginary vanity and pride are different things though the words are often used synonimously a person may be proud without being vain pride relates more to our opinion of ourselves vanity to what we would have others think of us,3,5,1,1,5,13,1,1,4,8,1,1,7,9,1,1,6,3,1,1,2,1,1,1,9,10,1,1,4,11,1,1,0,0,0,0,56,99,81,83,A Young Lucas; Elizabeth; Jane; Kitty; Lydia; Maria; Mary; Mrs. Bennet,F,intermediate,F,minor
Elizabeth,A Young Lucas,that is very true and i could easily forgive his pride if he had not mortified mine,if i were as rich as mr darcy i should not care how proud i was i would keep a pack of foxhounds and drink a bottle of wine every day,0,2,0,1,3,4,1,1,2,4,1,1,2,1,1,1,3,0,1,0,1,1,1,1,3,4,1,1,0,2,0,1,0,0,0,0,17,31,82,84,A Young Lucas; Charlotte Lucas; Jane; Kitty; Lydia; Maria; Mary; Mrs. Bennet,F,major,M,minor
Mary,Mrs. Bennet,pride is a very common failing i believe by all that i have ever read i am convinced that it is very common indeed that human nature is particularly prone to it and that there are very few of us who do not cherish a feeling of self complacency on the score of some quality or other real or imaginary vanity and pride are different things though the words are often used synonimously a person may be proud without being vain pride relates more to our opinion of ourselves vanity to what we would have others think of us,then you would drink a great deal more than you ought and if i were to see you at it i should take away your bottle directly,5,1,1,1,13,4,1,1,8,3,1,1,9,3,1,1,3,1,1,1,1,0,1,0,10,7,1,1,11,1,1,1,0,0,0,0,99,27,83,85,A Young Lucas; Charlotte Lucas; Elizabeth; Jane; Kitty; Lydia; Maria; Mrs. Bennet,F,minor,F,major
A Young Lucas,Charlotte Lucas,if i were as rich as mr darcy i should not care how proud i was i would keep a pack of foxhounds and drink a bottle of wine every day,it may perhaps be pleasant to be able to impose on the public in such a case but it is sometimes a disadvantage to be so very guarded if a woman conceals her affection with the same skill from the object of it she may lose the opportunity of fixing him and it will then be but poor consolation to believe the world equally in the dark there is so much of gratitude or vanity in almost every attachment that it is not safe to leave any to itself we can all begin freely a slight preference is natural enough but there are very few of us who have heart enough to be really in love without encouragement in nine cases out of ten a woman had better shew more affection than she feels bingley likes your sister undoubtedly but he may never do more than like her if she does not help him on,2,11,1,1,4,15,1,1,4,10,1,1,1,16,1,1,0,14,0,1,1,3,1,1,4,17,1,1,2,19,1,1,0,0,0,0,31,155,84,86,Charlotte Lucas; Elizabeth; Jane; Kitty; Lydia; Maria; Mary; Mrs. Bennet,M,minor,F,intermediate
Mrs. Bennet,Elizabeth,then you would drink a great deal more than you ought and if i were to see you at it i should take away your bottle directly,but she does help him on as much as her nature will allow if i can perceive her regard for him he must be a simpleton indeed not to discover it too,1,1,1,1,4,5,1,1,3,3,1,1,3,3,1,1,1,7,1,1,0,1,0,1,7,8,1,1,1,2,1,1,0,0,0,0,27,32,85,87,A Young Lucas; Charlotte Lucas; Elizabeth; Jane; Kitty; Lydia; Maria; Mary,F,major,F,major
Charlotte Lucas,Elizabeth,that is a question which mr darcy only can answer,did not you think mr darcy that i expressed myself uncommonly well just now when i was teazing colonel forster to give us a ball at meryton,1,1,1,1,2,2,1,1,0,2,0,1,1,4,1,1,1,0,1,0,0,1,0,1,0,5,0,1,0,1,0,1,0,0,0,0,10,27,96,98,Elizabeth,F,intermediate,F,major
Mr. Darcy,Charlotte Lucas,with great energy but it is a subject which always makes a lady energetic,it will be her turn soon to be teazed i am going to open the instrument eliza and you know what follows,2,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,0,0,1,4,1,1,1,0,1,0,0,0,0,0,14,22,99,101,Charlotte Lucas; Elizabeth,M,major,F,intermediate
Elizabeth,Mr. Darcy,you are a very strange creature by way of a friend always wanting me to play and sing before any body and every body if my vanity had taken a musical turn you would have been invaluable but as it is i would really rather not sit down before those who must be in the habit of hearing the very best performers very well if it must be so it must there is a fine old saying which every body here is of course familiar with keep your breath to cool your porridge and i shall keep mine to swell my song,certainly sir and it has the advantage also of being in vogue amongst the less polished societies of the world every savage can dance,6,3,1,1,14,2,1,1,7,1,1,1,9,3,1,1,4,1,1,1,1,0,1,0,13,1,1,1,9,4,1,1,0,0,0,0,102,24,102,104,Charlotte Lucas; Mr. Darcy,F,major,M,major
Mr. Darcy,Sir William Lucas,it is a compliment which i never pay to any place if i can avoid it,my dear miss eliza why are not you dancing mr darcy you must allow me to present this young lady to you as a very desirable partner you cannot refuse to dance i am sure when so much beauty is before you,1,1,1,1,2,5,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,2,1,1,4,8,1,1,1,3,1,1,0,0,0,0,16,43,110,112,Sir William Lucas,M,major,M,minor
Sir William Lucas,Mr. Darcy,he is indeed but considering the inducement my dear miss eliza we cannot wonder at his complaisance for who would object to such a partner,i should imagine not,2,0,1,0,3,1,1,1,1,0,1,0,1,0,1,0,2,0,1,0,1,1,1,1,4,1,1,1,3,0,1,0,0,0,0,0,26,4,116,118,Elizabeth; Mr. Darcy,M,minor,M,major
Mr. Bennet,Lydia,this is the only point i flatter myself on which we do not agree i had hoped that our sentiments coincided in every particular but i must so far differ from you as to think our two youngest daughters uncommonly foolish,mama my aunt says that colonel forster and captain carter do not go so often to miss watson s as they did when they first came she sees them now very often standing in clarke s library,1,0,1,0,4,1,1,1,3,4,1,1,3,6,1,1,1,1,1,1,1,1,1,1,8,5,1,1,3,1,1,1,0,0,0,0,41,37,128,130,Elizabeth; Jane; Kitty; Lydia; Mrs. Bennet,M,intermediate,F,intermediate
Lydia,Jane,mama my aunt says that colonel forster and captain carter do not go so often to miss watson s as they did when they first came she sees them now very often standing in clarke s library,it is from miss bingley,0,0,0,0,1,1,1,1,4,0,1,0,6,0,1,0,1,1,1,1,1,0,1,0,5,1,1,1,1,1,1,1,0,0,0,0,37,5,130,132,Elizabeth; Jane; Kitty; Mr. Bennet; Mrs. Bennet,F,intermediate,F,intermediate
Mrs. Bennet,Lydia,well jane who is it from what is it about what does he say well jane make haste and tell us make haste my love,with the officers i wonder my aunt did not tell us of that,0,1,0,1,3,1,1,1,1,0,1,0,0,0,0,0,3,1,1,1,0,1,0,1,5,3,1,1,2,2,1,1,0,0,0,0,25,13,131,133,Elizabeth; Jane; Kitty; Lydia; Mr. Bennet,F,major,F,intermediate
Jane,Mrs. Bennet,it is from miss bingley,dining out that is very unlucky,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,5,6,132,134,Elizabeth; Kitty; Lydia; Mr. Bennet; Mrs. Bennet,F,intermediate,F,major
Lydia,Jane,with the officers i wonder my aunt did not tell us of that,can i have the carriage,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,3,1,1,1,2,0,1,0,0,0,0,0,13,5,133,135,Elizabeth; Jane; Kitty; Mr. Bennet; Mrs. Bennet,F,intermediate,F,intermediate
Jane,Elizabeth,can i have the carriage,that would be a good scheme if you were sure that they would not offer to send her home,1,1,1,1,1,4,1,1,0,2,0,1,0,0,0,0,0,2,0,1,0,1,0,1,1,3,1,1,0,0,0,0,0,0,0,0,5,19,135,137,Elizabeth; Kitty; Lydia; Mr. Bennet; Mrs. Bennet,F,intermediate,F,major
Elizabeth,Jane,that would be a good scheme if you were sure that they would not offer to send her home,i had much rather go in the coach,1,1,1,1,4,1,1,1,2,0,1,0,0,2,0,1,2,0,1,0,1,0,1,0,3,1,1,1,0,1,0,1,0,0,0,0,19,8,137,139,Jane; Kitty; Lydia; Mr. Bennet; Mrs. Bennet,F,major,F,intermediate
Jane,Mr. Bennet,i had much rather go in the coach,they are wanted in the farm much oftener than i can get them,1,1,1,1,1,2,1,1,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,3,1,1,1,1,1,1,0,0,0,0,8,13,139,141,Elizabeth; Kitty; Lydia; Mr. Bennet; Mrs. Bennet,F,intermediate,M,intermediate
Mrs. Bennet,Elizabeth,but my dear your father cannot spare the horses i am sure they are wanted in the farm mr bennet are not they,but if you have got them to day my mother s purpose will be answered,2,0,1,0,4,3,1,1,1,2,1,1,0,0,0,0,0,0,0,0,2,0,1,0,5,3,1,1,1,0,1,0,0,0,0,0,24,15,140,142,Elizabeth; Jane; Kitty; Lydia; Mr. Bennet,F,major,F,major
Mr. Bennet,Mrs. Bennet,they are wanted in the farm much oftener than i can get them,this was a lucky idea of mine indeed,1,1,1,1,2,1,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,3,1,1,1,1,1,1,1,0,0,0,0,13,8,141,143,Elizabeth; Jane; Kitty; Lydia; Mrs. Bennet,M,intermediate,F,major
Elizabeth,Mr. Bennet,but if you have got them to day my mother s purpose will be answered,well my dear if your daughter should have a dangerous fit of illness if she should die it would be a comfort to know that it was all in pursuit of mr bingley and under your orders,0,2,0,1,3,5,1,1,2,4,1,1,0,0,0,0,0,3,0,1,0,0,0,0,3,6,1,1,0,4,0,1,0,0,0,0,15,37,142,144,Jane; Kitty; Lydia; Mr. Bennet; Mrs. Bennet,F,major,M,intermediate
Mr. Bennet,Elizabeth,well my dear if your daughter should have a dangerous fit of illness if she should die it would be a comfort to know that it was all in pursuit of mr bingley and under your orders,i shall be very fit to see jane which is all i want,2,0,1,0,5,3,1,1,4,0,1,0,0,1,0,1,3,0,1,0,0,0,0,0,6,2,1,1,4,0,1,0,0,0,0,0,37,13,144,146,Elizabeth; Kitty; Lydia; Mary; Mrs. Bennet,M,intermediate,F,major
Mrs. Bennet,Mr. Bennet,oh i am not at all afraid of her dying people do not die of little trifling colds she will be taken good care of as long as she stays there it is all very well i would go and see her if i could have the carriage how can you be so silly as to think of such a thing in all this dirt you will not be fit to be seen when you get there,is this a hint to me lizzy to send for the horses,2,2,1,1,12,1,1,1,6,0,1,0,10,0,1,0,6,1,1,1,3,0,1,0,11,1,1,1,5,2,1,1,0,0,0,0,77,12,145,147,Elizabeth; Kitty; Lydia; Mary; Mr. Bennet,F,major,M,intermediate
Mr. Bennet,Mary,is this a hint to me lizzy to send for the horses,i admire the activity of your benevolence but every impulse of feeling should be guided by reason and in my opinion exertion should always be in proportion to what is required,2,1,1,1,1,5,1,1,0,2,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,3,1,1,2,6,1,1,0,0,0,0,12,31,147,149,Elizabeth; Kitty; Lydia; Mary; Mrs. Bennet,M,intermediate,F,minor
Elizabeth,Lydia,no indeed i do not wish to avoid the walk the distance is nothing when one has a motive only three miles i shall be back by dinner,if we make haste perhaps we may see something of captain carter before he goes,3,0,1,0,4,1,1,1,1,2,1,1,3,1,1,1,1,2,1,1,1,0,1,0,3,3,1,1,1,1,1,1,1,1,1,1,28,15,148,150,Kitty; Lydia; Mary; Mr. Bennet; Mrs. Bennet,F,major,F,intermediate
Miss Bingley,Mr. Bingley,she did indeed louisa i could hardly keep my countenance very nonsensical to come at all why must she be scampering about the country because her sister had a cold her hair so untidy so blowsy,your picture may be very exact louisa but this was all lost upon me i thought miss elizabeth bennet looked remarkably well when she came into the room this morning her dirty petticoat quite escaped my notice,2,1,1,1,4,3,1,1,2,3,1,1,7,4,1,1,4,4,1,1,0,0,0,0,6,6,1,1,1,1,1,1,0,0,0,0,36,37,152,154,Mr. Bingley; Mr. Darcy; Mr. Hurst; Mrs. Hurst,F,intermediate,M,intermediate
Mrs. Hurst,Miss Bingley,yes and her petticoat i hope you saw her petticoat six inches deep in mud i am absolutely certain and the gown which had been let down to hide it not doing its office,you observed it mr darcy i am sure and i am inclined to think that you would not wish to see your sister make such an exhibition,1,1,1,1,3,3,1,1,2,2,1,1,2,0,1,0,4,1,1,1,1,1,1,1,7,6,1,1,2,0,1,0,0,0,0,0,34,27,153,155,Miss Bingley; Mr. Bingley; Mr. Darcy; Mr. Hurst,F,minor,F,intermediate
Mr. Bingley,Mr. Darcy,your picture may be very exact louisa but this was all lost upon me i thought miss elizabeth bennet looked remarkably well when she came into the room this morning her dirty petticoat quite escaped my notice,certainly not,1,0,1,0,3,0,1,0,3,0,1,0,4,1,1,1,4,0,1,0,0,0,0,0,6,0,1,0,1,0,1,0,0,0,0,0,37,2,154,156,Miss Bingley; Mr. Darcy; Mr. Hurst; Mrs. Hurst,M,intermediate,M,major
Mr. Darcy,Mr. Bingley,certainly not,it shews an affection for her sister that is very pleasing,0,1,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,3,0,1,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,0,2,11,156,158,Miss Bingley; Mr. Bingley; Mr. Hurst; Mrs. Hurst,M,major,M,intermediate
Mr. Bingley,Mr. Darcy,it shews an affection for her sister that is very pleasing,not at all they were brightened by the exercise,1,1,1,1,1,1,1,1,0,0,0,0,1,2,1,1,3,0,1,0,0,1,0,1,2,1,1,1,1,1,1,1,0,0,0,0,11,9,158,160,Miss Bingley; Mr. Darcy; Mr. Hurst; Mrs. Hurst,M,intermediate,M,major
Mr. Darcy,Miss Bingley,not at all they were brightened by the exercise,i think i have heard you say that their uncle is an attorney in meryton,1,1,1,1,1,2,1,1,0,1,0,1,2,0,1,0,0,0,0,0,1,0,1,0,1,4,1,1,1,1,1,1,0,0,0,0,9,15,160,162,Miss Bingley; Mr. Bingley; Mr. Hurst; Mrs. Hurst,M,major,F,intermediate
Mrs. Hurst,Mr. Bingley,yes and they have another who lives somewhere near cheapside,if they had uncles enough to fill all cheapside it would not make them one jot less agreeable,0,0,0,0,0,1,0,1,1,1,1,1,1,2,1,1,0,1,0,1,0,1,0,1,1,3,1,1,1,0,1,0,0,0,0,0,10,18,163,165,Miss Bingley; Mr. Bingley; Mr. Darcy; Mr. Hurst,F,minor,M,intermediate
Miss Bingley,Mr. Darcy,that is capital,but it must very materially lessen their chance of marrying men of any consideration in the world,0,1,0,1,1,1,1,1,0,1,0,1,0,2,0,1,1,1,1,1,0,0,0,0,0,2,0,1,0,3,0,1,0,0,0,0,3,17,164,166,Mr. Bingley; Mr. Darcy; Mr. Hurst; Mrs. Hurst,F,intermediate,M,major
Mr. Bingley,Mr. Hurst,if they had uncles enough to fill all cheapside it would not make them one jot less agreeable,do you prefer reading to cards that is rather singular,0,0,0,0,1,2,1,1,1,0,1,0,2,1,1,1,1,1,1,1,1,0,1,0,3,1,1,1,0,1,0,1,0,0,0,0,18,10,165,167,Miss Bingley; Mr. Darcy; Mr. Hurst; Mrs. Hurst,M,intermediate,M,minor
Mr. Darcy,Miss Bingley,but it must very materially lessen their chance of marrying men of any consideration in the world,miss eliza bennet despises cards she is a great reader and has no pleasure in anything else,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,0,0,0,0,2,1,1,1,3,1,1,1,0,1,0,1,17,17,166,168,Miss Bingley; Mr. Bingley; Mr. Hurst; Mrs. Hurst,M,major,F,intermediate
Mr. Hurst,Elizabeth,do you prefer reading to cards that is rather singular,i deserve neither such praise nor such censure i am not a great reader and i have pleasure in many things,0,1,0,1,2,1,1,1,0,3,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,3,1,1,1,1,1,1,0,0,0,0,10,21,167,169,Elizabeth; Miss Bingley; Mr. Bingley; Mr. Darcy; Mrs. Hurst,M,minor,F,major
Miss Bingley,Mr. Bingley,miss eliza bennet despises cards she is a great reader and has no pleasure in anything else,in nursing your sister i am sure you have pleasure and i hope it will soon be increased by seeing her quite well and i wish my collection were larger for your benefit and my own credit but i am an idle fellow and though i have not many i have more than i ever look into,1,1,1,1,1,5,1,1,1,7,1,1,1,4,1,1,2,2,1,1,0,1,0,1,1,14,1,1,1,4,1,1,1,0,1,0,17,57,168,170,Elizabeth; Mr. Bingley; Mr. Darcy; Mr. Hurst; Mrs. Hurst,F,intermediate,M,intermediate
