pair_id,a_speaker,b_speaker,i_merge_id,j_merge_id,i_text,j_text,i_addressees,A_gender,A_category,B_gender,B_category,a_articles,a_auxiliary_verbs,a_conjunctions,a_adverbs,a_impersonal_pronouns,a_negations,a_personal_pronouns,a_prepositions,a_quantifiers,b_articles,b_auxiliary_verbs,b_conjunctions,b_adverbs,b_impersonal_pronouns,b_negations,b_personal_pronouns,b_prepositions,b_quantifiers
00000,The General,Alexis Ivanovitch,0,1,I suppose you would like to take them to the Casino to play roulette Well excuse my speaking so plainly but I know how addicted you are to gambling Though I am not your mentor nor wish to be at least I have a right to require that you shall not actually compromise me,I have no money for gambling,Alexis Ivanovitch,M,intermediate,M,major,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0
00001,Alexis Ivanovitch,The General,1,2,I have no money for gambling,But you will soon be in receipt of some Let us calculate We must translate these roubles into thalers Here take 100 thalers as a round sum The rest will be safe in my hands You must not be offended at what I say You are too touchy about these things What I have said I have said merely as a warning To do so is no more than my right,The General,M,major,M,intermediate,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1
00002,The General,Alexis Ivanovitch,2,3,But you will soon be in receipt of some Let us calculate We must translate these roubles into thalers Here take 100 thalers as a round sum The rest will be safe in my hands You must not be offended at what I say You are too touchy about these things What I have said I have said merely as a warning To do so is no more than my right,Why do I continue to dance attendance upon the General instead of having left him and his family long ago,Alexis Ivanovitch,M,intermediate,M,major,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
00003,Alexis Ivanovitch,Marqis De Griers,4,5,If one is a man of self respect one risks abuse by so doing and is forced to put up with insults of every kind Both at Paris and on the Rhine and even in Switzerland there are so many Poles with their sympathisers the French at these tables d h te that one cannot get a word in edgeways if one happens only to be a Russian,Of course one always learns something everywhere,Marqis De Griers; Mr. Astley; The General,M,major,M,intermediate,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1
00004,Marqis De Griers,Alexis Ivanovitch,5,6,Of course one always learns something everywhere,In Paris too I had a dispute with a Pole and then with a French officer who supported him After that a section of the Frenchmen present took my part They did so as soon as I told them the story of how once I threatened to spit into Monsignor s coffee,Alexis Ivanovitch; Mr. Astley; The General,M,intermediate,M,major,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1
00005,Alexis Ivanovitch,The General,6,7,In Paris too I had a dispute with a Pole and then with a French officer who supported him After that a section of the Frenchmen present took my part They did so as soon as I told them the story of how once I threatened to spit into Monsignor s coffee,To spit into it,Marqis De Griers; Mr. Astley; The General,M,major,M,intermediate,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0
00006,The General,Alexis Ivanovitch,7,8,To spit into it,Just so You must know that on one occasion when for two days I had felt certain that at any moment I might have to depart for Rome on business I repaired to the Embassy of the Holy See in Paris to have my passport visaed There I encountered a sacristan of about fifty and a man dry and cold of mien After listening politely but with great reserve to my account of myself this sacristan asked me to wait a little I was in a great hurry to depart but of course I sat down pulled out a copy of L Opinion Nationale and fell to reading an extraordinary piece of invective against Russia which it happened to contain As I was thus engaged I heard some one enter an adjoining room and ask for Monsignor after which I saw the sacristan make a low bow to the visitor and then another bow as the visitor took his leave I ventured to remind the good man of my own business also whereupon with an expression of if anything increased dryness he again asked me to wait Soon a third visitor arrived who like myself had come on business he was an Austrian of some sort and as soon as ever he had stated his errand he was conducted upstairs This made me very angry I rose approached the sacristan and told him that since Monsignor was receiving callers his lordship might just as well finish off my affair as well Upon this the sacristan shrunk back in astonishment It simply passed his understanding that any insignificant Russian should dare to compare himself with other visitors of Monsignor s In a tone of the utmost effrontery as though he were delighted to have a chance of insulting me he looked me up and down and then said But I only cried the louder screeched the sacristan again shrinking back in horror Then rushing to the door he spread out his arms as though he would rather die than let me enter,Alexis Ivanovitch; Marqis De Griers; Mr. Astley,M,intermediate,M,major,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1
00007,Alexis Ivanovitch,The General,8,9,Just so You must know that on one occasion when for two days I had felt certain that at any moment I might have to depart for Rome on business I repaired to the Embassy of the Holy See in Paris to have my passport visaed There I encountered a sacristan of about fifty and a man dry and cold of mien After listening politely but with great reserve to my account of myself this sacristan asked me to wait a little I was in a great hurry to depart but of course I sat down pulled out a copy of L Opinion Nationale and fell to reading an extraordinary piece of invective against Russia which it happened to contain As I was thus engaged I heard some one enter an adjoining room and ask for Monsignor after which I saw the sacristan make a low bow to the visitor and then another bow as the visitor took his leave I ventured to remind the good man of my own business also whereupon with an expression of if anything increased dryness he again asked me to wait Soon a third visitor arrived who like myself had come on business he was an Austrian of some sort and as soon as ever he had stated his errand he was conducted upstairs This made me very angry I rose approached the sacristan and told him that since Monsignor was receiving callers his lordship might just as well finish off my affair as well Upon this the sacristan shrunk back in astonishment It simply passed his understanding that any insignificant Russian should dare to compare himself with other visitors of Monsignor s In a tone of the utmost effrontery as though he were delighted to have a chance of insulting me he looked me up and down and then said But I only cried the louder screeched the sacristan again shrinking back in horror Then rushing to the door he spread out his arms as though he would rather die than let me enter,But,Marqis De Griers; Mr. Astley; The General,M,major,M,intermediate,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0
00008,The General,Marqis De Griers,9,10,But,What really saved you was the fact that you proclaimed yourself a heretic and a barbarian Cela n tait pas si b te,Alexis Ivanovitch; Marqis De Griers; Mr. Astley,M,intermediate,M,intermediate,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0
00009,Marqis De Griers,Alexis Ivanovitch,10,11,What really saved you was the fact that you proclaimed yourself a heretic and a barbarian Cela n tait pas si b te,But is that how Russian subjects ought to be treated Why when they settle here they dare not utter even a word they are ready even to deny the fact that they are Russians At all events at my hotel in Paris I received far more attention from the company after I had told them about the fracas with the sacristan A fat Polish nobleman who had been the most offensive of all who were present at the table d h te at once went upstairs while some of the Frenchmen were simply disgusted when I told them that two years ago I had encountered a man at whom in 1812 a French hero fired for the mere fun of discharging his musket That man was then a boy of ten and his family are still residing in Moscow,Alexis Ivanovitch; Mr. Astley; The General,M,intermediate,M,major,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1
00010,Alexis Ivanovitch,Marqis De Griers,11,12,But is that how Russian subjects ought to be treated Why when they settle here they dare not utter even a word they are ready even to deny the fact that they are Russians At all events at my hotel in Paris I received far more attention from the company after I had told them about the fracas with the sacristan A fat Polish nobleman who had been the most offensive of all who were present at the table d h te at once went upstairs while some of the Frenchmen were simply disgusted when I told them that two years ago I had encountered a man at whom in 1812 a French hero fired for the mere fun of discharging his musket That man was then a boy of ten and his family are still residing in Moscow,Impossible No French soldier would fire at a child,Marqis De Griers; Mr. Astley; The General,M,major,M,intermediate,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0
00011,Marqis De Griers,Alexis Ivanovitch,12,13,Impossible No French soldier would fire at a child,Nevertheless the incident was as I say A very respected ex captain told me the story and I myself could see the scar left on his cheek,Alexis Ivanovitch; Mr. Astley; The General,M,intermediate,M,major,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0,1,1,0
00012,Polina Alexandrovna,Alexis Ivanovitch,14,15,Come what may I must have money And get it somehow I will otherwise I shall be ruined Nothing except that two pieces of news have reached us from St Petersburg In the first place my grandmother is very ill and unlikely to last another couple of days We had this from Timothy Petrovitch himself and he is a reliable person Every moment we are expecting to receive news of the end,All of you are on the tiptoe of expectation,Alexis Ivanovitch,F,major,M,major,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1
00013,Alexis Ivanovitch,Polina Alexandrovna,15,16,All of you are on the tiptoe of expectation,Of course all of us and every minute of the day For a year and a half now we have been looking for this,Polina Alexandrovna,M,major,F,major,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1
00014,Polina Alexandrovna,Alexis Ivanovitch,16,17,Of course all of us and every minute of the day For a year and a half now we have been looking for this,Looking for it,Alexis Ivanovitch,F,major,M,major,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0
00015,Alexis Ivanovitch,Polina Alexandrovna,17,18,Looking for it,Yes looking for it I am not her blood relation you know I am merely the General s step daughter Yet I am certain that the old lady has remembered me in her will,Polina Alexandrovna,M,major,F,major,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0
00016,Polina Alexandrovna,Alexis Ivanovitch,18,19,Yes looking for it I am not her blood relation you know I am merely the General s step daughter Yet I am certain that the old lady has remembered me in her will,Yes I believe that you will come in for a good deal,Alexis Ivanovitch,F,major,M,major,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0
00017,Alexis Ivanovitch,Polina Alexandrovna,19,20,Yes I believe that you will come in for a good deal,Yes for she is fond of me But how come you to think so,Polina Alexandrovna,M,major,F,major,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1,0
00018,Polina Alexandrovna,Alexis Ivanovitch,20,21,Yes for she is fond of me But how come you to think so,That Marquis of yours is he also familiar with your family secrets,Alexis Ivanovitch,F,major,M,major,0,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0
00019,Alexis Ivanovitch,Polina Alexandrovna,21,22,That Marquis of yours is he also familiar with your family secrets,And why are you yourself so interested in them,Polina Alexandrovna,M,major,F,major,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,0
00020,Polina Alexandrovna,Alexis Ivanovitch,22,23,And why are you yourself so interested in them,Never mind If I am not mistaken the General has succeeded in borrowing money of the Marquis,Alexis Ivanovitch,F,major,M,major,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,0
00021,Alexis Ivanovitch,Polina Alexandrovna,23,24,Never mind If I am not mistaken the General has succeeded in borrowing money of the Marquis,It may be so,Polina Alexandrovna,M,major,F,major,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0
00022,Polina Alexandrovna,Alexis Ivanovitch,24,25,It may be so,Is it likely that the Marquis would have lent the money if he had not known something or other about your grandmother Did you notice too that three times during luncheon when speaking of her he called her La Baboulenka What loving friendly behaviour to be sure,Alexis Ivanovitch,F,major,M,major,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1
00023,Alexis Ivanovitch,Polina Alexandrovna,25,26,Is it likely that the Marquis would have lent the money if he had not known something or other about your grandmother Did you notice too that three times during luncheon when speaking of her he called her La Baboulenka What loving friendly behaviour to be sure,Yes that is true As soon as ever he learnt that I was likely to inherit something from her he began to pay me his addresses I thought you ought to know that,Polina Alexandrovna,M,major,F,major,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0
00024,Polina Alexandrovna,Alexis Ivanovitch,26,27,Yes that is true As soon as ever he learnt that I was likely to inherit something from her he began to pay me his addresses I thought you ought to know that,Then he has only just begun his courting Why I thought he had been doing so a long while,Alexis Ivanovitch,F,major,M,major,0,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,1
00025,Alexis Ivanovitch,Polina Alexandrovna,27,28,Then he has only just begun his courting Why I thought he had been doing so a long while,You know he has not But where on earth did you pick up this Englishman,Polina Alexandrovna,M,major,F,major,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0
00026,Polina Alexandrovna,Alexis Ivanovitch,28,29,You know he has not But where on earth did you pick up this Englishman,I knew you would ask about him He is very shy and susceptible Also he is in love with you,Alexis Ivanovitch,F,major,M,major,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0
00027,Alexis Ivanovitch,Polina Alexandrovna,29,30,I knew you would ask about him He is very shy and susceptible Also he is in love with you,Yes he is in love with me,Polina Alexandrovna,M,major,F,major,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0
00028,Polina Alexandrovna,Alexis Ivanovitch,30,31,Yes he is in love with me,And he is ten times richer than the Frenchman In fact what does the Frenchman possess To me it seems at least doubtful that he possesses anything at all,Alexis Ivanovitch,F,major,M,major,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,1,1,1
00029,Alexis Ivanovitch,Polina Alexandrovna,31,32,And he is ten times richer than the Frenchman In fact what does the Frenchman possess To me it seems at least doubtful that he possesses anything at all,Oh no there is no doubt about it He does possess some ch teau or other Last night the General told me that for certain Now are you satisfied,Polina Alexandrovna,M,major,F,major,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
00030,Polina Alexandrovna,Alexis Ivanovitch,32,33,Oh no there is no doubt about it He does possess some ch teau or other Last night the General told me that for certain Now are you satisfied,Nevertheless in your place I should marry the Englishman,Alexis Ivanovitch,F,major,M,major,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
00031,Alexis Ivanovitch,Polina Alexandrovna,33,34,Nevertheless in your place I should marry the Englishman,And why,Polina Alexandrovna,M,major,F,major,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0
00032,Polina Alexandrovna,Alexis Ivanovitch,34,35,And why,Because though the Frenchman is the handsomer of the two he is also the baser whereas the Englishman is not only a man of honour but ten times the wealthier of the pair,Alexis Ivanovitch,F,major,M,major,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1
00033,Alexis Ivanovitch,Polina Alexandrovna,35,36,Because though the Frenchman is the handsomer of the two he is also the baser whereas the Englishman is not only a man of honour but ten times the wealthier of the pair,Yes But then the Frenchman is a marquis and the cleverer of the two,Polina Alexandrovna,M,major,F,major,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1
00034,Polina Alexandrovna,Alexis Ivanovitch,36,37,Yes But then the Frenchman is a marquis and the cleverer of the two,Is that so,Alexis Ivanovitch,F,major,M,major,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0
00035,Alexis Ivanovitch,Polina Alexandrovna,37,38,Is that so,Yes absolutely It amuses me to see you grow angry However inasmuch as I allow you to indulge in these questions and conjectures you ought to pay me something for the privilege,Polina Alexandrovna,M,major,F,major,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0
00036,Polina Alexandrovna,Alexis Ivanovitch,38,39,Yes absolutely It amuses me to see you grow angry However inasmuch as I allow you to indulge in these questions and conjectures you ought to pay me something for the privilege,I consider that I have a perfect right to put these questions to you for the reason that I am ready to pay for them and also care little what becomes of me,Alexis Ivanovitch,F,major,M,major,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1
00037,Alexis Ivanovitch,Polina Alexandrovna,39,40,I consider that I have a perfect right to put these questions to you for the reason that I am ready to pay for them and also care little what becomes of me,Last time you told me when on the Shlangenberg that at a word from me you would be ready to jump down a thousand feet into the abyss Some day I may remind you of that saying in order to see if you will be as good as your word Yes you may depend upon it that I shall do so I hate you because I have allowed you to go to such lengths and I also hate you and still more because you are so necessary to me For the time being I want you so I must keep you,Polina Alexandrovna,M,major,F,major,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1
00038,Polina Alexandrovna,Alexis Ivanovitch,40,41,Last time you told me when on the Shlangenberg that at a word from me you would be ready to jump down a thousand feet into the abyss Some day I may remind you of that saying in order to see if you will be as good as your word Yes you may depend upon it that I shall do so I hate you because I have allowed you to go to such lengths and I also hate you and still more because you are so necessary to me For the time being I want you so I must keep you,May I ask you who is this Mlle Blanche,Alexis Ivanovitch,F,major,M,major,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0
00039,Alexis Ivanovitch,Polina Alexandrovna,41,42,May I ask you who is this Mlle Blanche,You know who she is just Mlle Blanche Nothing further has transpired Probably she will soon be Madame General that is to say if the rumours that Grandmamma is nearing her end should prove true Mlle Blanche with her mother and her cousin the Marquis know very well that as things now stand we are ruined,Polina Alexandrovna,M,major,F,major,0,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0
00040,Polina Alexandrovna,Alexis Ivanovitch,42,43,You know who she is just Mlle Blanche Nothing further has transpired Probably she will soon be Madame General that is to say if the rumours that Grandmamma is nearing her end should prove true Mlle Blanche with her mother and her cousin the Marquis know very well that as things now stand we are ruined,And is the General at last in love,Alexis Ivanovitch,F,major,M,major,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0
00041,Alexis Ivanovitch,Polina Alexandrovna,43,44,And is the General at last in love,That has nothing to do with it Listen to me Take these 700 florins and go and play roulette with them Win as much for me as you can for I am badly in need of money,Polina Alexandrovna,M,major,F,major,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1
00042,Polina Alexandrovna,Alexis Ivanovitch,44,45,That has nothing to do with it Listen to me Take these 700 florins and go and play roulette with them Win as much for me as you can for I am badly in need of money,Do I or do I not love her,Alexis Ivanovitch,F,major,M,major,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0
00043,Polina Alexandrovna,Alexis Ivanovitch,47,48,Why not,Because I wish to play for myself That is my sole reason,Alexis Ivanovitch,F,major,M,major,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0
00044,Alexis Ivanovitch,Polina Alexandrovna,48,49,Because I wish to play for myself That is my sole reason,Then are you so certain that your roulette playing will get us out of our difficulties,Polina Alexandrovna,M,major,F,major,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,0
00045,Polina Alexandrovna,Alexis Ivanovitch,49,50,Then are you so certain that your roulette playing will get us out of our difficulties,Yes Possibly my certainty about winning may seem to you ridiculous yet pray leave me in peace I am not unwilling so to do but in all probability I should lose,Alexis Ivanovitch,F,major,M,major,0,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1
00046,Alexis Ivanovitch,Polina Alexandrovna,50,51,Yes Possibly my certainty about winning may seem to you ridiculous yet pray leave me in peace I am not unwilling so to do but in all probability I should lose,Well absurd though it be I place great hopes on your playing of roulette wherefore you ought to play as my partner and on equal shares wherefore of course you will do as I wish,Polina Alexandrovna,M,major,F,major,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1
00047,Mr. Astley,Alexis Ivanovitch,52,53,That Mlle Blanche Well I have seen a good many women like her It is so Does Mlle Polina like flowers,I really cannot say,Alexis Ivanovitch,M,intermediate,M,major,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,0
00048,Alexis Ivanovitch,Mr. Astley,53,54,I really cannot say,What You cannot say,Mr. Astley,M,major,M,intermediate,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0
00049,Mr. Astley,Alexis Ivanovitch,54,55,What You cannot say,No I have never noticed whether she does so or not,Alexis Ivanovitch,M,intermediate,M,major,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1,1,0,0
00050,Alexis Ivanovitch,Mr. Astley,55,56,No I have never noticed whether she does so or not,Hm Then I have an idea in my mind,Mr. Astley,M,major,M,intermediate,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0
00051,Mr. Astley,Alexis Ivanovitch,56,57,Hm Then I have an idea in my mind,At all events she in her turn has promised to give me an explanation to night and to reveal to me something or another,Alexis Ivanovitch,M,intermediate,M,major,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,1,1,1
