merge_id,speaker,addressees,text_merged,first_turn_index,last_turn_index,source_quoteIDs
0,Margaret,['Aunt Juley'],i can tell you nothing aunt juley i know no more than you do we met we only met the father and mother abroad last spring i know so little that i didn t even know their son s name it s all so,0,0,Q0
1,Aunt Juley,['Margaret'],in that case it is far too sudden,1,1,Q1
2,Margaret,['Aunt Juley'],who knows aunt juley who knows,2,2,Q2
3,Aunt Juley,['Margaret'],but margaret dear i mean we mustn t be unpractical now that we ve come to facts it is too sudden surely,3,3,Q3
4,Margaret,['Aunt Juley'],who knows,4,4,Q4
5,Aunt Juley,['Margaret'],but margaret dear,5,5,Q5
6,Margaret,['Aunt Juley'],i ll go for her other letters no i won t i ll finish my breakfast in fact i haven t them we met the wilcoxes on an awful expedition that we made from heidelberg to speyer helen and i had got it into our heads that there was a grand old cathedral at speyer the archbishop of speyer was one of the seven electors you know speyer maintz and koln those three sees once commanded the rhine valley and got it the name of priest street,6,6,Q6
7,Aunt Juley,['Margaret'],i still feel quite uneasy about this business margaret,7,7,Q7
8,Margaret,['Aunt Juley'],the train crossed by a bridge of boats and at first sight it looked quite fine but oh in five minutes we had seen the whole thing the cathedral had been ruined absolutely ruined by restoration not an inch left of the original structure we wasted a whole day and came across the wilcoxes as we were eating our sandwiches in the public gardens they too poor things had been taken in they were actually stopping at speyer and they rather liked helen s insisting that they must fly with us to heidelberg as a matter of fact they did come on next day we all took some drives together they knew us well enough to ask helen to come and see them at least i was asked too but tibby s illness prevented me so last monday she went alone that s all you know as much as i do now it s a young man out of the unknown she was to have come back saturday but put off till monday perhaps on account of i don t know,8,8,Q8
9,Aunt Juley,['Margaret'],the germans are too thorough and this is all very well sometimes but at other times it does not do,9,9,Q9
10,Margaret,['Aunt Juley'],exactly germans are too thorough,10,10,Q10
11,Aunt Juley,['Margaret'],of course i regard you schlegels as english english to the backbone and that reminds me helen s letter,11,12,"Q11,Q12"
12,Margaret,['Aunt Juley'],oh yes aunt juley i am thinking all right about helen s letter i know i must go down and see her i am thinking about her all right i am meaning to go down,13,13,Q13
13,Aunt Juley,['Margaret'],but go with some plan margaret if i may interfere don t be taken by surprise what do you think of the wilcoxes are they our sort are they likely people could they appreciate helen who is to my mind a very special sort of person do they care about literature and art that is most important when you come to think of it literature and art most important how old would the son be she says younger son would he be in a position to marry is he likely to make helen happy did you gather,14,14,Q14
14,Margaret,['Aunt Juley'],i gathered nothing,15,15,Q15
15,Aunt Juley,['Margaret'],then in that case,16,16,Q16
16,Margaret,['Aunt Juley'],in that case i can make no plans don t you see,17,17,Q17
17,Aunt Juley,['Margaret'],on the contrary,18,18,Q18
18,Margaret,['Aunt Juley'],i hate plans i hate lines of action helen isn t a baby,19,19,Q19
19,Aunt Juley,['Margaret'],then in that case my dear why go down i consider you odd girls and very wonderful girls and in many ways far older than your years but you won t be offended frankly i feel you are not up to this business it requires an older person dear i have nothing to call me back to swanage i am all at your disposal let me go down to this house whose name i forget instead of you,20,21,"Q20,Q21"
20,Margaret,['Aunt Juley'],aunt juley i must must go to howards end myself you don t exactly understand though i can never thank you properly for offering,22,23,"Q22,Q23"
21,Aunt Juley,['Margaret'],i do understand i go down in no spirit of interference but to make inquiries inquiries are necessary now i am going to be rude you would say the wrong thing to a certainty you would in your anxiety for helen s happiness you would offend the whole of these wilcoxes by asking one of your impetuous questions not that one minds offending them,24,24,Q24
22,Margaret,['Aunt Juley'],i shall ask no questions i have it in helen s writing that she and a man are in love there is no question to ask as long as she keeps to that all the rest isn t worth a straw a long engagement if you like but inquiries questions plans lines of action no aunt juley no if helen had written the same to me about a shop assistant or a penniless clerk,25,26,"Q25,Q26"
23,Aunt Juley,['Margaret'],dear margaret do come into the library and shut the door your good maids are dusting the banisters,27,27,Q27
24,Margaret,['Aunt Juley'],or if she had wanted to marry the man who calls for carter paterson i should have said the same though in the case of carter paterson i should want it to be a very long engagement indeed i must say,28,28,Q28
25,Aunt Juley,['Margaret'],i should think so and indeed i can scarcely follow you now just imagine if you said anything of that sort to the wilcoxes i understand it but most good people would think you mad imagine how disconcerting for helen what is wanted is a person who will go slowly slowly in this business and see how things are and where they are likely to lead to,29,29,Q29
26,Margaret,['Aunt Juley'],but you implied just now that the engagement must be broken off,30,30,Q30
27,Aunt Juley,['Margaret'],i think probably it must but slowly,31,31,Q31
