A,B,i_merge_id,j_merge_id,i_text,j_text,i_addressees,A_gender,A_category,B_gender,B_category
Lucy,Miss Bartlett,9,11,she would never forgive me,a view oh a view how delightful a view is,Miss Bartlett,,,F,major
Mr. Emerson,Lucy,16,18,why,you see we don t like to take,George Emerson; Lucy; Miss Bartlett,M,intermediate,,
Miss Bartlett,Mr. Emerson,17,19,because it is quite out of the question thank you,but why women like looking at a view men don t george persuade them,George Emerson; Lucy; Mr. Emerson,F,major,M,intermediate
Lucy,George Emerson,18,20,you see we don t like to take,it s so obvious they should have the rooms there s nothing else to say,George Emerson; Miss Bartlett; Mr. Emerson,,,M,intermediate
Mr. Emerson,Miss Bartlett,19,21,but why women like looking at a view men don t george persuade them,eat your dinner dear eat your dinner dear this pension is a failure to morrow we will make a change,George Emerson; Lucy; Miss Bartlett,M,intermediate,F,major
George Emerson,Lucy,20,22,it s so obvious they should have the rooms there s nothing else to say,oh oh why it s mr beebe oh how perfectly lovely oh charlotte we must stop now however bad the rooms are oh,Lucy; Miss Bartlett; Mr. Emerson,M,intermediate,,
Miss Bartlett,Mr. Beebe,25,27,miss honeychurch lives in the parish of summer street and she happened to tell me in the course of conversation that you have just accepted the living,quite right i move into the rectory at summer street next june i am lucky to be appointed to such a charming neighbourhood,George Emerson; Lucy; Mr. Beebe; Mr. Emerson,F,major,M,major
Mr. Beebe,Miss Bartlett,27,29,quite right i move into the rectory at summer street next june i am lucky to be appointed to such a charming neighbourhood,lucy dearest let mr beebe eat his dinner,George Emerson; Lucy; Miss Bartlett; Mr. Emerson,M,major,F,major
Lucy,Mr. Beebe,28,30,oh how glad i am the name of our house is windy corner there is mother and me generally and my brother though it s not often we get him to ch the church is rather far off i mean,i am eating it thank you and enjoying it,George Emerson; Miss Bartlett; Mr. Beebe; Mr. Emerson,,,M,major
Miss Bartlett,Mr. Beebe,29,31,lucy dearest let mr beebe eat his dinner,don t neglect the country round the first fine afternoon drive up to fiesole and round by settignano or something of that sort,George Emerson; Lucy; Mr. Beebe; Mr. Emerson,F,major,M,major
Mr. Beebe,Miss Bartlett,31,33,don t neglect the country round the first fine afternoon drive up to fiesole and round by settignano or something of that sort,that lady looks so clever we are in luck,George Emerson; Lucy; Miss Bartlett; Miss Lavish; Mr. Emerson,M,major,F,major
Miss Lavish,Mr. Beebe,34,36,prato they must go to prato that place is too sweetly squalid for words i love it i revel in shaking off the trammels of respectability as you know,emerson,George Emerson; Lucy; Miss Bartlett; Mr. Beebe; Mr. Emerson,F,intermediate,M,major
Miss Bartlett,Lucy,41,43,no harm of course but we could not be under an obligation,i was hoping that he was nice i do so always hope that people will be nice,Lucy; Mr. Beebe,F,major,,
Lucy,Miss Bartlett,43,45,i was hoping that he was nice i do so always hope that people will be nice,am i to conclude that he is a socialist and presumably he has brought up his son to be a socialist too,Miss Bartlett; Mr. Beebe,,,F,major
Mr. Beebe,Miss Bartlett,48,50,not at all i never suggested that,was i a bore why didn t you talk lucy he prefers young people i m sure i do hope i haven t monopolized him i hoped you would have him all the evening as well as all dinner time,Lucy; Miss Bartlett,M,major,F,major
Miss Bartlett,Lucy,49,51,but ought i not to apologize at all events for my apparent rudeness,he is nice just what i remember he seems to see good in everyone no one would take him for a clergyman,Lucy; Mr. Beebe,F,major,,
The Little Old Lady,Miss Bartlett,62,64,ah then you look into the court if only mr emerson was more tactful we were so sorry for you at dinner,undoubtedly he was,Lucy; Miss Bartlett,F,minor,F,major
Lucy,Miss Bartlett,69,71,oh charlotte we must have the rooms now the old man is just as nice and kind as he can be,my own wishes dearest lucy are unimportant in comparison with yours it would be hard indeed if i stopped you doing as you liked at florence when i am only here through your kindness if you wish me to turn these gentlemen out of their rooms i will do it would you then mr beebe kindly tell mr emerson that i accept his kind offer and then conduct him to me in order that i may thank him personally,Miss Bartlett; Mr. Beebe; The Little Old Lady,,,F,major
Mr. Beebe,Miss Bartlett,70,72,i fear that i have been officious i must apologize for my interference,remember lucy i alone am implicated in this i do not wish the acceptance to come from you grant me that at all events,Lucy; Miss Bartlett; The Little Old Lady,M,major,F,major
Miss Bartlett,Mr. Beebe,71,73,my own wishes dearest lucy are unimportant in comparison with yours it would be hard indeed if i stopped you doing as you liked at florence when i am only here through your kindness if you wish me to turn these gentlemen out of their rooms i will do it would you then mr beebe kindly tell mr emerson that i accept his kind offer and then conduct him to me in order that i may thank him personally,mr emerson is engaged but here is his son instead,Lucy; Mr. Beebe; The Little Old Lady,F,major,M,major
Mr. Beebe,Miss Bartlett,73,75,mr emerson is engaged but here is his son instead,poor young man,George Emerson; Lucy; Miss Bartlett; The Little Old Lady,M,major,F,major
George Emerson,Lucy,74,76,my father is in his bath so you cannot thank him personally but any message given by you to me will be given by me to him as soon as he comes out,how angry he is with his father about the rooms it is all he can do to keep polite,Lucy; Miss Bartlett; Mr. Beebe; The Little Old Lady,M,intermediate,,
Miss Bartlett,Mr. Beebe,75,77,poor young man,in half an hour or so your rooms will be ready,Lucy; Mr. Beebe; The Little Old Lady,F,major,M,major
Lucy,Miss Bartlett,76,78,how angry he is with his father about the rooms it is all he can do to keep polite,i think one might venture now no lucy do not stir i will superintend the move,Miss Bartlett; Mr. Beebe; The Little Old Lady,,,F,major
Mr. Beebe,Lucy,77,79,in half an hour or so your rooms will be ready,how you do do everything,Lucy; Miss Bartlett; The Little Old Lady,M,major,,
