merge_id,speaker,addressees,text_merged,first_turn_index,last_turn_index,source_quoteIDs
0,The General,['Alexis Ivanovitch'],i suppose you would like to take them to the casino to play roulette well excuse my speaking so plainly but i know how addicted you are to gambling though i am not your mentor nor wish to be at least i have a right to require that you shall not actually compromise me,0,0,Q0
1,Alexis Ivanovitch,['The General'],i have no money for gambling,1,1,Q1
2,The General,['Alexis Ivanovitch'],but you will soon be in receipt of some let us calculate we must translate these roubles into thalers here take 100 thalers as a round sum the rest will be safe in my hands you must not be offended at what i say you are too touchy about these things what i have said i have said merely as a warning to do so is no more than my right,2,4,"Q2,Q3,Q4"
3,Alexis Ivanovitch,['Alexis Ivanovitch'],why do i continue to dance attendance upon the general instead of having left him and his family long ago,5,5,Q5
4,Alexis Ivanovitch,"['Marqis De Griers', 'Mr. Astley', 'The General']",if one is a man of self respect one risks abuse by so doing and is forced to put up with insults of every kind both at paris and on the rhine and even in switzerland there are so many poles with their sympathisers the french at these tables d h te that one cannot get a word in edgeways if one happens only to be a russian,6,6,Q6
5,Marqis De Griers,"['Alexis Ivanovitch', 'Mr. Astley', 'The General']",of course one always learns something everywhere,7,7,Q7
6,Alexis Ivanovitch,"['Marqis De Griers', 'Mr. Astley', 'The General']",in paris too i had a dispute with a pole and then with a french officer who supported him after that a section of the frenchmen present took my part they did so as soon as i told them the story of how once i threatened to spit into monsignor s coffee,8,8,Q8
7,The General,"['Alexis Ivanovitch', 'Marqis De Griers', 'Mr. Astley']",to spit into it,9,9,Q9
8,Alexis Ivanovitch,"['Marqis De Griers', 'Mr. Astley', 'The General']",just so you must know that on one occasion when for two days i had felt certain that at any moment i might have to depart for rome on business i repaired to the embassy of the holy see in paris to have my passport visaed there i encountered a sacristan of about fifty and a man dry and cold of mien after listening politely but with great reserve to my account of myself this sacristan asked me to wait a little i was in a great hurry to depart but of course i sat down pulled out a copy of l opinion nationale and fell to reading an extraordinary piece of invective against russia which it happened to contain as i was thus engaged i heard some one enter an adjoining room and ask for monsignor after which i saw the sacristan make a low bow to the visitor and then another bow as the visitor took his leave i ventured to remind the good man of my own business also whereupon with an expression of if anything increased dryness he again asked me to wait soon a third visitor arrived who like myself had come on business he was an austrian of some sort and as soon as ever he had stated his errand he was conducted upstairs this made me very angry i rose approached the sacristan and told him that since monsignor was receiving callers his lordship might just as well finish off my affair as well upon this the sacristan shrunk back in astonishment it simply passed his understanding that any insignificant russian should dare to compare himself with other visitors of monsignor s in a tone of the utmost effrontery as though he were delighted to have a chance of insulting me he looked me up and down and then said but i only cried the louder screeched the sacristan again shrinking back in horror then rushing to the door he spread out his arms as though he would rather die than let me enter,10,10,Q10
9,The General,"['Alexis Ivanovitch', 'Marqis De Griers', 'Mr. Astley']",but,11,11,Q11
10,Marqis De Griers,"['Alexis Ivanovitch', 'Mr. Astley', 'The General']",what really saved you was the fact that you proclaimed yourself a heretic and a barbarian cela n tait pas si b te,12,12,Q12
11,Alexis Ivanovitch,"['Marqis De Griers', 'Mr. Astley', 'The General']",but is that how russian subjects ought to be treated why when they settle here they dare not utter even a word they are ready even to deny the fact that they are russians at all events at my hotel in paris i received far more attention from the company after i had told them about the fracas with the sacristan a fat polish nobleman who had been the most offensive of all who were present at the table d h te at once went upstairs while some of the frenchmen were simply disgusted when i told them that two years ago i had encountered a man at whom in 1812 a french hero fired for the mere fun of discharging his musket that man was then a boy of ten and his family are still residing in moscow,13,13,Q13
12,Marqis De Griers,"['Alexis Ivanovitch', 'Mr. Astley', 'The General']",impossible no french soldier would fire at a child,14,14,Q14
13,Alexis Ivanovitch,"['Marqis De Griers', 'Mr. Astley', 'The General']",nevertheless the incident was as i say a very respected ex captain told me the story and i myself could see the scar left on his cheek,15,15,Q15
14,Polina Alexandrovna,['Alexis Ivanovitch'],come what may i must have money and get it somehow i will otherwise i shall be ruined nothing except that two pieces of news have reached us from st petersburg in the first place my grandmother is very ill and unlikely to last another couple of days we had this from timothy petrovitch himself and he is a reliable person every moment we are expecting to receive news of the end,16,17,"Q16,Q17"
15,Alexis Ivanovitch,['Polina Alexandrovna'],all of you are on the tiptoe of expectation,18,18,Q18
16,Polina Alexandrovna,['Alexis Ivanovitch'],of course all of us and every minute of the day for a year and a half now we have been looking for this,19,19,Q19
17,Alexis Ivanovitch,['Polina Alexandrovna'],looking for it,20,20,Q20
18,Polina Alexandrovna,['Alexis Ivanovitch'],yes looking for it i am not her blood relation you know i am merely the general s step daughter yet i am certain that the old lady has remembered me in her will,21,21,Q21
19,Alexis Ivanovitch,['Polina Alexandrovna'],yes i believe that you will come in for a good deal,22,22,Q22
20,Polina Alexandrovna,['Alexis Ivanovitch'],yes for she is fond of me but how come you to think so,23,23,Q23
21,Alexis Ivanovitch,['Polina Alexandrovna'],that marquis of yours is he also familiar with your family secrets,24,24,Q24
22,Polina Alexandrovna,['Alexis Ivanovitch'],and why are you yourself so interested in them,25,25,Q25
23,Alexis Ivanovitch,['Polina Alexandrovna'],never mind if i am not mistaken the general has succeeded in borrowing money of the marquis,26,26,Q26
24,Polina Alexandrovna,['Alexis Ivanovitch'],it may be so,27,27,Q27
25,Alexis Ivanovitch,['Polina Alexandrovna'],is it likely that the marquis would have lent the money if he had not known something or other about your grandmother did you notice too that three times during luncheon when speaking of her he called her la baboulenka what loving friendly behaviour to be sure,28,29,"Q28,Q29"
26,Polina Alexandrovna,['Alexis Ivanovitch'],yes that is true as soon as ever he learnt that i was likely to inherit something from her he began to pay me his addresses i thought you ought to know that,30,30,Q30
27,Alexis Ivanovitch,['Polina Alexandrovna'],then he has only just begun his courting why i thought he had been doing so a long while,31,31,Q31
28,Polina Alexandrovna,['Alexis Ivanovitch'],you know he has not but where on earth did you pick up this englishman,32,32,Q32
29,Alexis Ivanovitch,['Polina Alexandrovna'],i knew you would ask about him he is very shy and susceptible also he is in love with you,33,34,"Q33,Q34"
30,Polina Alexandrovna,['Alexis Ivanovitch'],yes he is in love with me,35,35,Q35
31,Alexis Ivanovitch,['Polina Alexandrovna'],and he is ten times richer than the frenchman in fact what does the frenchman possess to me it seems at least doubtful that he possesses anything at all,36,36,Q36
32,Polina Alexandrovna,['Alexis Ivanovitch'],oh no there is no doubt about it he does possess some ch teau or other last night the general told me that for certain now are you satisfied,37,37,Q37
33,Alexis Ivanovitch,['Polina Alexandrovna'],nevertheless in your place i should marry the englishman,38,38,Q38
34,Polina Alexandrovna,['Alexis Ivanovitch'],and why,39,39,Q39
35,Alexis Ivanovitch,['Polina Alexandrovna'],because though the frenchman is the handsomer of the two he is also the baser whereas the englishman is not only a man of honour but ten times the wealthier of the pair,40,40,Q40
36,Polina Alexandrovna,['Alexis Ivanovitch'],yes but then the frenchman is a marquis and the cleverer of the two,41,41,Q41
37,Alexis Ivanovitch,['Polina Alexandrovna'],is that so,42,42,Q42
38,Polina Alexandrovna,['Alexis Ivanovitch'],yes absolutely it amuses me to see you grow angry however inasmuch as i allow you to indulge in these questions and conjectures you ought to pay me something for the privilege,43,44,"Q43,Q44"
39,Alexis Ivanovitch,['Polina Alexandrovna'],i consider that i have a perfect right to put these questions to you for the reason that i am ready to pay for them and also care little what becomes of me,45,45,Q45
40,Polina Alexandrovna,['Alexis Ivanovitch'],last time you told me when on the shlangenberg that at a word from me you would be ready to jump down a thousand feet into the abyss some day i may remind you of that saying in order to see if you will be as good as your word yes you may depend upon it that i shall do so i hate you because i have allowed you to go to such lengths and i also hate you and still more because you are so necessary to me for the time being i want you so i must keep you,46,46,Q46
41,Alexis Ivanovitch,['Polina Alexandrovna'],may i ask you who is this mlle blanche,47,47,Q47
42,Polina Alexandrovna,['Alexis Ivanovitch'],you know who she is just mlle blanche nothing further has transpired probably she will soon be madame general that is to say if the rumours that grandmamma is nearing her end should prove true mlle blanche with her mother and her cousin the marquis know very well that as things now stand we are ruined,48,48,Q48
43,Alexis Ivanovitch,['Polina Alexandrovna'],and is the general at last in love,49,49,Q49
44,Polina Alexandrovna,['Alexis Ivanovitch'],that has nothing to do with it listen to me take these 700 florins and go and play roulette with them win as much for me as you can for i am badly in need of money,50,50,Q50
45,Alexis Ivanovitch,['Alexis Ivanovitch'],do i or do i not love her,51,51,Q51
46,The General,['Alexis Ivanovitch'],and even if you were to win much i should be compromised of course i have no right to order your actions but you yourself will agree that,52,52,Q52
47,Polina Alexandrovna,['Alexis Ivanovitch'],why not,53,53,Q53
48,Alexis Ivanovitch,['Polina Alexandrovna'],because i wish to play for myself that is my sole reason,54,54,Q54
49,Polina Alexandrovna,['Alexis Ivanovitch'],then are you so certain that your roulette playing will get us out of our difficulties,55,55,Q55
50,Alexis Ivanovitch,['Polina Alexandrovna'],yes possibly my certainty about winning may seem to you ridiculous yet pray leave me in peace i am not unwilling so to do but in all probability i should lose,56,58,"Q56,Q57,Q58"
51,Polina Alexandrovna,['Alexis Ivanovitch'],well absurd though it be i place great hopes on your playing of roulette wherefore you ought to play as my partner and on equal shares wherefore of course you will do as i wish,59,59,Q59
52,Mr. Astley,['Alexis Ivanovitch'],that mlle blanche well i have seen a good many women like her it is so does mlle polina like flowers,60,62,"Q60,Q61,Q62"
53,Alexis Ivanovitch,['Mr. Astley'],i really cannot say,63,63,Q63
54,Mr. Astley,['Alexis Ivanovitch'],what you cannot say,64,64,Q64
55,Alexis Ivanovitch,['Mr. Astley'],no i have never noticed whether she does so or not,65,65,Q65
56,Mr. Astley,['Alexis Ivanovitch'],hm then i have an idea in my mind,66,66,Q66
57,Alexis Ivanovitch,['Alexis Ivanovitch'],at all events she in her turn has promised to give me an explanation to night and to reveal to me something or another,67,67,Q67
58,Marqis De Griers,"['Alexis Ivanovitch', 'Polina Alexandrovna', 'The General']",a man ought to go more carefully though a great many russians go in for gambling they are no good at the game,68,69,"Q68,Q69"
59,Alexis Ivanovitch,"['Marqis De Griers', 'Polina Alexandrovna', 'The General']",i think that roulette was devised specially for russians,70,70,Q70
60,Marqis De Griers,"['Alexis Ivanovitch', 'Polina Alexandrovna', 'The General']",upon what do you base your opinion,71,71,Q71
61,Alexis Ivanovitch,"['Marqis De Griers', 'Polina Alexandrovna', 'The General']",upon the fact that to the virtues and merits of the civilised westerner there has become historically added though this is not his chief point a capacity for acquiring capital whereas not only is the russian incapable of acquiring capital but also he exhausts it wantonly and of sheer folly none the less we russians often need money wherefore we are glad of and greatly devoted to a method of acquisition like roulette whereby in a couple of hours one may grow rich without doing any work this method i repeat has a great attraction for us but since we play in wanton fashion and without taking any trouble we almost invariably lose,72,72,Q72
62,Marqis De Griers,"['Alexis Ivanovitch', 'Polina Alexandrovna', 'The General']",to a certain extent that is true,73,73,Q73
63,The General,"['Alexis Ivanovitch', 'Marqis De Griers', 'Polina Alexandrovna']",oh no it is not true and you you ought to be ashamed of yourself for traducing your own country,74,75,"Q74,Q75"
64,Alexis Ivanovitch,"['Marqis De Griers', 'Polina Alexandrovna', 'The General']",i beg pardon yet it would be difficult to say which is the worst of the two russian ineptitude or the german method of growing rich through honest toil,76,76,Q76
65,The General,"['Alexis Ivanovitch', 'Marqis De Griers', 'Polina Alexandrovna']",what an extraordinary idea,77,77,Q77
66,Marqis De Griers,"['Alexis Ivanovitch', 'Polina Alexandrovna', 'The General']",and what a russian idea,78,78,Q78
67,Alexis Ivanovitch,"['Marqis De Griers', 'Polina Alexandrovna', 'The General']",i would rather live a wandering life in tents than bow the knee to a german idol,79,79,Q79
68,The General,"['Alexis Ivanovitch', 'Marqis De Griers', 'Polina Alexandrovna']",to what idol,80,80,Q80
