A,B,i_merge_id,j_merge_id,i_text,j_text,i_addressees,A_gender,A_category,B_gender,B_category
The General,Alexis Ivanovitch,2,4,But you will soon be in receipt of some Let us calculate We must translate these roubles into thalers Here take 100 thalers as a round sum The rest will be safe in my hands You must not be offended at what I say You are too touchy about these things What I have said I have said merely as a warning To do so is no more than my right,If one is a man of self respect one risks abuse by so doing and is forced to put up with insults of every kind Both at Paris and on the Rhine and even in Switzerland there are so many Poles with their sympathisers the French at these tables d h te that one cannot get a word in edgeways if one happens only to be a Russian,Alexis Ivanovitch,M,intermediate,M,major
Marqis De Griers,The General,5,7,Of course one always learns something everywhere,To spit into it,Alexis Ivanovitch; Mr. Astley; The General,M,intermediate,M,intermediate
Alexis Ivanovitch,Marqis De Griers,8,10,Just so You must know that on one occasion when for two days I had felt certain that at any moment I might have to depart for Rome on business I repaired to the Embassy of the Holy See in Paris to have my passport visaed There I encountered a sacristan of about fifty and a man dry and cold of mien After listening politely but with great reserve to my account of myself this sacristan asked me to wait a little I was in a great hurry to depart but of course I sat down pulled out a copy of L Opinion Nationale and fell to reading an extraordinary piece of invective against Russia which it happened to contain As I was thus engaged I heard some one enter an adjoining room and ask for Monsignor after which I saw the sacristan make a low bow to the visitor and then another bow as the visitor took his leave I ventured to remind the good man of my own business also whereupon with an expression of if anything increased dryness he again asked me to wait Soon a third visitor arrived who like myself had come on business he was an Austrian of some sort and as soon as ever he had stated his errand he was conducted upstairs This made me very angry I rose approached the sacristan and told him that since Monsignor was receiving callers his lordship might just as well finish off my affair as well Upon this the sacristan shrunk back in astonishment It simply passed his understanding that any insignificant Russian should dare to compare himself with other visitors of Monsignor s In a tone of the utmost effrontery as though he were delighted to have a chance of insulting me he looked me up and down and then said But I only cried the louder screeched the sacristan again shrinking back in horror Then rushing to the door he spread out his arms as though he would rather die than let me enter,What really saved you was the fact that you proclaimed yourself a heretic and a barbarian Cela n tait pas si b te,Marqis De Griers; Mr. Astley; The General,M,major,M,intermediate
The General,Alexis Ivanovitch,9,11,But,But is that how Russian subjects ought to be treated Why when they settle here they dare not utter even a word they are ready even to deny the fact that they are Russians At all events at my hotel in Paris I received far more attention from the company after I had told them about the fracas with the sacristan A fat Polish nobleman who had been the most offensive of all who were present at the table d h te at once went upstairs while some of the Frenchmen were simply disgusted when I told them that two years ago I had encountered a man at whom in 1812 a French hero fired for the mere fun of discharging his musket That man was then a boy of ten and his family are still residing in Moscow,Alexis Ivanovitch; Marqis De Griers; Mr. Astley,M,intermediate,M,major
The General,Alexis Ivanovitch,46,48,And even if you were to win much I should be compromised Of course I have no right to order your actions but you yourself will agree that,Because I wish to play for myself That is my sole reason,Alexis Ivanovitch,M,intermediate,M,major
Polina Alexandrovna,Alexis Ivanovitch,51,53,Well absurd though it be I place great hopes on your playing of roulette wherefore you ought to play as my partner and on equal shares wherefore of course you will do as I wish,I really cannot say,Alexis Ivanovitch,F,major,M,major
Alexis Ivanovitch,The General,61,63,Upon the fact that to the virtues and merits of the civilised Westerner there has become historically added though this is not his chief point a capacity for acquiring capital whereas not only is the Russian incapable of acquiring capital but also he exhausts it wantonly and of sheer folly None the less we Russians often need money wherefore we are glad of and greatly devoted to a method of acquisition like roulette whereby in a couple of hours one may grow rich without doing any work This method I repeat has a great attraction for us but since we play in wanton fashion and without taking any trouble we almost invariably lose,Oh no it is not true And you you ought to be ashamed of yourself for traducing your own country,Marqis De Griers; Polina Alexandrovna; The General,M,major,M,intermediate
Marqis De Griers,Alexis Ivanovitch,62,64,To a certain extent that is true,I beg pardon Yet it would be difficult to say which is the worst of the two Russian ineptitude or the German method of growing rich through honest toil,Alexis Ivanovitch; Polina Alexandrovna; The General,M,intermediate,M,major
Alexis Ivanovitch,Marqis De Griers,64,66,I beg pardon Yet it would be difficult to say which is the worst of the two Russian ineptitude or the German method of growing rich through honest toil,And what a Russian idea,Marqis De Griers; Polina Alexandrovna; The General,M,major,M,intermediate
The General,Alexis Ivanovitch,65,67,What an extraordinary idea,I would rather live a wandering life in tents than bow the knee to a German idol,Alexis Ivanovitch; Marqis De Griers; Polina Alexandrovna,M,intermediate,M,major
