A,B,i_merge_id,j_merge_id,i_text,j_text,i_addressees,A_gender,A_category,B_gender,B_category
The General,Alexis Ivanovitch,0,69,i suppose you would like to take them to the casino to play roulette well excuse my speaking so plainly but i know how addicted you are to gambling though i am not your mentor nor wish to be at least i have a right to require that you shall not actually compromise me,to the german method of heaping up riches i have not been here very long but i can tell you that what i have seen and verified makes my tartar blood boil good lord i wish for no virtues of that kind yesterday i went for a walk of about ten versts and everywhere i found that things were even as we read of them in good german picture books that every house has its vater who is horribly beneficent and extraordinarily honourable so honourable is he that it is dreadful to have anything to do with him and i cannot bear people of that sort each such vater has his family and in the evenings they read improving books aloud over their roof trees there murmur elms and chestnuts the sun has sunk to his rest a stork is roosting on the gable and all is beautifully poetic and touching do not be angry general let me tell you something that is even more touching than that i can remember how of an evening my own father now dead used to sit under the lime trees in his little garden and to read books aloud to myself and my mother yes i know how things ought to be done yet every german family is bound to slavery and to submission to its vater they work like oxen and amass wealth like jews suppose the vater has put by a certain number of g lden which he hands over to his eldest son in order that the said son may acquire a trade or a small plot of land well one result is to deprive the daughter of a dowry and so leave her among the unwedded for the same reason the parents will have to sell the younger son into bondage or the ranks of the army in order that he may earn more towards the family capital yes such things are done for i have been making inquiries on the subject it is all done out of sheer rectitude out of a rectitude which is magnified to the point of the younger son believing that he has been rightly sold and that it is simply idyllic for the victim to rejoice when he is made over into pledge what more have i to tell well this that matters bear just as hardly upon the eldest son perhaps he has his gretchen to whom his heart is bound but he cannot marry her for the reason that he has not yet amassed sufficient g lden so the pair wait on in a mood of sincere and virtuous expectation and smilingly deposit themselves in pawn the while gretchen s cheeks grow sunken and she begins to wither until at last after some twenty years their substance has multiplied and sufficient g lden have been honourably and virtuously accumulated then the vater blesses his forty year old heir and the thirty five year old gretchen with the sunken bosom and the scarlet nose after which he bursts into tears reads the pair a lesson on morality and dies in turn the eldest son becomes a virtuous vater and the old story begins again in fifty or sixty years time the grandson of the original vater will have amassed a considerable sum and that sum he will hand over to his son and the latter to his son and so on for several generations until at length there will issue a baron rothschild or a hoppe and company or the devil knows what is it not a beautiful spectacle the spectacle of a century or two of inherited labour patience intellect rectitude character perseverance and calculation with a stork sitting on the roof above it all what is more they think there can never be anything better than this wherefore from their point of view they begin to judge the rest of the world and to censure all who are at fault that is to say who are not exactly like themselves yes there you have it in a nutshell for my own part i would rather grow fat after the russian manner or squander my whole substance at roulette i have no wish to be hoppe and company at the end of five generations i want the money for myself for in no way do i look upon my personality as necessary to or meet to be given over to capital i may be wrong but there you have it those are my views,Alexis Ivanovitch,M,intermediate,M,major
The General,Alexis Ivanovitch,2,140,but you will soon be in receipt of some let us calculate we must translate these roubles into thalers here take 100 thalers as a round sum the rest will be safe in my hands you must not be offended at what i say you are too touchy about these things what i have said i have said merely as a warning to do so is no more than my right,excuse me general but did he make an express point of it that i should cease to belong to your establishment as you call it,Alexis Ivanovitch,M,intermediate,M,major
The General,Alexis Ivanovitch,7,501,to spit into it,then how will you pay your hotel bill and what shall you do afterwards,Alexis Ivanovitch; Marqis De Griers; Mr. Astley,M,intermediate,M,major
The General,Alexis Ivanovitch,63,138,oh no it is not true and you you ought to be ashamed of yourself for traducing your own country,do not think that it was not so at all i grant you that my behaviour was bad i fully confess that it was so and make no secret of the fact i would even go so far as to grant you that my behaviour might well be called stupid and indecent tomfoolery but more than that it was not also let me tell you that i am very sorry for my conduct yet there is one circumstance which in my eyes almost absolves me from regret in the matter of late that is to say for the last two or three weeks i have been feeling not at all well that is to say i have been in a sick nervous irritable fanciful condition so that i have periodically lost control over myself for instance on more than one occasion i have tried to pick a quarrel even with monsieur le marquise here and under the circumstances he had no choice but to answer me in short i have recently been showing signs of ill health whether the baroness burmergelm will take this circumstance into consideration when i come to beg her pardon for i do intend to make her amends i do not know but i doubt if she will and the less so since so far as i know the circumstance is one which of late has begun to be abused in the legal world in that advocates in criminal cases have taken to justifying their clients on the ground that at the moment of the crime they the clients were unconscious of what they were doing that in short they were out of health my client committed the murder that is true but he has no recollection of having committed it and doctors actually support these advocates by affirming that there really is such a malady that there really can arise temporary delusions which make a man remember nothing of a given deed or only a half or a quarter of it but the baron and baroness are members of an older generation as well as prussian junkers and landowners to them such a process in the medico judicial world will be unknown and therefore they are the more unlikely to accept any such explanation what is your opinion about it general,Alexis Ivanovitch; Marqis De Griers; Polina Alexandrovna,M,intermediate,M,major
The General,Alexis Ivanovitch,68,132,to what idol,i should be glad if we could come straight to the point probably you are referring to my encounter of today with a german,Alexis Ivanovitch; Marqis De Griers; Polina Alexandrovna,M,intermediate,M,major
The General,Alexis Ivanovitch,131,136,my good sir may i ask you what this is that you have gone and done,not in the least you must know that when i was in berlin i frequently used to hear the berliners repeat and repellently prolong a certain phrase namely and happening to meet this couple in the carriage drive i found for some reason or another that this phrase suddenly recurred to my memory and exercised a rousing effect upon my spirits moreover on the three previous occasions that i have met the baroness she has walked towards me as though i were a worm which could easily be crushed with the foot not unnaturally i too possess a measure of self respect wherefore on this occasion i took off my hat and said politely yes i assure you it was said politely then the baron turned round and said whereupon i felt moved to ejaculate in answer twice i shouted it at him the first time in an ordinary tone and the second time with the greatest prolonging of the words of which i was capable that is all,Alexis Ivanovitch; Marqis De Griers,M,intermediate,M,major
The General,Alexis Ivanovitch,133,1,with a german why the german was the baron burmergelm a most important personage i hear that you have been rude both to him and to the baroness,i have no money for gambling,Alexis Ivanovitch; Marqis De Griers,M,intermediate,M,major
The General,Alexis Ivanovitch,135,142,but i understand that you simply terrified them my good sir,the matter cannot end here i regret very much that you should have been put to unpleasantness at the baron s hands but the fault pardon me is your own how came you to answer for me to the baron and what did you mean by saying that i formed part of your household i am merely your family tutor not a son of yours nor yet your ward nor a person of any kind for whose acts you need be responsible i am a judicially competent person a man of twenty five years of age a university graduate a gentleman and until i met yourself a complete stranger to you only my boundless respect for your merits restrains me from demanding satisfaction at your hands as well as a further explanation as to the reasons which have led you to take it upon yourself to answer for my conduct nor do i intend to let the baron off and since you general have today been so good as to listen to the baron s complaints and to enter into his concerns since you have made yourself a participator in the affair i have the honour to inform you that tomorrow morning at the latest i shall in my own name demand of the said baron a formal explanation as to the reasons which have led him to disregard the fact that the matter lies between him and myself alone and to put a slight upon me by referring it to another person as though i were unworthy to answer for my own conduct,Alexis Ivanovitch; Marqis De Griers,M,intermediate,M,major
The General,Alexis Ivanovitch,137,144,you are only making fun of me,general one cannot arrest a man for brawling until he has brawled i have not so much as begun my explanations to the baron and you are altogether ignorant as to the form and time which my intended procedure is likely to assume i wish but to disabuse the baron of what is to me a shameful supposition namely that i am under the guardianship of a person who is qualified to exercise control over my free will it is vain for you to disturb and alarm yourself,Alexis Ivanovitch; Marqis De Griers,M,intermediate,M,major
The General,Alexis Ivanovitch,139,64,enough sir enough i say once and for all i must endeavour to rid myself of you and your impertinence to justify yourself in the eyes of the baron and baroness will be impossible any intercourse with you even though it be confined to a begging of their pardons they would look upon as a degradation i may tell you that on learning that you formed part of my household the baron approached me in the casino and demanded of me additional satisfaction do you understand then what it is that you have entailed upon me upon me my good sir you have entailed upon me the fact of my being forced to sue humbly to the baron and to give him my word of honour that this very day you shall cease to belong to my establishment,i beg pardon yet it would be difficult to say which is the worst of the two russian ineptitude or the german method of growing rich through honest toil,Alexis Ivanovitch; Marqis De Griers,M,intermediate,M,major
