quoteID,quoteText,quoteBy,quoteTo
Q0,hamidullah hamidullah am i late,Dr. Aziz,"['Mahmoud Ali', 'Hamidullah']"
Q1,do not apologize you are always late,Hamidullah,"['Mahmoud Ali', 'Dr. Aziz']"
Q2,kindly answer my question am i late has mahmoud ali eaten all the food if so i go elsewhere mr mahmoud ali how are you,Dr. Aziz,"['Mahmoud Ali', 'Hamidullah']"
Q3,thank you dr aziz i am dying,Mahmoud Ali,"['Dr. Aziz', 'Hamidullah']"
Q4,dying before your dinner oh poor mahmoud ali,Dr. Aziz,"['Mahmoud Ali', 'Hamidullah']"
Q5,hamidullah here is actually dead he passed away just as you rode up on your bike,Mahmoud Ali,"['Dr. Aziz', 'Hamidullah']"
Q6,yes that is so imagine us both as addressing you from another and a happier world,Hamidullah,"['Mahmoud Ali', 'Dr. Aziz']"
Q7,does there happen to be such a thing as a hookah in that happier world of yours,Dr. Aziz,"['Mahmoud Ali', 'Hamidullah']"
Q8,aziz don t chatter we are having a very sad talk,Hamidullah,"['Mahmoud Ali', 'Dr. Aziz']"
Q9,well look at my own experience this morning,Mahmoud Ali,"['Dr. Aziz', 'Hamidullah']"
Q10,i only contend that it is possible in england,Hamidullah,"['Mahmoud Ali', 'Dr. Aziz']"
Q11,it is impossible here aziz the red nosed boy has again insulted me in court i do not blame him he was told that he ought to insult me until lately he was quite a nice boy but the others have got hold of him,Mahmoud Ali,"['Dr. Aziz', 'Hamidullah']"
Q12,yes they have no chance here that is my point they come out intending to be gentlemen and are told it will not do look at lesley look at blakiston now it is your red nosed boy and fielding will go next why i remember when turton came out first it was in another part of the province you fellows will not believe me but i have driven with turton in his carriage turton oh yes we were once quite intimate he has shown me his stamp collection,Hamidullah,"['Mahmoud Ali', 'Dr. Aziz']"
Q13,he would expect you to steal it now turton but red nosed boy will be far worse than turton,Mahmoud Ali,"['Dr. Aziz', 'Hamidullah']"
Q14,i do not think so they all become exactly the same not worse not better i give any englishman two years be he turton or burton it is only the difference of a letter and i give any englishwoman six months all are exactly alike do you not agree with me,Hamidullah,"['Mahmoud Ali', 'Dr. Aziz']"
Q15,i do not for my own part i find such profound differences among our rulers red nose mumbles turton talks distinctly mrs turton takes bribes mrs red nose does not and cannot because so far there is no mrs red nose,Mahmoud Ali,"['Dr. Aziz', 'Hamidullah']"
Q16,bribes,Hamidullah,"['Mahmoud Ali', 'Dr. Aziz']"
Q17,did you not know that when they were lent to central india over a canal scheme some rajah or other gave her a sewing machine in solid gold so that the water should run through his state,Mahmoud Ali,"['Dr. Aziz', 'Hamidullah']"
Q18,and does it,Hamidullah,"['Mahmoud Ali', 'Dr. Aziz']"
Q19,no that is where mrs turton is so skilful when we poor blacks take bribes we perform what we are bribed to perform and the law discovers us in consequence the english take and do nothing i admire them,Mahmoud Ali,"['Dr. Aziz', 'Hamidullah']"
Q20,we all admire them aziz please pass me the hookah,Hamidullah,"['Mahmoud Ali', 'Dr. Aziz']"
Q21,oh not yet hookah is so jolly now,Dr. Aziz,"['Mahmoud Ali', 'Hamidullah']"
Q22,you are a very selfish boy,Hamidullah,"['Mahmoud Ali', 'Dr. Aziz']"
Q23,but take my case the case of young hugh bannister here is the son of my dear my dead friends the reverend and mrs bannister whose goodness to me in england i shall never forget or describe they were father and mother to me i talked to them as i do now in the vacations their rectory became my home they entrusted all their children to me i often carried little hugh about i took him up to the funeral of queen victoria and held him in my arms above the crowd,Hamidullah,"['Mahmoud Ali', 'Dr. Aziz']"
Q24,queen victoria was different,Mahmoud Ali,"['Dr. Aziz', 'Hamidullah']"
Q25,i learn now that this boy is in business as a leather merchant at cawnpore imagine how i long to see him and to pay his fare that this house may be his home but it is useless the other anglo indians will have got hold of him long ago he will probably think that i want something and i cannot face that from the son of my old friends oh what in this country has gone wrong with everything vakil sahib i ask you,Hamidullah,"['Mahmoud Ali', 'Dr. Aziz']"
Q26,why talk about the english brrrr why be either friends with the fellows or not friends let us shut them out and be jolly queen victoria and mrs bannister were the only exceptions and they re dead,Dr. Aziz,"['Mahmoud Ali', 'Hamidullah']"
Q27,no no i do not admit that i have met others,Hamidullah,"['Mahmoud Ali', 'Dr. Aziz']"
Q28,so have i all ladies are far from alike,Mahmoud Ali,"['Dr. Aziz', 'Hamidullah']"
Q29,she said,_unknowable,"['Mahmoud Ali', 'Hamidullah', 'Dr. Aziz']"
Q30,in the most natural way,_unknowable,"['Mahmoud Ali', 'Hamidullah', 'Dr. Aziz']"
Q31,she offered me a lozenge when the dust irritated my throat,_unknowable,"['Mahmoud Ali', 'Hamidullah', 'Dr. Aziz']"
Q32,but of course all this is exceptional the exception does not prove the rule the average woman is like mrs turton and aziz you know what she is,Mahmoud Ali,"['Dr. Aziz', 'Hamidullah']"
Q33,come and see my wife a little then,Hamidullah,['Dr. Aziz']
Q34,once is enough,Dr. Aziz,"['Hamidullah', 'Hamidullah Begum']"
Q35,yes he has done his duty do not tease him so he carries on his family two boys and their sister,Hamidullah,"['Dr. Aziz', 'Hamidullah Begum']"
Q36,aunt they live most comfortably with my wife s mother where she was living when she died i can see them whenever i like they are such very very small children,Dr. Aziz,"['Hamidullah', 'Hamidullah Begum']"
Q37,and he sends them the whole of his salary and lives like a low grade clerk and tells no one the reason what more do you require him to do,Hamidullah,"['Dr. Aziz', 'Hamidullah Begum']"
Q38,what is to become of all our daughters if men refuse to marry they will marry beneath them or,Hamidullah Begum,"['Dr. Aziz', 'Hamidullah']"
Q39,perhaps but later,Dr. Aziz,"['Hamidullah', 'Hamidullah Begum']"
Q40,you mustn t put off what you think right that is why india is in such a plight because we put off things,Hamidullah,"['Dr. Aziz', 'Hamidullah Begum']"
Q41,old callendar wants to see me at his bungalow he might have the politeness to say why,Dr. Aziz,"['Hamidullah', 'Mohammed Latif']"
Q42,some case i daresay,Hamidullah,"['Dr. Aziz', 'Mohammed Latif']"
Q43,i daresay not i daresay nothing he has found out our dinner hour that s all and chooses to interrupt us every time in order to show his power,Dr. Aziz,"['Hamidullah', 'Mohammed Latif']"
