merge_id,speaker,addressees,text_merged,first_turn_index,last_turn_index,source_quoteIDs
0,Dr. Aziz,"['Hamidullah', 'Mahmoud Ali']",hamidullah hamidullah am i late,0,0,Q0
1,Hamidullah,"['Dr. Aziz', 'Mahmoud Ali']",do not apologize you are always late,1,1,Q1
2,Dr. Aziz,"['Hamidullah', 'Mahmoud Ali']",kindly answer my question am i late has mahmoud ali eaten all the food if so i go elsewhere mr mahmoud ali how are you,2,2,Q2
3,Mahmoud Ali,"['Dr. Aziz', 'Hamidullah']",thank you dr aziz i am dying,3,3,Q3
4,Dr. Aziz,"['Hamidullah', 'Mahmoud Ali']",dying before your dinner oh poor mahmoud ali,4,4,Q4
5,Mahmoud Ali,"['Dr. Aziz', 'Hamidullah']",hamidullah here is actually dead he passed away just as you rode up on your bike,5,5,Q5
6,Hamidullah,"['Dr. Aziz', 'Mahmoud Ali']",yes that is so imagine us both as addressing you from another and a happier world,6,6,Q6
7,Dr. Aziz,"['Hamidullah', 'Mahmoud Ali']",does there happen to be such a thing as a hookah in that happier world of yours,7,7,Q7
8,Hamidullah,"['Dr. Aziz', 'Mahmoud Ali']",aziz don t chatter we are having a very sad talk,8,8,Q8
9,Mahmoud Ali,"['Dr. Aziz', 'Hamidullah']",well look at my own experience this morning,9,9,Q9
10,Hamidullah,"['Dr. Aziz', 'Mahmoud Ali']",i only contend that it is possible in england,10,10,Q10
11,Mahmoud Ali,"['Dr. Aziz', 'Hamidullah']",it is impossible here aziz the red nosed boy has again insulted me in court i do not blame him he was told that he ought to insult me until lately he was quite a nice boy but the others have got hold of him,11,11,Q11
12,Hamidullah,"['Dr. Aziz', 'Mahmoud Ali']",yes they have no chance here that is my point they come out intending to be gentlemen and are told it will not do look at lesley look at blakiston now it is your red nosed boy and fielding will go next why i remember when turton came out first it was in another part of the province you fellows will not believe me but i have driven with turton in his carriage turton oh yes we were once quite intimate he has shown me his stamp collection,12,12,Q12
13,Mahmoud Ali,"['Dr. Aziz', 'Hamidullah']",he would expect you to steal it now turton but red nosed boy will be far worse than turton,13,13,Q13
14,Hamidullah,"['Dr. Aziz', 'Mahmoud Ali']",i do not think so they all become exactly the same not worse not better i give any englishman two years be he turton or burton it is only the difference of a letter and i give any englishwoman six months all are exactly alike do you not agree with me,14,14,Q14
15,Mahmoud Ali,"['Dr. Aziz', 'Hamidullah']",i do not for my own part i find such profound differences among our rulers red nose mumbles turton talks distinctly mrs turton takes bribes mrs red nose does not and cannot because so far there is no mrs red nose,15,15,Q15
16,Hamidullah,"['Dr. Aziz', 'Mahmoud Ali']",bribes,16,16,Q16
17,Mahmoud Ali,"['Dr. Aziz', 'Hamidullah']",did you not know that when they were lent to central india over a canal scheme some rajah or other gave her a sewing machine in solid gold so that the water should run through his state,17,17,Q17
18,Hamidullah,"['Dr. Aziz', 'Mahmoud Ali']",and does it,18,18,Q18
19,Mahmoud Ali,"['Dr. Aziz', 'Hamidullah']",no that is where mrs turton is so skilful when we poor blacks take bribes we perform what we are bribed to perform and the law discovers us in consequence the english take and do nothing i admire them,19,19,Q19
20,Hamidullah,"['Dr. Aziz', 'Mahmoud Ali']",we all admire them aziz please pass me the hookah,20,20,Q20
21,Dr. Aziz,"['Hamidullah', 'Mahmoud Ali']",oh not yet hookah is so jolly now,21,21,Q21
22,Hamidullah,"['Dr. Aziz', 'Mahmoud Ali']",you are a very selfish boy but take my case the case of young hugh bannister here is the son of my dear my dead friends the reverend and mrs bannister whose goodness to me in england i shall never forget or describe they were father and mother to me i talked to them as i do now in the vacations their rectory became my home they entrusted all their children to me i often carried little hugh about i took him up to the funeral of queen victoria and held him in my arms above the crowd,22,23,"Q22,Q23"
23,Mahmoud Ali,"['Dr. Aziz', 'Hamidullah']",queen victoria was different,24,24,Q24
24,Hamidullah,"['Dr. Aziz', 'Mahmoud Ali']",i learn now that this boy is in business as a leather merchant at cawnpore imagine how i long to see him and to pay his fare that this house may be his home but it is useless the other anglo indians will have got hold of him long ago he will probably think that i want something and i cannot face that from the son of my old friends oh what in this country has gone wrong with everything vakil sahib i ask you,25,25,Q25
25,Dr. Aziz,"['Hamidullah', 'Mahmoud Ali']",why talk about the english brrrr why be either friends with the fellows or not friends let us shut them out and be jolly queen victoria and mrs bannister were the only exceptions and they re dead,26,26,Q26
26,Hamidullah,"['Dr. Aziz', 'Mahmoud Ali']",no no i do not admit that i have met others,27,27,Q27
27,Mahmoud Ali,"['Dr. Aziz', 'Hamidullah']",so have i all ladies are far from alike,28,28,Q28
28,_unknowable,"['Dr. Aziz', 'Hamidullah', 'Mahmoud Ali']",she said in the most natural way she offered me a lozenge when the dust irritated my throat,29,31,"Q29,Q30,Q31"
29,Mahmoud Ali,"['Dr. Aziz', 'Hamidullah']",but of course all this is exceptional the exception does not prove the rule the average woman is like mrs turton and aziz you know what she is,32,32,Q32
30,Hamidullah,['Dr. Aziz'],come and see my wife a little then,33,33,Q33
31,Dr. Aziz,"['Hamidullah', 'Hamidullah Begum']",once is enough,34,34,Q34
32,Hamidullah,"['Dr. Aziz', 'Hamidullah Begum']",yes he has done his duty do not tease him so he carries on his family two boys and their sister,35,35,Q35
33,Dr. Aziz,"['Hamidullah', 'Hamidullah Begum']",aunt they live most comfortably with my wife s mother where she was living when she died i can see them whenever i like they are such very very small children,36,36,Q36
34,Hamidullah,"['Dr. Aziz', 'Hamidullah Begum']",and he sends them the whole of his salary and lives like a low grade clerk and tells no one the reason what more do you require him to do,37,37,Q37
35,Hamidullah Begum,"['Dr. Aziz', 'Hamidullah']",what is to become of all our daughters if men refuse to marry they will marry beneath them or,38,38,Q38
36,Dr. Aziz,"['Hamidullah', 'Hamidullah Begum']",perhaps but later,39,39,Q39
37,Hamidullah,"['Dr. Aziz', 'Hamidullah Begum']",you mustn t put off what you think right that is why india is in such a plight because we put off things,40,40,Q40
38,Dr. Aziz,"['Hamidullah', 'Mohammed Latif']",old callendar wants to see me at his bungalow he might have the politeness to say why,41,41,Q41
39,Hamidullah,"['Dr. Aziz', 'Mohammed Latif']",some case i daresay,42,42,Q42
40,Dr. Aziz,"['Hamidullah', 'Mohammed Latif']",i daresay not i daresay nothing he has found out our dinner hour that s all and chooses to interrupt us every time in order to show his power,43,43,Q43
41,Hamidullah,"['Dr. Aziz', 'Mohammed Latif']",on the one hand he always does this on the other it may be a serious case and you cannot know had you not better clean your teeth after pan,44,44,Q44
42,Dr. Aziz,"['Hamidullah', 'Mohammed Latif']",if my teeth are to be cleaned i don t go at all i am an indian it is an indian habit to take pan the civil surgeon must put up with it mohammed latif my bike please,45,45,Q45
43,Hamidullah,"['Dr. Aziz', 'Mohammed Latif']",aziz aziz imprudent boy,46,46,Q46
44,Dr. Aziz,['The Servant'],but the sahib has left me some message,47,47,Q47
45,The Servant,['Dr. Aziz'],no,48,48,Q48
46,Mrs. Callendar,"['Dr. Aziz', 'Mrs. Lesley', 'The Servant']",mrs lesley it is a tonga,49,49,Q49
