A,B,i_merge_id,j_merge_id,i_text,j_text,i_addressees,A_gender,A_category,B_gender,B_category
Thomas Gradgrind,Cecilia Jupe,2,3,girl number twenty i don t know that girl who is that girl,sissy jupe sir,Bitzer; Cecilia Jupe; Josiah Bounderby; Mr. M'choakumchild,M,major,F,major
Cecilia Jupe,Thomas Gradgrind,3,4,sissy jupe sir,sissy is not a name don t call yourself sissy call yourself cecilia,Bitzer; Josiah Bounderby; Mr. M'choakumchild; Thomas Gradgrind,F,major,M,major
Thomas Gradgrind,Cecilia Jupe,4,5,sissy is not a name don t call yourself sissy call yourself cecilia,it s father as calls me sissy sir,Bitzer; Cecilia Jupe; Josiah Bounderby; Mr. M'choakumchild,M,major,F,major
Cecilia Jupe,Thomas Gradgrind,5,6,it s father as calls me sissy sir,then he has no business to do it tell him he mustn t cecilia jupe let me see what is your father,Bitzer; Josiah Bounderby; Mr. M'choakumchild; Thomas Gradgrind,F,major,M,major
Thomas Gradgrind,Cecilia Jupe,6,7,then he has no business to do it tell him he mustn t cecilia jupe let me see what is your father,he belongs to the horse riding if you please sir,Bitzer; Cecilia Jupe; Josiah Bounderby; Mr. M'choakumchild,M,major,F,major
Cecilia Jupe,Thomas Gradgrind,7,8,he belongs to the horse riding if you please sir,we don t want to know anything about that here you mustn t tell us about that here your father breaks horses don t he,Bitzer; Josiah Bounderby; Mr. M'choakumchild; Thomas Gradgrind,F,major,M,major
Thomas Gradgrind,Cecilia Jupe,8,9,we don t want to know anything about that here you mustn t tell us about that here your father breaks horses don t he,if you please sir when they can get any to break they do break horses in the ring sir,Bitzer; Cecilia Jupe; Josiah Bounderby; Mr. M'choakumchild,M,major,F,major
Cecilia Jupe,Thomas Gradgrind,9,10,if you please sir when they can get any to break they do break horses in the ring sir,you mustn t tell us about the ring here very well then describe your father as a horsebreaker he doctors sick horses i dare say,Bitzer; Josiah Bounderby; Mr. M'choakumchild; Thomas Gradgrind,F,major,M,major
Thomas Gradgrind,Cecilia Jupe,10,11,you mustn t tell us about the ring here very well then describe your father as a horsebreaker he doctors sick horses i dare say,oh yes sir,Bitzer; Cecilia Jupe; Josiah Bounderby; Mr. M'choakumchild,M,major,F,major
Cecilia Jupe,Thomas Gradgrind,11,12,oh yes sir,very well then he is a veterinary surgeon a farrier and horsebreaker give me your definition of a horse girl number twenty unable to define a horse girl number twenty possessed of no facts in reference to one of the commonest of animals some boy s definition of a horse bitzer yours bitzer your definition of a horse,Bitzer; Josiah Bounderby; Mr. M'choakumchild; Thomas Gradgrind,F,major,M,major
Thomas Gradgrind,Bitzer,12,13,very well then he is a veterinary surgeon a farrier and horsebreaker give me your definition of a horse girl number twenty unable to define a horse girl number twenty possessed of no facts in reference to one of the commonest of animals some boy s definition of a horse bitzer yours bitzer your definition of a horse,quadruped graminivorous forty teeth namely twenty four grinders four eye teeth and twelve incisive sheds coat in the spring in marshy countries sheds hoofs too hoofs hard but requiring to be shod with iron age known by marks in mouth,Bitzer; Cecilia Jupe; Josiah Bounderby; Mr. M'choakumchild,M,major,M,intermediate
Bitzer,Thomas Gradgrind,13,14,quadruped graminivorous forty teeth namely twenty four grinders four eye teeth and twelve incisive sheds coat in the spring in marshy countries sheds hoofs too hoofs hard but requiring to be shod with iron age known by marks in mouth,now girl number twenty you know what a horse is,Cecilia Jupe; Josiah Bounderby; Mr. M'choakumchild; Thomas Gradgrind,M,intermediate,M,major
Thomas Gradgrind,Josiah Bounderby,14,15,now girl number twenty you know what a horse is,very well that s a horse now let me ask you girls and boys would you paper a room with representations of horses,Bitzer; Cecilia Jupe; Josiah Bounderby; Mr. M'choakumchild,M,major,M,major
Josiah Bounderby,Thomas Gradgrind,17,18,of course no why wouldn t you you must paper it,you must paper it whether you like it or not don t tell us you wouldn t paper it what do you mean boy,Bitzer; Cecilia Jupe; Mr. M'choakumchild; Thomas Gradgrind,M,major,M,major
Thomas Gradgrind,Josiah Bounderby,18,19,you must paper it whether you like it or not don t tell us you wouldn t paper it what do you mean boy,i ll explain to you then why you wouldn t paper a room with representations of horses do you ever see horses walking up and down the sides of rooms in reality in fact do you of course no why then you are not to see anywhere what you don t see in fact you are not to have anywhere what you don t have in fact what is called taste is only another name for fact this is a new principle a discovery a great discovery now i ll try you again suppose you were going to carpet a room would you use a carpet having a representation of flowers upon it girl number twenty so you would carpet your room or your husband s room if you were a grown woman and had a husband with representations of flowers would you why would you,Bitzer; Cecilia Jupe; Josiah Bounderby; Mr. M'choakumchild,M,major,M,major
_group,Cecilia Jupe,20,21,yes sir no sir,if you please sir i am very fond of flowers,Bitzer; Cecilia Jupe; Mr. M'choakumchild; Thomas Gradgrind,F,minor,F,major
Josiah Bounderby,Cecilia Jupe,22,23,and is that why you would put tables and chairs upon them and have people walking over them with heavy boots,it wouldn t hurt them sir they wouldn t crush and wither if you please sir they would be the pictures of what was very pretty and pleasant and i would fancy,Bitzer; Cecilia Jupe; Mr. M'choakumchild; Thomas Gradgrind,M,major,F,major
Cecilia Jupe,Josiah Bounderby,23,24,it wouldn t hurt them sir they wouldn t crush and wither if you please sir they would be the pictures of what was very pretty and pleasant and i would fancy,ay ay ay but you mustn t fancy that s it you are never to fancy,Bitzer; Josiah Bounderby; Mr. M'choakumchild; Thomas Gradgrind,F,major,M,major
Josiah Bounderby,Thomas Gradgrind,24,25,ay ay ay but you mustn t fancy that s it you are never to fancy,you are not cecilia jupe to do anything of that kind,Bitzer; Cecilia Jupe; Mr. M'choakumchild; Thomas Gradgrind,M,major,M,major
Josiah Bounderby,Thomas Gradgrind,26,27,fact fact fact,fact fact fact,Bitzer; Cecilia Jupe; Mr. M'choakumchild; Thomas Gradgrind,M,major,M,major
Thomas Gradgrind,Josiah Bounderby,27,28,fact fact fact,you are to be in all things regulated and governed by fact we hope to have before long a board of fact composed of commissioners of fact who will force the people to be a people of fact and of nothing but fact you must discard the word fancy altogether you have nothing to do with it you are not to have in any object of use or ornament what would be a contradiction in fact you don t walk upon flowers in fact you cannot be allowed to walk upon flowers in carpets you don t find that foreign birds and butterflies come and perch upon your crockery you cannot be permitted to paint foreign birds and butterflies upon your crockery you never meet with quadrupeds going up and down walls you must not have quadrupeds represented upon walls you must use for all these purposes combinations and modifications in primary colours of mathematical figures which are susceptible of proof and demonstration this is the new discovery this is fact this is taste now if mr m choakumchild will proceed to give his first lesson here mr gradgrind i shall be happy at your request to observe his mode of procedure,Bitzer; Cecilia Jupe; Josiah Bounderby; Mr. M'choakumchild,M,major,M,major
Josiah Bounderby,Thomas Gradgrind,28,29,you are to be in all things regulated and governed by fact we hope to have before long a board of fact composed of commissioners of fact who will force the people to be a people of fact and of nothing but fact you must discard the word fancy altogether you have nothing to do with it you are not to have in any object of use or ornament what would be a contradiction in fact you don t walk upon flowers in fact you cannot be allowed to walk upon flowers in carpets you don t find that foreign birds and butterflies come and perch upon your crockery you cannot be permitted to paint foreign birds and butterflies upon your crockery you never meet with quadrupeds going up and down walls you must not have quadrupeds represented upon walls you must use for all these purposes combinations and modifications in primary colours of mathematical figures which are susceptible of proof and demonstration this is the new discovery this is fact this is taste now if mr m choakumchild will proceed to give his first lesson here mr gradgrind i shall be happy at your request to observe his mode of procedure,mr m choakumchild we only wait for you,Bitzer; Cecilia Jupe; Mr. M'choakumchild; Thomas Gradgrind,M,major,M,major
Thomas Gradgrind,Louisa Bounderby,33,34,louisa thomas in the name of wonder idleness and folly what do you do here,wanted to see what it was like,Louisa Bounderby; Young Thomas,M,major,F,major
Louisa Bounderby,Thomas Gradgrind,34,35,wanted to see what it was like,what it was like,Thomas Gradgrind; Young Thomas,F,major,M,major
Thomas Gradgrind,Louisa Bounderby,35,36,what it was like,yes father,Louisa Bounderby; Young Thomas,M,major,F,major
Louisa Bounderby,Thomas Gradgrind,36,37,yes father,thomas though i have the fact before me i find it difficult to believe that you with your education and resources should have brought your sister to a scene like this,Thomas Gradgrind; Young Thomas,F,major,M,major
Thomas Gradgrind,Louisa Bounderby,37,38,thomas though i have the fact before me i find it difficult to believe that you with your education and resources should have brought your sister to a scene like this,i brought him father i asked him to come,Louisa Bounderby; Young Thomas,M,major,F,major
Louisa Bounderby,Thomas Gradgrind,38,39,i brought him father i asked him to come,i am sorry to hear it i am very sorry indeed to hear it it makes thomas no better and it makes you worse louisa you thomas and you to whom the circle of the sciences is open thomas and you who may be said to be replete with facts thomas and you who have been trained to mathematical exactness thomas and you here in this degraded position i am amazed,Thomas Gradgrind; Young Thomas,F,major,M,major
Thomas Gradgrind,Louisa Bounderby,39,40,i am sorry to hear it i am very sorry indeed to hear it it makes thomas no better and it makes you worse louisa you thomas and you to whom the circle of the sciences is open thomas and you who may be said to be replete with facts thomas and you who have been trained to mathematical exactness thomas and you here in this degraded position i am amazed,i was tired father i have been tired a long time,Louisa Bounderby; Young Thomas,M,major,F,major
Louisa Bounderby,Thomas Gradgrind,40,41,i was tired father i have been tired a long time,tired of what,Thomas Gradgrind; Young Thomas,F,major,M,major
Thomas Gradgrind,Louisa Bounderby,41,42,tired of what,i don t know of what of everything i think,Louisa Bounderby; Young Thomas,M,major,F,major
Louisa Bounderby,Thomas Gradgrind,42,43,i don t know of what of everything i think,say not another word you are childish i will hear no more what would your best friends say louisa do you attach no value to their good opinion what would mr bounderby say what would mr bounderby say what would mr bounderby say,Thomas Gradgrind; Young Thomas,F,major,M,major
Mrs. Gradgrind,Josiah Bounderby,44,45,i hadn t a shoe to my foot as to a stocking i didn t know such a thing by name i passed the day in a ditch and the night in a pigsty that s the way i spent my tenth birthday not that a ditch was new to me for i was born in a ditch,no as wet as a sop a foot of water in it,Josiah Bounderby,F,intermediate,M,major
Mrs. Gradgrind,Josiah Bounderby,46,47,enough to give a baby cold,cold i was born with inflammation of the lungs and of everything else i believe that was capable of inflammation for years ma am i was one of the most miserable little wretches ever seen i was so sickly that i was always moaning and groaning i was so ragged and dirty that you wouldn t have touched me with a pair of tongs how i fought through it i don t know i was determined i suppose i have been a determined character in later life and i suppose i was then here i am mrs gradgrind anyhow and nobody to thank for my being here but myself my mother bolted ma am my mother left me to my grandmother and according to the best of my remembrance my grandmother was the wickedest and the worst old woman that ever lived if i got a little pair of shoes by any chance she would take em off and sell em for drink why i have known that grandmother of mine lie in her bed and drink her four teen glasses of liquor before breakfast she kept a chandler s shop and kept me in an egg box that was the cot of my infancy an old egg box as soon as i was big enough to run away of course i ran away then i became a young vagabond and instead of one old woman knocking me about and starving me everybody of all ages knocked me about and starved me they were right they had no business to do anything else i was a nuisance an incumbrance and a pest i know that very well i was to pull through it i suppose mrs gradgrind whether i was to do it or not ma am i did it i pulled through it though nobody threw me out a rope vagabond errand boy vagabond labourer porter clerk chief manager small partner josiah bounderby of coketown those are the antecedents and the culmination josiah bounderby of coketown learnt his letters from the outsides of the shops mrs gradgrind and was first able to tell the time upon a dial plate from studying the steeple clock of st giles s church london under the direction of a drunken cripple who was a convicted thief and an incorrigible vagrant tell josiah bounderby of coketown of your district schools and your model schools and your training schools and your whole kettle of fish of schools and josiah bounderby of coketown tells you plainly all right all correct he hadn t such advantages but let us have hard headed solid fisted people the education that made him won t do for everybody he knows well such and such his education was however and you may force him to swallow boiling fat but you shall never force him to suppress the facts of his life,Josiah Bounderby,F,intermediate,M,major
Josiah Bounderby,Louisa Bounderby,48,49,well what s the matter what is young thomas in the dumps about,we were peeping at the circus and father caught us,Louisa Bounderby; Mrs. Gradgrind; Thomas Gradgrind; Young Thomas,M,major,F,major
