quoteID,quoteText,quoteBy,quoteTo
Q0,now what i want is facts teach these boys and girls nothing but facts facts alone are wanted in life plant nothing else and root out everything else you can only form the minds of reasoning animals upon facts nothing else will ever be of any service to them this is the principle on which i bring up my own children and this is the principle on which i bring up these children stick to facts sir,Thomas Gradgrind,"['Cecilia Jupe', 'The Schoolmaster']"
Q1,in this life we want nothing but facts sir nothing but facts,Thomas Gradgrind,"['Cecilia Jupe', 'The Schoolmaster']"
Q2,boys and girls,Thomas Gradgrind,[]
Q3,sir,Thomas Gradgrind,[]
Q4,girl number twenty i don t know that girl who is that girl,Thomas Gradgrind,"['Josiah Bounderby', 'Cecilia Jupe', 'Bitzer', ""Mr. M'choakumchild""]"
Q5,sissy jupe sir,Cecilia Jupe,"['Thomas Gradgrind', 'Josiah Bounderby', 'Bitzer', ""Mr. M'choakumchild""]"
Q6,sissy is not a name don t call yourself sissy call yourself cecilia,Thomas Gradgrind,"['Josiah Bounderby', 'Cecilia Jupe', 'Bitzer', ""Mr. M'choakumchild""]"
Q7,it s father as calls me sissy sir,Cecilia Jupe,"['Thomas Gradgrind', 'Josiah Bounderby', 'Bitzer', ""Mr. M'choakumchild""]"
Q8,then he has no business to do it tell him he mustn t cecilia jupe let me see what is your father,Thomas Gradgrind,"['Josiah Bounderby', 'Cecilia Jupe', 'Bitzer', ""Mr. M'choakumchild""]"
Q9,he belongs to the horse riding if you please sir,Cecilia Jupe,"['Thomas Gradgrind', 'Josiah Bounderby', 'Bitzer', ""Mr. M'choakumchild""]"
Q10,we don t want to know anything about that here you mustn t tell us about that here your father breaks horses don t he,Thomas Gradgrind,"['Josiah Bounderby', 'Cecilia Jupe', 'Bitzer', ""Mr. M'choakumchild""]"
Q11,if you please sir when they can get any to break they do break horses in the ring sir,Cecilia Jupe,"['Thomas Gradgrind', 'Josiah Bounderby', 'Bitzer', ""Mr. M'choakumchild""]"
Q12,you mustn t tell us about the ring here very well then describe your father as a horsebreaker he doctors sick horses i dare say,Thomas Gradgrind,"['Josiah Bounderby', 'Cecilia Jupe', 'Bitzer', ""Mr. M'choakumchild""]"
Q13,oh yes sir,Cecilia Jupe,"['Thomas Gradgrind', 'Josiah Bounderby', 'Bitzer', ""Mr. M'choakumchild""]"
Q14,very well then he is a veterinary surgeon a farrier and horsebreaker give me your definition of a horse,Thomas Gradgrind,"['Josiah Bounderby', 'Cecilia Jupe', 'Bitzer', ""Mr. M'choakumchild""]"
Q15,girl number twenty unable to define a horse girl number twenty possessed of no facts in reference to one of the commonest of animals some boy s definition of a horse bitzer yours,Thomas Gradgrind,"['Josiah Bounderby', 'Cecilia Jupe', 'Bitzer', ""Mr. M'choakumchild""]"
Q16,bitzer your definition of a horse,Thomas Gradgrind,"['Josiah Bounderby', 'Cecilia Jupe', 'Bitzer', ""Mr. M'choakumchild""]"
Q17,quadruped graminivorous forty teeth namely twenty four grinders four eye teeth and twelve incisive sheds coat in the spring in marshy countries sheds hoofs too hoofs hard but requiring to be shod with iron age known by marks in mouth,Bitzer,"['Thomas Gradgrind', 'Josiah Bounderby', 'Cecilia Jupe', ""Mr. M'choakumchild""]"
Q18,now girl number twenty you know what a horse is,Thomas Gradgrind,"['Josiah Bounderby', 'Cecilia Jupe', 'Bitzer', ""Mr. M'choakumchild""]"
Q19,very well that s a horse now let me ask you girls and boys would you paper a room with representations of horses,Josiah Bounderby,"['Thomas Gradgrind', 'Cecilia Jupe', 'Bitzer', ""Mr. M'choakumchild""]"
Q20,yes sir,_group,"['Thomas Gradgrind', 'Cecilia Jupe', 'Bitzer', ""Mr. M'choakumchild""]"
Q21,no sir,_group,"['Thomas Gradgrind', 'Cecilia Jupe', 'Bitzer', ""Mr. M'choakumchild""]"
Q22,of course no why wouldn t you,Josiah Bounderby,"['Thomas Gradgrind', 'Cecilia Jupe', 'Bitzer', ""Mr. M'choakumchild""]"
