pair_id,a_speaker,b_speaker,i_merge_id,j_merge_id,i_text,j_text,i_addressees,A_gender,A_category,B_gender,B_category,novel,a_articles,a_auxiliary_verbs,a_conjunctions,a_adverbs,a_impersonal_pronouns,a_negations,a_personal_pronouns,a_prepositions,a_quantifiers,b_articles,b_auxiliary_verbs,b_conjunctions,b_adverbs,b_impersonal_pronouns,b_negations,b_personal_pronouns,b_prepositions,b_quantifiers
00000,Mr. Woodhouse,Emma,0,122,poor miss taylor i wish she were here again what a pity it is that mr weston ever thought of her,but my dear papa it is supposed to be summer a warm day in summer look at the tree,Emma,M,intermediate,F,major,Emma,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1
00001,Mr. Woodhouse,Emma,2,880,a house of her own but where is the advantage of a house of her own this is three times as large and you have never any odd humours my dear,i never saw any gentleman s handwriting mr frank churchill writes one of the best gentleman s hands i ever saw,Emma,M,intermediate,F,major,Emma,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1
00002,Mr. Woodhouse,Emma,4,26,my dear how am i to get so far randalls is such a distance i could not walk half so far,i promise you to make none for myself papa but i must indeed for other people it is the greatest amusement in the world and after such success you know every body said that mr weston would never marry again oh dear no mr weston who had been a widower so long and who seemed so perfectly comfortable without a wife so constantly occupied either in his business in town or among his friends here always acceptable wherever he went always cheerful mr weston need not spend a single evening in the year alone if he did not like it oh no mr weston certainly would never marry again some people even talked of a promise to his wife on her deathbed and others of the son and the uncle not letting him all manner of solemn nonsense was talked on the subject but i believed none of it ever since the day about four years ago that miss taylor and i met with him in broadway lane when because it began to drizzle he darted away with so much gallantry and borrowed two umbrellas for us from farmer mitchell s i made up my mind on the subject i planned the match from that hour and when such success has blessed me in this instance dear papa you cannot think that i shall leave off match making,Emma,M,intermediate,F,major,Emma,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
00003,Mr. Woodhouse,Emma,6,583,the carriage but james will not like to put the horses to for such a little way and where are the poor horses to be while we are paying our visit,oh yes papa i have no fears at all for myself and i should have no scruples of staying as late as mrs weston but on your account i am only afraid of your sitting up for me i am not afraid of your not being exceedingly comfortable with mrs goddard she loves piquet you know but when she is gone home i am afraid you will be sitting up by yourself instead of going to bed at your usual time and the idea of that would entirely destroy my comfort you must promise me not to sit up,Emma,M,intermediate,F,major,Emma,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
00004,Mr. Woodhouse,Emma,18,230,i believe it is very true my dear indeed i am afraid i am sometimes very fanciful and troublesome,yes papa we have something to read you something quite fresh a piece of paper was found on the table this morning dropt we suppose by a fairy containing a very pretty charade and we have just copied it in,Emma; Mr. Knightley,M,intermediate,F,major,Emma,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1
00005,Mr. Woodhouse,Emma,25,817,ah my dear i wish you would not make matches and foretell things for whatever you say always comes to pass pray do not make any more matches,i dare say your apologies were accepted sir mr elton knows you,Emma; Mr. Knightley,M,intermediate,F,major,Emma,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0
00006,Mr. Woodhouse,Emma,30,238,emma never thinks of herself if she can do good to others but my dear pray do not make any more matches they are silly things and break up one s family circle grievously,we must ask mr and mrs weston to dine with us while isabella is here,Emma; Mr. Knightley,M,intermediate,F,major,Emma,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0
00007,Mr. Woodhouse,Emma,121,294,it is very pretty so prettily done just as your drawings always are my dear i do not know any body who draws so well as you do the only thing i do not thoroughly like is that she seems to be sitting out of doors with only a little shawl over her shoulders and it makes one think she must catch cold,my dear papa he is three and twenty you forget how time passes,Emma; Harriet Smith; Mr. Elton; Mr. Knightley; Mrs. Weston,M,intermediate,F,major,Emma,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1
00008,Mr. Woodhouse,Emma,229,236,well my dears how does your book go on have you got any thing fresh,she will not be surprized papa at least,Emma; Harriet Smith,M,intermediate,F,major,Emma,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,1,1,1
00009,Mr. Woodhouse,Emma,231,321,aye that s very just indeed that s very properly said very true it is such a pretty charade my dear that i can easily guess what fairy brought it nobody could have written so prettily but you emma ah it is no difficulty to see who you take after your dear mother was so clever at all those things if i had but her memory but i can remember nothing not even that particular riddle which you have heard me mention i can only recollect the first stanza and there are several and that is all that i can recollect of it but it is very clever all the way through but i think my dear you said you had got it,you seem to me to have forgotten mrs and miss bates i have not heard one inquiry after them,Emma; Harriet Smith,M,intermediate,F,major,Emma,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1
00010,Mr. Woodhouse,Emma,233,281,aye very true i wish i could recollect more of it the name makes me think of poor isabella for she was very near being christened catherine after her grandmama i hope we shall have her here next week have you thought my dear where you shall put her and what room there will be for the children,oh no none in the least i never saw mrs weston better in my life never looking so well papa is only speaking his own regret,Emma; Harriet Smith,M,intermediate,F,major,Emma,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
00011,Mr. Woodhouse,Emma,235,19,i do not know my dear but it is so long since she was here not since last easter and then only for a few days mr john knightley s being a lawyer is very inconvenient poor isabella she is sadly taken away from us all and how sorry she will be when she comes not to see miss taylor here,my dearest papa you do not think i could mean you or suppose mr knightley to mean you what a horrible idea oh no i meant only myself mr knightley loves to find fault with me you know in a joke it is all a joke we always say what we like to one another,Emma; Harriet Smith,M,intermediate,F,major,Emma,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
00012,Mr. Woodhouse,Emma,237,7,i do not know my dear i am sure i was very much surprized when i first heard she was going to be married,they are to be put into mr weston s stable papa you know we have settled all that already we talked it all over with mr weston last night and as for james you may be very sure he will always like going to randalls because of his daughter s being housemaid there i only doubt whether he will ever take us anywhere else that was your doing papa you got hannah that good place nobody thought of hannah till you mentioned her james is so obliged to you,Emma; Harriet Smith,M,intermediate,F,major,Emma,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
00013,Mr. Woodhouse,Emma,239,482,yes my dear if there is time but she is coming for only one week there will not be time for any thing,my dear papa i sent the whole hind quarter i knew you would wish it there will be the leg to be salted you know which is so very nice and the loin to be dressed directly in any manner they like,Emma; Harriet Smith,M,intermediate,F,major,Emma,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
00014,Mr. Woodhouse,Emma,241,248,it would be very hard indeed my dear if poor isabella were to be anywhere but at hartfield but i do not see why poor isabella should be obliged to go back so soon though he does i think emma i shall try and persuade her to stay longer with us she and the children might stay very well,but they like it papa there is nothing they like so much it is such enjoyment to them that if their uncle did not lay down the rule of their taking turns whichever began would never give way to the other,Emma; Harriet Smith,M,intermediate,F,major,Emma,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
00015,Mr. Woodhouse,Emma,245,242,henry is a fine boy but john is very like his mama henry is the eldest he was named after me not after his father john the second is named after his father some people are surprized i believe that the eldest was not but isabella would have him called henry which i thought very pretty of her and he is a very clever boy indeed they are all remarkably clever and they have so many pretty ways they will come and stand by my chair and say and once henry asked me for a knife but i told him knives were only made for grandpapas i think their father is too rough with them very often,ah papa that is what you never have been able to accomplish and i do not think you ever will isabella cannot bear to stay behind her husband harriet must give us as much of her company as she can while my brother and sister are here i am sure she will be pleased with the children we are very proud of the children are not we papa i wonder which she will think the handsomest henry or john,Emma; Harriet Smith,M,intermediate,F,major,Emma,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
00016,Mr. Woodhouse,Emma,247,288,and then their uncle comes in and tosses them up to the ceiling in a very frightful way,it would be very hard upon mr weston if she did not papa you quite forget poor mr weston,Emma; Harriet Smith,M,intermediate,F,major,Emma,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0
00017,Mr. Woodhouse,Emma,249,232,well i cannot understand it,yes papa it is written out in our second page we copied it from the elegant extracts it was garrick s you know,Emma; Harriet Smith,M,intermediate,F,major,Emma,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1
00018,Mr. Woodhouse,Emma,280,246,pretty well my dear i hope pretty well i do not know but that the place agrees with her tolerably,he appears rough to you because you are so very gentle yourself but if you could compare him with other papas you would not think him rough he wishes his boys to be active and hardy and if they misbehave can give them a sharp word now and then but he is an affectionate father certainly mr john knightley is an affectionate father the children are all fond of him,Emma; Isabella; Mr. John Knightley,M,intermediate,F,major,Emma,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
00019,Mr. Woodhouse,Emma,284,577,not near so often my dear as i could wish,but you would not wish me to come away before i am tired papa,Emma; Isabella; Mr. John Knightley,M,intermediate,F,major,Emma,0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,0
00020,Mr. Woodhouse,Emma,287,1,why to be sure yes certainly i cannot deny that mrs weston poor mrs weston does come and see us pretty often but then she is always obliged to go away again,i cannot agree with you papa you know i cannot mr weston is such a good humoured pleasant excellent man that he thoroughly deserves a good wife and you would not have had miss taylor live with us for ever and bear all my odd humours when she might have a house of her own,Emma; Isabella; Mr. John Knightley,M,intermediate,F,major,Emma,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
00021,Mr. Woodhouse,Emma,293,3,but you should tell them of the letter my dear he wrote a letter to poor mrs weston to congratulate her and a very proper handsome letter it was she shewed it to me i thought it very well done of him indeed whether it was his own idea you know one cannot tell he is but young and his uncle perhaps,how often we shall be going to see them and they coming to see us we shall be always meeting we must begin we must go and pay wedding visit very soon,Emma; Isabella; Mr. John Knightley,M,intermediate,F,major,Emma,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0
00022,Mr. Woodhouse,Emma,313,314,ah my dear but perry had many doubts about the sea doing her any good and as to myself i have been long perfectly convinced though perhaps i never told you so before that the sea is very rarely of use to any body i am sure it almost killed me once,come come i must beg you not to talk of the sea it makes me envious and miserable i who have never seen it south end is prohibited if you please my dear isabella i have not heard you make one inquiry about mr perry yet and he never forgets you,Emma; Isabella,M,intermediate,F,major,Emma,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
00023,Mr. Woodhouse,Emma,320,234,it is not very likely my dear that bathing should have been of use to her and if i had known you were wanting an embrocation i would have spoken to,oh yes she will have her own room of course the room she always has and there is the nursery for the children just as usual you know why should there be any change,Emma; Isabella,M,intermediate,F,major,Emma,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0
