pair_id,a_speaker,b_speaker,i_merge_id,j_merge_id,i_text,j_text,i_addressees,A_gender,A_category,B_gender,B_category,a_articles,a_auxiliary_verbs,a_conjunctions,a_adverbs,a_impersonal_pronouns,a_negations,a_personal_pronouns,a_prepositions,a_quantifiers,b_articles,b_auxiliary_verbs,b_conjunctions,b_adverbs,b_impersonal_pronouns,b_negations,b_personal_pronouns,b_prepositions,b_quantifiers
00000,Mrs. Allen,Catherine Morland,1,2,i wish you could dance my dear i wish you could get a partner it would have been very shocking to have it torn would not it it is such a delicate muslin for my part i have not seen anything i like so well in the whole room i assure you,how uncomfortable it is not to have a single acquaintance here,Catherine Morland,F,intermediate,F,major,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
00001,Catherine Morland,Mrs. Allen,2,3,how uncomfortable it is not to have a single acquaintance here,yes my dear it is very uncomfortable indeed,Mrs. Allen,F,major,F,intermediate,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
00002,Mrs. Allen,Catherine Morland,3,4,yes my dear it is very uncomfortable indeed,what shall we do the gentlemen and ladies at this table look as if they wondered why we came here we seem forcing ourselves into their party,Catherine Morland,F,intermediate,F,major,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0
00003,Catherine Morland,Mrs. Allen,4,5,what shall we do the gentlemen and ladies at this table look as if they wondered why we came here we seem forcing ourselves into their party,aye so we do that is very disagreeable i wish we had a large acquaintance here,Mrs. Allen,F,major,F,intermediate,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1
00004,Mrs. Allen,Catherine Morland,5,6,aye so we do that is very disagreeable i wish we had a large acquaintance here,i wish we had any it would be somebody to go to,Catherine Morland,F,intermediate,F,major,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0
00005,Catherine Morland,Mrs. Allen,6,7,i wish we had any it would be somebody to go to,very true my dear and if we knew anybody we would join them directly the skinners were here last year i wish they were here now,Mrs. Allen,F,major,F,intermediate,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1
00006,Mrs. Allen,Catherine Morland,7,8,very true my dear and if we knew anybody we would join them directly the skinners were here last year i wish they were here now,had not we better go away as it is here are no tea things for us you see,Catherine Morland,F,intermediate,F,major,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
00007,Catherine Morland,Mrs. Allen,8,9,had not we better go away as it is here are no tea things for us you see,no more there are indeed how very provoking but i think we had better sit still for one gets so tumbled in such a crowd how is my head my dear somebody gave me a push that has hurt it i am afraid,Mrs. Allen,F,major,F,intermediate,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
00008,Mrs. Allen,Catherine Morland,9,10,no more there are indeed how very provoking but i think we had better sit still for one gets so tumbled in such a crowd how is my head my dear somebody gave me a push that has hurt it i am afraid,no indeed it looks very nice but dear mrs allen are you sure there is nobody you know in all this multitude of people i think you must know somebody,Catherine Morland,F,intermediate,F,major,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
00009,Catherine Morland,Mrs. Allen,10,11,no indeed it looks very nice but dear mrs allen are you sure there is nobody you know in all this multitude of people i think you must know somebody,i don t upon my word i wish i did i wish i had a large acquaintance here with all my heart and then i should get you a partner i should be so glad to have you dance there goes a strange looking woman what an odd gown she has got on how old fashioned it is look at the back,Mrs. Allen,F,major,F,intermediate,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0
