pair_id,a_speaker,b_speaker,i_merge_id,j_merge_id,i_text,j_text,i_addressees,A_gender,A_category,B_gender,B_category,a_articles,a_auxiliary_verbs,a_conjunctions,a_adverbs,a_impersonal_pronouns,a_negations,a_personal_pronouns,a_prepositions,a_quantifiers,b_articles,b_auxiliary_verbs,b_conjunctions,b_adverbs,b_impersonal_pronouns,b_negations,b_personal_pronouns,b_prepositions,b_quantifiers
00000,Lucy,Miss Bartlett,9,11,she would never forgive me,a view oh a view how delightful a view is,Miss Bartlett,,,F,major,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0
00001,Miss Bartlett,Mr. Emerson,17,19,because it is quite out of the question thank you,but why women like looking at a view men don t george persuade them,George Emerson; Lucy; Mr. Emerson,F,major,M,intermediate,0,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1
00002,Lucy,George Emerson,18,20,you see we don t like to take,it s so obvious they should have the rooms there s nothing else to say,George Emerson; Miss Bartlett; Mr. Emerson,,,M,intermediate,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0
00003,Mr. Emerson,Miss Bartlett,19,21,but why women like looking at a view men don t george persuade them,eat your dinner dear eat your dinner dear this pension is a failure to morrow we will make a change,George Emerson; Lucy; Miss Bartlett,M,intermediate,F,major,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0
00004,George Emerson,Lucy,20,22,it s so obvious they should have the rooms there s nothing else to say,oh oh why it s mr beebe oh how perfectly lovely oh charlotte we must stop now however bad the rooms are oh,Lucy; Miss Bartlett; Mr. Emerson,M,intermediate,,,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0
00005,Miss Bartlett,Mr. Beebe,25,27,miss honeychurch lives in the parish of summer street and she happened to tell me in the course of conversation that you have just accepted the living,quite right i move into the rectory at summer street next june i am lucky to be appointed to such a charming neighbourhood,George Emerson; Lucy; Mr. Beebe; Mr. Emerson,F,major,M,major,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
00006,Mr. Beebe,Miss Bartlett,27,29,quite right i move into the rectory at summer street next june i am lucky to be appointed to such a charming neighbourhood,lucy dearest let mr beebe eat his dinner,George Emerson; Lucy; Miss Bartlett; Mr. Emerson,M,major,F,major,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0
00007,Lucy,Mr. Beebe,28,30,oh how glad i am the name of our house is windy corner there is mother and me generally and my brother though it s not often we get him to ch the church is rather far off i mean,i am eating it thank you and enjoying it,George Emerson; Miss Bartlett; Mr. Beebe; Mr. Emerson,,,M,major,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1
00008,Miss Bartlett,Mr. Beebe,29,31,lucy dearest let mr beebe eat his dinner,don t neglect the country round the first fine afternoon drive up to fiesole and round by settignano or something of that sort,George Emerson; Lucy; Mr. Beebe; Mr. Emerson,F,major,M,major,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1
00009,Mr. Beebe,Miss Bartlett,31,33,don t neglect the country round the first fine afternoon drive up to fiesole and round by settignano or something of that sort,that lady looks so clever we are in luck,George Emerson; Lucy; Miss Bartlett; Miss Lavish; Mr. Emerson,M,major,F,major,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1
