quoteID,quoteText,quoteBy,quoteTo
Q0,i beg catherine you will always wrap yourself up very warm about the throat when you come from the rooms at night and i wish you would try to keep some account of the money you spend i will give you this little book on purpose,Mrs. Morland,['Catherine Morland']
Q1,i wish you could dance my dear i wish you could get a partner,Mrs. Allen,['Catherine Morland']
Q2,it would have been very shocking to have it torn would not it it is such a delicate muslin for my part i have not seen anything i like so well in the whole room i assure you,Mrs. Allen,['Catherine Morland']
Q3,how uncomfortable it is not to have a single acquaintance here,Catherine Morland,['Mrs. Allen']
Q4,yes my dear it is very uncomfortable indeed,Mrs. Allen,['Catherine Morland']
Q5,what shall we do the gentlemen and ladies at this table look as if they wondered why we came here we seem forcing ourselves into their party,Catherine Morland,['Mrs. Allen']
Q6,aye so we do that is very disagreeable i wish we had a large acquaintance here,Mrs. Allen,['Catherine Morland']
Q7,i wish we had any it would be somebody to go to,Catherine Morland,['Mrs. Allen']
Q8,very true my dear and if we knew anybody we would join them directly the skinners were here last year i wish they were here now,Mrs. Allen,['Catherine Morland']
Q9,had not we better go away as it is here are no tea things for us you see,Catherine Morland,['Mrs. Allen']
Q10,no more there are indeed how very provoking but i think we had better sit still for one gets so tumbled in such a crowd how is my head my dear somebody gave me a push that has hurt it i am afraid,Mrs. Allen,['Catherine Morland']
Q11,no indeed it looks very nice but dear mrs allen are you sure there is nobody you know in all this multitude of people i think you must know somebody,Catherine Morland,['Mrs. Allen']
Q12,i don t upon my word i wish i did i wish i had a large acquaintance here with all my heart and then i should get you a partner i should be so glad to have you dance there goes a strange looking woman what an odd gown she has got on how old fashioned it is look at the back,Mrs. Allen,['Catherine Morland']
Q13,well miss morland i hope you have had an agreeable ball,Mr. Allen,"['Mrs. Allen', 'Catherine Morland']"
Q14,very agreeable indeed,Catherine Morland,"['Mrs. Allen', 'Mr. Allen']"
Q15,i wish she had been able to dance i wish we could have got a partner for her i have been saying how glad i should be if the skinners were here this winter instead of last or if the parrys had come as they talked of once she might have danced with george parry i am so sorry she has not had a partner,Mrs. Allen,"['Catherine Morland', 'Mr. Allen']"
Q16,we shall do better another evening i hope,Mr. Allen,"['Mrs. Allen', 'Catherine Morland']"
Q17,i have hitherto been very remiss madam in the proper attentions of a partner here i have not yet asked you how long you have been in bath whether you were ever here before whether you have been at the upper rooms the theatre and the concert and how you like the place altogether i have been very negligent but are you now at leisure to satisfy me in these particulars if you are i will begin directly,Henry Tilney,['Catherine Morland']
Q18,you need not give yourself that trouble sir,Catherine Morland,['Henry Tilney']
Q19,no trouble i assure you madam have you been long in bath madam,Henry Tilney,['Catherine Morland']
Q20,about a week sir,Catherine Morland,['Henry Tilney']
Q21,really,Henry Tilney,['Catherine Morland']
Q22,why should you be surprised sir,Catherine Morland,['Henry Tilney']
Q23,why indeed but some emotion must appear to be raised by your reply and surprise is more easily assumed and not less reasonable than any other now let us go on were you never here before madam,Henry Tilney,['Catherine Morland']
Q24,never sir,Catherine Morland,['Henry Tilney']
Q25,indeed have you yet honoured the upper rooms,Henry Tilney,['Catherine Morland']
Q26,yes sir i was there last monday,Catherine Morland,['Henry Tilney']
Q27,have you been to the theatre,Henry Tilney,['Catherine Morland']
Q28,yes sir i was at the play on tuesday,Catherine Morland,['Henry Tilney']
Q29,to the concert,Henry Tilney,['Catherine Morland']
Q30,yes sir on wednesday,Catherine Morland,['Henry Tilney']
Q31,and are you altogether pleased with bath,Henry Tilney,['Catherine Morland']
Q32,yes i like it very well,Catherine Morland,['Henry Tilney']
Q33,now i must give one smirk and then we may be rational again,Henry Tilney,['Catherine Morland']
Q34,i see what you think of me i shall make but a poor figure in your journal tomorrow,Henry Tilney,['Catherine Morland']
Q35,my journal,Catherine Morland,['Henry Tilney']
Q36,yes i know exactly what you will say friday went to the lower rooms wore my sprigged muslin robe with blue trimmings plain black shoes appeared to much advantage but was strangely harassed by a queer half witted man who would make me dance with him and distressed me by his nonsense,Henry Tilney,['Catherine Morland']
Q37,indeed i shall say no such thing,Catherine Morland,['Henry Tilney']
Q38,shall i tell you what you ought to say,Henry Tilney,['Catherine Morland']
Q39,if you please,Catherine Morland,['Henry Tilney']
Q40,i danced with a very agreeable young man introduced by mr king had a great deal of conversation with him seems a most extraordinary genius hope i may know more of him that madam is what i wish you to say,Henry Tilney,['Catherine Morland']
