character,out_degree,in_degree,adaptability_out_strength,adaptability_in_strength,betweenness,betweenness_weighted,gender,category
Elizabeth,17,16,0.36665585692083713,0.3582652097779774,0.6859126984126985,0.6857142857142857,F,major
Mrs. Bennet,8,9,0.1672708346271956,0.2254474359816549,0.07162698412698414,0.18333333333333335,F,major
Mr. Bennet,5,5,0.1447791361746304,0.025256501946113903,0.061706349206349216,0.06666666666666668,M,intermediate
Mr. Bingley,4,4,0.0866020837669695,0.0562061631618081,0.01388888888888889,0.1,M,intermediate
Mr. Darcy,4,4,0.0826585732557828,0.08474706563726099,0.09047619047619049,0.09761904761904763,M,major
Charlotte Lucas,2,2,0.0785680845371856,0.0397435897435896,0.0,0.0,F,intermediate
Lydia,4,3,0.0661791674307719,0.0944767441860465,0.0005952380952380953,0.0,F,intermediate
Mr. Gardiner,3,3,0.0638095238095237,0.0,0.0011904761904761906,0.0,M,minor
Lady Catherine De Bourgh,2,2,0.0565068006928471,0.0391061452513966,0.0,0.0,F,intermediate
Maria,1,2,0.0516129032258064,0.0512820512820512,0.0,0.0,F,minor
Mrs. Hurst,1,1,0.0512820512820512,0.0,0.0,0.0,F,minor
Mrs. Reynolds,2,3,0.0424710424710424,0.0238095238095238,0.0,0.0,F,minor
Miss Bingley,4,5,0.0372734188966171,0.0691108969147133,0.13571428571428573,0.13571428571428573,F,intermediate
Colonel Fitzwilliam,1,1,0.031615120274914,0.0177777777777778,0.0,0.0,M,intermediate
Jane,4,4,0.0244166041475635,0.0897688248811369,0.001984126984126984,0.0642857142857143,F,intermediate
Mr. Collins,4,4,0.023083778966131802,0.0554487179487179,0.005952380952380953,0.0,M,intermediate
Sir William Lucas,1,1,0.0148148148148148,0.0441176470588235,0.0,0.0,M,minor
George Wickham,1,1,0.0136479591836734,0.0201680672268907,0.0,0.0,M,intermediate
Mrs. Gardiner,3,2,0.0044150110375275,0.0176923076923076,0.0,0.0,F,intermediate
Mary,0,1,0.0,0.0,0.0,0.0,F,minor
Kitty,2,1,0.0,0.0952380952380952,0.0,0.0,F,minor
Mr. Hurst,1,0,0.0,0.0,0.0,0.0,M,minor
