quoteID,quoteText,quoteBy,quoteTo
Q0,my dear mr bennet have you heard that netherfield park is let at last,Mrs. Bennet,['Mr. Bennet']
Q1,but it is for mrs long has just been here and she told me all about it,Mrs. Bennet,['Mr. Bennet']
Q2,do not you want to know who has taken it,Mrs. Bennet,['Mr. Bennet']
Q3,you want to tell me and i have no objection to hearing it,Mr. Bennet,['Mrs. Bennet']
Q4,why my dear you must know mrs long says that netherfield is taken by a young man of large fortune from the north of england that he came down on monday in a chaise and four to see the place and was so much delighted with it that he agreed with mr morris immediately that he is to take possession before michaelmas and some of his servants are to be in the house by the end of next week,Mrs. Bennet,['Mr. Bennet']
Q5,what is his name,Mr. Bennet,['Mrs. Bennet']
Q6,bingley,Mrs. Bennet,['Mr. Bennet']
Q7,is he married or single,Mr. Bennet,['Mrs. Bennet']
Q8,oh single my dear to be sure a single man of large fortune four or five thousand a year what a fine thing for our girls,Mrs. Bennet,['Mr. Bennet']
Q9,how so how can it affect them,Mr. Bennet,['Mrs. Bennet']
Q10,my dear mr bennet how can you be so tiresome you must know that i am thinking of his marrying one of them,Mrs. Bennet,['Mr. Bennet']
Q11,is that his design in settling here,Mr. Bennet,['Mrs. Bennet']
Q12,design nonsense how can you talk so but it is very likely that he may fall in love with one of them and therefore you must visit him as soon as he comes,Mrs. Bennet,['Mr. Bennet']
Q13,i see no occasion for that you and the girls may go or you may send them by themselves which perhaps will be still better for as you are as handsome as any of them mr bingley might like you the best of the party,Mr. Bennet,['Mrs. Bennet']
Q14,my dear you flatter me i certainly have had my share of beauty but i do not pretend to be any thing extraordinary now when a woman has five grown up daughters she ought to give over thinking of her own beauty,Mrs. Bennet,['Mr. Bennet']
Q15,in such cases a woman has not often much beauty to think of,Mr. Bennet,['Mrs. Bennet']
Q16,but my dear you must indeed go and see mr bingley when he comes into the neighbourhood,Mrs. Bennet,['Mr. Bennet']
Q17,it is more than i engage for i assure you,Mr. Bennet,['Mrs. Bennet']
Q18,but consider your daughters only think what an establishment it would be for one of them sir william and lady lucas are determined to go merely on that account for in general you know they visit no new comers indeed you must go for it will be impossible for us to visit him if you do not,Mrs. Bennet,['Mr. Bennet']
Q19,you are over scrupulous surely i dare say mr bingley will be very glad to see you and i will send a few lines by you to assure him of my hearty consent to his marrying which ever he chuses of the girls though i must throw in a good word for my little lizzy,Mr. Bennet,['Mrs. Bennet']
Q20,i desire you will do no such thing lizzy is not a bit better than the others and i am sure she is not half so handsome as jane nor half so good humoured as lydia but you are always giving her the preference,Mrs. Bennet,['Mr. Bennet']
