merge_id,speaker,addressees,text_merged,first_turn_index,last_turn_index,source_quoteIDs
0,Mrs. Morland,['Catherine Morland'],i beg catherine you will always wrap yourself up very warm about the throat when you come from the rooms at night and i wish you would try to keep some account of the money you spend i will give you this little book on purpose,0,0,Q0
1,Mrs. Allen,['Catherine Morland'],i wish you could dance my dear i wish you could get a partner it would have been very shocking to have it torn would not it it is such a delicate muslin for my part i have not seen anything i like so well in the whole room i assure you,1,2,"Q1,Q2"
2,Catherine Morland,['Mrs. Allen'],how uncomfortable it is not to have a single acquaintance here,3,3,Q3
3,Mrs. Allen,['Catherine Morland'],yes my dear it is very uncomfortable indeed,4,4,Q4
4,Catherine Morland,['Mrs. Allen'],what shall we do the gentlemen and ladies at this table look as if they wondered why we came here we seem forcing ourselves into their party,5,5,Q5
5,Mrs. Allen,['Catherine Morland'],aye so we do that is very disagreeable i wish we had a large acquaintance here,6,6,Q6
6,Catherine Morland,['Mrs. Allen'],i wish we had any it would be somebody to go to,7,7,Q7
7,Mrs. Allen,['Catherine Morland'],very true my dear and if we knew anybody we would join them directly the skinners were here last year i wish they were here now,8,8,Q8
8,Catherine Morland,['Mrs. Allen'],had not we better go away as it is here are no tea things for us you see,9,9,Q9
9,Mrs. Allen,['Catherine Morland'],no more there are indeed how very provoking but i think we had better sit still for one gets so tumbled in such a crowd how is my head my dear somebody gave me a push that has hurt it i am afraid,10,10,Q10
10,Catherine Morland,['Mrs. Allen'],no indeed it looks very nice but dear mrs allen are you sure there is nobody you know in all this multitude of people i think you must know somebody,11,11,Q11
11,Mrs. Allen,['Catherine Morland'],i don t upon my word i wish i did i wish i had a large acquaintance here with all my heart and then i should get you a partner i should be so glad to have you dance there goes a strange looking woman what an odd gown she has got on how old fashioned it is look at the back,12,12,Q12
12,Mr. Allen,"['Catherine Morland', 'Mrs. Allen']",well miss morland i hope you have had an agreeable ball,13,13,Q13
13,Catherine Morland,"['Mr. Allen', 'Mrs. Allen']",very agreeable indeed,14,14,Q14
14,Mrs. Allen,"['Catherine Morland', 'Mr. Allen']",i wish she had been able to dance i wish we could have got a partner for her i have been saying how glad i should be if the skinners were here this winter instead of last or if the parrys had come as they talked of once she might have danced with george parry i am so sorry she has not had a partner,15,15,Q15
15,Mr. Allen,"['Catherine Morland', 'Mrs. Allen']",we shall do better another evening i hope,16,16,Q16
16,Henry Tilney,['Catherine Morland'],i have hitherto been very remiss madam in the proper attentions of a partner here i have not yet asked you how long you have been in bath whether you were ever here before whether you have been at the upper rooms the theatre and the concert and how you like the place altogether i have been very negligent but are you now at leisure to satisfy me in these particulars if you are i will begin directly,17,17,Q17
17,Catherine Morland,['Henry Tilney'],you need not give yourself that trouble sir,18,18,Q18
18,Henry Tilney,['Catherine Morland'],no trouble i assure you madam have you been long in bath madam,19,19,Q19
19,Catherine Morland,['Henry Tilney'],about a week sir,20,20,Q20
20,Henry Tilney,['Catherine Morland'],really,21,21,Q21
21,Catherine Morland,['Henry Tilney'],why should you be surprised sir,22,22,Q22
22,Henry Tilney,['Catherine Morland'],why indeed but some emotion must appear to be raised by your reply and surprise is more easily assumed and not less reasonable than any other now let us go on were you never here before madam,23,23,Q23
23,Catherine Morland,['Henry Tilney'],never sir,24,24,Q24
24,Henry Tilney,['Catherine Morland'],indeed have you yet honoured the upper rooms,25,25,Q25
25,Catherine Morland,['Henry Tilney'],yes sir i was there last monday,26,26,Q26
26,Henry Tilney,['Catherine Morland'],have you been to the theatre,27,27,Q27
27,Catherine Morland,['Henry Tilney'],yes sir i was at the play on tuesday,28,28,Q28
28,Henry Tilney,['Catherine Morland'],to the concert,29,29,Q29
29,Catherine Morland,['Henry Tilney'],yes sir on wednesday,30,30,Q30
30,Henry Tilney,['Catherine Morland'],and are you altogether pleased with bath,31,31,Q31
31,Catherine Morland,['Henry Tilney'],yes i like it very well,32,32,Q32
32,Henry Tilney,['Catherine Morland'],now i must give one smirk and then we may be rational again i see what you think of me i shall make but a poor figure in your journal tomorrow,33,34,"Q33,Q34"
33,Catherine Morland,['Henry Tilney'],my journal,35,35,Q35
34,Henry Tilney,['Catherine Morland'],yes i know exactly what you will say friday went to the lower rooms wore my sprigged muslin robe with blue trimmings plain black shoes appeared to much advantage but was strangely harassed by a queer half witted man who would make me dance with him and distressed me by his nonsense,36,36,Q36
35,Catherine Morland,['Henry Tilney'],indeed i shall say no such thing,37,37,Q37
36,Henry Tilney,['Catherine Morland'],shall i tell you what you ought to say,38,38,Q38
37,Catherine Morland,['Henry Tilney'],if you please,39,39,Q39
38,Henry Tilney,['Catherine Morland'],i danced with a very agreeable young man introduced by mr king had a great deal of conversation with him seems a most extraordinary genius hope i may know more of him that madam is what i wish you to say,40,40,Q40
39,Catherine Morland,['Henry Tilney'],but perhaps i keep no journal,41,41,Q41
40,Henry Tilney,['Catherine Morland'],perhaps you are not sitting in this room and i am not sitting by you these are points in which a doubt is equally possible not keep a journal how are your absent cousins to understand the tenour of your life in bath without one how are the civilities and compliments of every day to be related as they ought to be unless noted down every evening in a journal how are your various dresses to be remembered and the particular state of your complexion and curl of your hair to be described in all their diversities without having constant recourse to a journal my dear madam i am not so ignorant of young ladies ways as you wish to believe me it is this delightful habit of journaling which largely contributes to form the easy style of writing for which ladies are so generally celebrated everybody allows that the talent of writing agreeable letters is peculiarly female nature may have done something but i am sure it must be essentially assisted by the practice of keeping a journal,42,42,Q42
41,Catherine Morland,['Henry Tilney'],i have sometimes thought whether ladies do write so much better letters than gentlemen that is i should not think the superiority was always on our side,43,43,Q43
42,Henry Tilney,['Catherine Morland'],as far as i have had opportunity of judging it appears to me that the usual style of letter writing among women is faultless except in three particulars,44,44,Q44
43,Catherine Morland,['Henry Tilney'],and what are they,45,45,Q45
44,Henry Tilney,['Catherine Morland'],a general deficiency of subject a total inattention to stops and a very frequent ignorance of grammar,46,46,Q46
45,Catherine Morland,['Henry Tilney'],upon my word i need not have been afraid of disclaiming the compliment you do not think too highly of us in that way,47,47,Q47
46,Henry Tilney,['Catherine Morland'],i should no more lay it down as a general rule that women write better letters than men than that they sing better duets or draw better landscapes in every power of which taste is the foundation excellence is pretty fairly divided between the sexes,48,48,Q48
47,Mrs. Allen,"['Catherine Morland', 'Henry Tilney']",my dear catherine do take this pin out of my sleeve i am afraid it has torn a hole already i shall be quite sorry if it has for this is a favourite gown though it cost but nine shillings a yard,49,49,Q49
48,Henry Tilney,"['Catherine Morland', 'Mrs. Allen']",that is exactly what i should have guessed it madam,50,50,Q50
49,Mrs. Allen,"['Catherine Morland', 'Henry Tilney']",do you understand muslins sir,51,51,Q51
50,Henry Tilney,"['Catherine Morland', 'Mrs. Allen']",particularly well i always buy my own cravats and am allowed to be an excellent judge and my sister has often trusted me in the choice of a gown i bought one for her the other day and it was pronounced to be a prodigious bargain by every lady who saw it i gave but five shillings a yard for it and a true indian muslin,52,52,Q52
51,Mrs. Allen,"['Catherine Morland', 'Henry Tilney']",men commonly take so little notice of those things i can never get mr allen to know one of my gowns from another you must be a great comfort to your sister sir,53,53,Q53
52,Henry Tilney,"['Catherine Morland', 'Mrs. Allen']",i hope i am madam,54,54,Q54
53,Mrs. Allen,"['Catherine Morland', 'Henry Tilney']",and pray sir what do you think of miss morland s gown,55,55,Q55
54,Henry Tilney,"['Catherine Morland', 'Mrs. Allen']",it is very pretty madam but i do not think it will wash well i am afraid it will fray,56,56,Q56
55,Catherine Morland,"['Henry Tilney', 'Mrs. Allen']",how can you be so,57,57,Q57
56,Mrs. Allen,"['Catherine Morland', 'Henry Tilney']",i am quite of your opinion sir and so i told miss morland when she bought it,58,58,Q58
57,Henry Tilney,"['Catherine Morland', 'Mrs. Allen']",but then you know madam muslin always turns to some account or other miss morland will get enough out of it for a handkerchief or a cap or a cloak muslin can never be said to be wasted i have heard my sister say so forty times when she has been extravagant in buying more than she wanted or careless in cutting it to pieces,59,59,Q59
58,Mrs. Allen,"['Catherine Morland', 'Henry Tilney']",bath is a charming place sir there are so many good shops here we are sadly off in the country not but what we have very good shops in salisbury but it is so far to go eight miles is a long way mr allen says it is nine measured nine but i am sure it cannot be more than eight and it is such a fag i come back tired to death now here one can step out of doors and get a thing in five minutes,60,60,Q60
59,Henry Tilney,['Catherine Morland'],what are you thinking of so earnestly not of your partner i hope for by that shake of the head your meditations are not satisfactory,61,61,Q61
60,Catherine Morland,['Henry Tilney'],i was not thinking of anything,62,62,Q62
61,Henry Tilney,['Catherine Morland'],that is artful and deep to be sure but i had rather be told at once that you will not tell me,63,63,Q63
62,Catherine Morland,['Henry Tilney'],well then i will not,64,64,Q64
