character,community_id
The Servant,0
Hamidullah,0
Ram Chand,0
Dr. Panna Lal,0
Rafi,0
Hassan,0
Dr. Aziz,0
Mahmoud Ali,0
Professor Godbole,0
Mohammed Latif,0
Mr. Haq,0
Ralph,0
Cyril Fielding,0
Syed Mohammed,0
Miss Derek,1
The Lady Who Had Been A Nurse,1
Mrs. Bhattacharya,1
Mr. Harris,1
Adela Quested,1
Mrs. Moore,1
Ronny Heaslop,1
The Nawab Badahur,1
Mr. Bhattacharya,1
Mrs. Mcbryde,1
Antony,1
Major Callendar,2
Mrs. Callendar,2
_unknowable,2
Mr. Turton,2
Mrs. Turton,2
A Stray Subaltern,2
Mrs. Lesley,2
Mr. Amritrao,3
Mr. Mcbryde,3
Mr. Das,3
