A,B,i_merge_id,j_merge_id,i_text,j_text,i_addressees,A_gender,A_category,B_gender,B_category
Mr. Herriton,Irma,3,5,i wish i were,i ll do my best,Harriet; Irma; Lilia; Mrs. Herriton; Mrs. Theobald,M,major,F,minor
Lilia,Mrs. Herriton,4,6,good bye dear every one what a whirl good bye darling mind you re always good and do what granny tells you,she is sure to be good,Harriet; Irma; Mr. Herriton; Mrs. Herriton; Mrs. Theobald,F,intermediate,F,intermediate
Irma,Lilia,5,7,i ll do my best,caroline my caroline jump in or your chaperon will go off without you,Harriet; Lilia; Mr. Herriton; Mrs. Herriton; Mrs. Theobald,F,minor,F,intermediate
Mrs. Herriton,Harriet,6,8,she is sure to be good,handkerchiefs and collars in my inlaid box i ve lent you my inlaid box,Harriet; Irma; Lilia; Mr. Herriton; Mrs. Theobald,F,intermediate,F,major
Mr. Kingcroft,Mrs. Theobald,10,12,good bye mrs charles may you enjoy yourself and may god bless you,high spirits to begin so long a journey,Harriet; Irma; Lilia; Mr. Herriton; Mrs. Herriton; Mrs. Theobald,M,minor,F,minor
Lilia,Mr. Kingcroft,11,13,oh i am so sorry but you do look so funny oh you all look so funny waving oh pray,i wish that mrs charles had gotten the footwarmer these london porters won t take heed to a country chap,Harriet; Irma; Mr. Herriton; Mr. Kingcroft; Mrs. Herriton; Mrs. Theobald,F,intermediate,M,minor
Mrs. Theobald,Mrs. Herriton,12,14,high spirits to begin so long a journey,but you did your best and i think it simply noble of you to have brought mrs theobald all the way here on such a day as this,Harriet; Irma; Mr. Herriton; Mr. Kingcroft; Mrs. Herriton,F,minor,F,intermediate
Mr. Kingcroft,Irma,13,15,i wish that mrs charles had gotten the footwarmer these london porters won t take heed to a country chap,and granny when will the old ship get to italy,Harriet; Irma; Mr. Herriton; Mrs. Herriton; Mrs. Theobald,M,minor,F,minor
Mrs. Herriton,Mr. Herriton,16,18,grandmother dear not granny and we say a boat or a steamer not a ship ships have sails and mother won t go all the way by sea you look at the map of europe and you ll see why harriet take her go with aunt harriet and she ll show you the map,here beginneth the new life,Irma; Mr. Herriton,F,intermediate,M,major
Mrs. Herriton,Harriet,31,33,it is something that she is contented but no one could live three months with caroline abbott and not be the better for it,i cannot understand people what can they be doing all day and there is no church there i suppose,Harriet; Mr. Herriton,F,intermediate,F,major
Harriet,Mrs. Herriton,35,37,of course i mean an english church lilia promised me that she would always be in a large town on sundays,now dears don t listen to lilia s letter we love this place and i do not know how i shall ever thank philip for telling me it it is not only so quaint but one sees the italians unspoiled in all their simplicity and charm here the frescoes are wonderful caroline who grows sweeter every day is very busy sketching,Mr. Herriton; Mrs. Herriton,F,major,F,intermediate
Mr. Herriton,Harriet,36,38,if she goes to a service at santa deodata s she will find more beauty and sincerity than there is in all the back kitchens of europe,every one to his taste,Harriet; Mrs. Herriton,M,major,F,major
Mrs. Herriton,Mr. Herriton,37,39,now dears don t listen to lilia s letter we love this place and i do not know how i shall ever thank philip for telling me it it is not only so quaint but one sees the italians unspoiled in all their simplicity and charm here the frescoes are wonderful caroline who grows sweeter every day is very busy sketching,oh harriet is a bad lot,Harriet; Mr. Herriton,F,intermediate,M,major
Harriet,Mr. Herriton,38,40,every one to his taste,one moment irma i m going to the station i ll give you the pleasure of my company,Mr. Herriton; Mrs. Herriton,F,major,M,major
Mr. Herriton,Mrs. Herriton,39,41,oh harriet is a bad lot,we will save the peas to the last they are the greatest fun,Mrs. Herriton,M,major,F,intermediate
