merge_id,speaker,addressees,text_merged,first_turn_index,last_turn_index,source_quoteIDs
0,Lilia,"['Harriet', 'Irma', 'Mr. Herriton', 'Mr. Kingcroft', 'Mrs. Herriton', 'Mrs. Theobald']",quite an ovation they ll take us for royalty oh mr kingcroft get us foot warmers,0,0,Q0
1,Mr. Herriton,"['Harriet', 'Irma', 'Lilia', 'Mrs. Herriton', 'Mrs. Theobald']",remember that it is only by going off the track that you get to know the country see the little towns gubbio pienza cortona san gemignano monteriano and don t let me beg you go with that awful tourist idea that italy s only a museum of antiquities and art love and understand the italians for the people are more marvellous than the land,1,1,Q1
2,Lilia,"['Harriet', 'Irma', 'Mr. Herriton', 'Mrs. Herriton', 'Mrs. Theobald']",how i wish you were coming philip,2,2,Q2
3,Mr. Herriton,"['Harriet', 'Irma', 'Lilia', 'Mrs. Herriton', 'Mrs. Theobald']",i wish i were,3,3,Q3
4,Lilia,"['Harriet', 'Irma', 'Mr. Herriton', 'Mrs. Herriton', 'Mrs. Theobald']",good bye dear every one what a whirl good bye darling mind you re always good and do what granny tells you,4,5,"Q4,Q5"
5,Irma,"['Harriet', 'Lilia', 'Mr. Herriton', 'Mrs. Herriton', 'Mrs. Theobald']",i ll do my best,6,6,Q6
6,Mrs. Herriton,"['Harriet', 'Irma', 'Lilia', 'Mr. Herriton', 'Mrs. Theobald']",she is sure to be good,7,7,Q7
7,Lilia,"['Caroline Abbott', 'Harriet', 'Irma', 'Mr. Herriton', 'Mrs. Herriton', 'Mrs. Theobald']",caroline my caroline jump in or your chaperon will go off without you,8,8,Q8
8,Harriet,"['Irma', 'Lilia', 'Mr. Herriton', 'Mrs. Herriton', 'Mrs. Theobald']",handkerchiefs and collars in my inlaid box i ve lent you my inlaid box,9,9,Q9
9,Lilia,"['Harriet', 'Irma', 'Mr. Herriton', 'Mrs. Herriton', 'Mrs. Theobald']",good old harry,10,10,Q10
10,Mr. Kingcroft,"['Harriet', 'Irma', 'Lilia', 'Mr. Herriton', 'Mrs. Herriton', 'Mrs. Theobald']",good bye mrs charles may you enjoy yourself and may god bless you,11,11,Q11
11,Lilia,"['Harriet', 'Irma', 'Mr. Herriton', 'Mr. Kingcroft', 'Mrs. Herriton', 'Mrs. Theobald']",oh i am so sorry but you do look so funny oh you all look so funny waving oh pray,12,12,Q12
12,Mrs. Theobald,"['Harriet', 'Irma', 'Mr. Herriton', 'Mr. Kingcroft', 'Mrs. Herriton']",high spirits to begin so long a journey,13,13,Q13
13,Mr. Kingcroft,"['Harriet', 'Irma', 'Mr. Herriton', 'Mrs. Herriton', 'Mrs. Theobald']",i wish that mrs charles had gotten the footwarmer these london porters won t take heed to a country chap,14,14,Q14
14,Mrs. Herriton,"['Harriet', 'Irma', 'Mr. Herriton', 'Mr. Kingcroft', 'Mrs. Theobald']",but you did your best and i think it simply noble of you to have brought mrs theobald all the way here on such a day as this,15,15,Q15
15,Irma,"['Mr. Herriton', 'Mrs. Herriton']",and granny when will the old ship get to italy,16,16,Q16
16,Mrs. Herriton,"['Irma', 'Mr. Herriton']",grandmother dear not granny and we say a boat or a steamer not a ship ships have sails and mother won t go all the way by sea you look at the map of europe and you ll see why harriet take her go with aunt harriet and she ll show you the map,17,17,Q17
