character,out_degree,in_degree,adaptability_out_strength,adaptability_in_strength,betweenness,betweenness_weighted,gender,category
Signor Carella,4,4,0.2182782740045982,0.0691293781947987,0.19444444444444442,0.18055555555555555,M,major
Mr. Herriton,6,6,0.13036534757163032,0.13511726702717392,0.3472222222222222,0.5138888888888888,M,major
Mrs. Herriton,3,4,0.11982146426463021,0.0545431594409125,0.09722222222222221,0.15277777777777776,F,intermediate
Harriet,3,3,0.07321248973436109,0.08121928366465289,0.0,0.125,F,major
Lilia,2,2,0.0424360980699008,0.1240811965811966,0.0,0.1111111111111111,F,intermediate
Spiridione,1,1,0.0353063343717549,0.0980392156862745,0.0,0.0,M,intermediate
Caroline Abbott,4,4,0.0313520905999944,0.10947593135519411,0.06944444444444445,0.1388888888888889,F,major
The Landlady,1,0,0.0208333333333333,0.0,0.0,0.0,F,minor
Irma,1,0,0.0,0.0,0.0,0.0,F,minor
Little Girl,0,1,0.0,0.0,0.0,0.0,F,minor
