A,B,i_text,j_text,article_i_count,article_j_count,article_i_present,article_j_present,auxverb_i_count,auxverb_j_count,auxverb_i_present,auxverb_j_present,conj_i_count,conj_j_count,conj_i_present,conj_j_present,adverb_i_count,adverb_j_count,adverb_i_present,adverb_j_present,ipron_i_count,ipron_j_count,ipron_i_present,ipron_j_present,negate_i_count,negate_j_count,negate_i_present,negate_j_present,ppron_i_count,ppron_j_count,ppron_i_present,ppron_j_present,prep_i_count,prep_j_count,prep_i_present,prep_j_present,quant_i_count,quant_j_count,quant_i_present,quant_j_present,i_tokens,j_tokens,i_merge_id,j_merge_id,i_addressees,A_gender,A_category,B_gender,B_category
Emma,Mr. Woodhouse,they are to be put into mr weston s stable papa you know we have settled all that already we talked it all over with mr weston last night and as for james you may be very sure he will always like going to randalls because of his daughter s being housemaid there i only doubt whether he will ever take us anywhere else that was your doing papa you got hannah that good place nobody thought of hannah till you mentioned her james is so obliged to you,it is very kind of you mr knightley to come out at this late hour to call upon us i am afraid you must have had a shocking walk,0,1,0,1,10,4,1,1,5,1,1,1,11,2,1,1,8,2,1,1,0,0,0,0,16,5,1,1,8,3,1,1,1,0,1,0,89,29,7,9,Mr. Woodhouse,F,major,M,intermediate
Mr. Woodhouse,Emma,ah poor miss taylor tis a sad business,especially when one of those two is such a fanciful troublesome creature that is what you have in your head i know and what you would certainly say if my father were not by,1,1,1,1,0,4,0,1,0,3,0,1,0,2,0,1,0,2,0,1,0,1,0,1,0,5,0,1,0,3,0,1,0,0,0,0,8,34,15,17,Emma; Mr. Knightley,M,intermediate,F,major
Mr. Knightley,Mr. Woodhouse,poor mr and miss woodhouse if you please but i cannot possibly say i have a great regard for you and emma but when it comes to the question of dependence or independence at any rate it must be better to have only one to please than two,i believe it is very true my dear indeed i am afraid i am sometimes very fanciful and troublesome,2,0,1,0,3,3,1,1,7,1,1,1,2,4,1,1,2,1,1,1,1,0,1,0,6,5,1,1,5,0,1,0,0,0,0,0,49,19,16,18,Emma; Mr. Woodhouse,M,major,M,intermediate
Mr. Woodhouse,Mr. Knightley,i believe it is very true my dear indeed i am afraid i am sometimes very fanciful and troublesome,emma knows i never flatter her but i meant no reflection on any body miss taylor has been used to have two persons to please she will now have but one the chances are that she must be a gainer,0,2,0,1,3,6,1,1,1,3,1,1,4,2,1,1,1,3,1,1,0,1,0,1,5,5,1,1,0,1,0,1,0,0,0,0,19,40,18,20,Emma; Mr. Knightley,M,intermediate,M,major
Mr. Knightley,Mr. Woodhouse,emma knows i never flatter her but i meant no reflection on any body miss taylor has been used to have two persons to please she will now have but one the chances are that she must be a gainer,dear emma bears every thing so well but mr knightley she is really very sorry to lose poor miss taylor and i am sure she will miss her more than she thinks for,2,0,1,0,6,3,1,1,3,3,1,1,2,4,1,1,3,4,1,1,1,0,1,0,5,5,1,1,1,1,1,1,0,0,0,0,40,33,20,22,Emma; Mr. Woodhouse,M,major,M,intermediate
Emma,Mr. Knightley,well you want to hear about the wedding and i shall be happy to tell you for we all behaved charmingly every body was punctual every body in their best looks not a tear and hardly a long face to be seen oh no we all felt that we were going to be only half a mile apart and were sure of meeting every day,it is impossible that emma should not miss such a companion we should not like her so well as we do sir if we could suppose it but she knows how much the marriage is to miss taylor s advantage she knows how very acceptable it must be at miss taylor s time of life to be settled in a home of her own and how important to her to be secure of a comfortable provision and therefore cannot allow herself to feel so much pain as pleasure every friend of miss taylor must be glad to have her so happily married,4,4,1,1,7,12,1,1,5,9,1,1,4,7,1,1,0,10,0,1,1,3,1,1,7,13,1,1,3,8,1,1,0,0,0,0,65,103,21,23,Mr. Knightley; Mr. Woodhouse,F,major,M,major
Mr. Woodhouse,Emma,dear emma bears every thing so well but mr knightley she is really very sorry to lose poor miss taylor and i am sure she will miss her more than she thinks for,and you have forgotten one matter of joy to me and a very considerable one that i made the match myself i made the match you know four years ago and to have it take place and be proved in the right when so many people said mr weston would never marry again may comfort me for any thing,0,4,0,1,3,4,1,1,3,5,1,1,4,5,1,1,4,2,1,1,0,1,0,1,5,8,1,1,1,4,1,1,0,0,0,0,33,59,22,24,Emma; Mr. Knightley,M,intermediate,F,major
Mr. Knightley,Mr. Woodhouse,it is impossible that emma should not miss such a companion we should not like her so well as we do sir if we could suppose it but she knows how much the marriage is to miss taylor s advantage she knows how very acceptable it must be at miss taylor s time of life to be settled in a home of her own and how important to her to be secure of a comfortable provision and therefore cannot allow herself to feel so much pain as pleasure every friend of miss taylor must be glad to have her so happily married,ah my dear i wish you would not make matches and foretell things for whatever you say always comes to pass pray do not make any more matches,4,0,1,0,12,2,1,1,9,1,1,1,7,1,1,1,10,0,1,0,3,2,1,1,13,4,1,1,8,1,1,1,0,0,0,0,103,28,23,25,Emma; Mr. Woodhouse,M,major,M,intermediate
Mr. Woodhouse,Mr. Knightley,ah my dear i wish you would not make matches and foretell things for whatever you say always comes to pass pray do not make any more matches,i do not understand what you mean by success success supposes endeavour your time has been properly and delicately spent if you have been endeavouring for the last four years to bring about this marriage a worthy employment for a young lady s mind but if which i rather imagine your making the match as you call it means only your planning it your saying to yourself one idle day i think it would be a very good thing for miss taylor if mr weston were to marry her and saying it again to yourself every now and then afterwards why do you talk of success where is your merit what are you proud of you made a lucky guess and that is all that can be said,0,6,0,1,2,14,1,1,1,11,1,1,1,9,1,1,0,8,0,1,2,1,1,1,4,21,1,1,1,9,1,1,0,0,0,0,28,128,25,27,Emma; Mr. Knightley,M,intermediate,M,major
Emma,Mr. Woodhouse,and have you never known the pleasure and triumph of a lucky guess i pity you i thought you cleverer for depend upon it a lucky guess is never merely luck there is always some talent in it and as to my poor word success which you quarrel with i do not know that i am so entirely without any claim to it you have drawn two pretty pictures but i think there may be a third a something between the do nothing and the do all if i had not promoted mr weston s visits here and given many little encouragements and smoothed many little matters it might not have come to any thing after all i think you must know hartfield enough to comprehend that,emma never thinks of herself if she can do good to others but my dear pray do not make any more matches they are silly things and break up one s family circle grievously,7,0,1,0,13,3,1,1,11,3,1,1,10,2,1,1,6,2,1,1,5,2,1,1,18,4,1,1,9,3,1,1,2,0,1,0,127,34,28,30,Mr. Knightley; Mr. Woodhouse,F,major,M,intermediate
