merge_id,speaker,addressees,text_merged,first_turn_index,last_turn_index,source_quoteIDs
0,Agnes Fleming,"['Mrs. Thingummy', 'The Surgeon']",let me see the child and die,0,0,Q0
1,The Surgeon,"['Agnes Fleming', 'Mrs. Thingummy']",oh you must not talk about dying yet,1,1,Q1
2,Mrs. Thingummy,"['Agnes Fleming', 'The Surgeon']",lor bless her dear heart no lor bless her dear heart when she has lived as long as i have sir and had thirteen children of her own and all on em dead except two and them in the wurkus with me she ll know better than to take on in that way bless her dear heart think what it is to be a mother there s a dear young lamb do,2,3,"Q2,Q3"
3,The Surgeon,['Mrs. Thingummy'],it s all over mrs thingummy,4,4,Q4
4,Mrs. Thingummy,['The Surgeon'],ah poor dear so it is poor dear,5,5,Q5
5,The Surgeon,['Mrs. Thingummy'],you needn t mind sending up to me if the child cries nurse it s very likely it will be troublesome give it a little gruel if it is she was a good looking girl too where did she come from,6,7,"Q6,Q7"
6,Mrs. Thingummy,['The Surgeon'],she was brought here last night by the overseer s order she was found lying in the street she had walked some distance for her shoes were worn to pieces but where she came from or where she was going to nobody knows,8,8,Q8
7,The Surgeon,['Mrs. Thingummy'],the old story no wedding ring i see ah good night,9,9,Q9
8,Mrs. Mann,['Mr. Bumble'],goodness gracious is that you mr bumble sir susan take oliver and them two brats upstairs and wash em directly my heart alive mr bumble how glad i am to see you sure ly lor only think only think of that that i should have forgotten that the gate was bolted on the inside on account of them dear children walk in sir walk in pray mr bumble do sir,10,10,Q10
9,Mr. Bumble,['Mrs. Mann'],do you think this respectful or proper conduct mrs mann to keep the parish officers a waiting at your garden gate when they come here upon porochial business with the porochial orphans are you aweer mrs mann that you are as i may say a porochial delegate and a stipendiary,11,11,Q11
10,Mrs. Mann,['Mr. Bumble'],i m sure mr bumble that i was only a telling one or two of the dear children as is so fond of you that it was you a coming,12,12,Q12
11,Mr. Bumble,['Mrs. Mann'],well well mrs mann it may be as you say it may be lead the way in mrs mann for i come on business and have something to say,13,13,Q13
12,Mrs. Mann,['Mr. Bumble'],now don t you be offended at what i m a going to say you ve had a long walk you know or i wouldn t mention it now will you take a little drop of somethink mr bumble,14,14,Q14
13,Mr. Bumble,['Mrs. Mann'],not a drop nor a drop,15,15,Q15
14,Mrs. Mann,['Mr. Bumble'],i think you will just a leetle drop with a little cold water and a lump of sugar now just a leetle drop,16,16,Q16
15,Mr. Bumble,['Mrs. Mann'],what is it,17,17,Q17
