A,B,i_text,j_text,article_i_count,article_j_count,article_i_present,article_j_present,auxverb_i_count,auxverb_j_count,auxverb_i_present,auxverb_j_present,conj_i_count,conj_j_count,conj_i_present,conj_j_present,adverb_i_count,adverb_j_count,adverb_i_present,adverb_j_present,ipron_i_count,ipron_j_count,ipron_i_present,ipron_j_present,negate_i_count,negate_j_count,negate_i_present,negate_j_present,ppron_i_count,ppron_j_count,ppron_i_present,ppron_j_present,prep_i_count,prep_j_count,prep_i_present,prep_j_present,quant_i_count,quant_j_count,quant_i_present,quant_j_present,i_tokens,j_tokens,i_merge_id,j_merge_id,i_addressees,A_gender,A_category,B_gender,B_category
John Dashwood,Fanny,it was my father s last request to me that i should assist his widow and daughters,certainly not but if you observe people always live for ever when there is an annuity to be paid them and she is very stout and healthy and hardly forty an annuity is a very serious business it comes over and over every year and there is no getting rid of it you are not aware of what you are doing i have known a great deal of the trouble of annuities for my mother was clogged with the payment of three to old superannuated servants by my father s will and it is amazing how disagreeable she found it twice every year these annuities were to be paid and then there was the trouble of getting it to them and then one of them was said to have died and afterwards it turned out to be no such thing my mother was quite sick of it her income was not her own she said with such perpetual claims on it and it was the more unkind in my father because otherwise the money would have been entirely at my mother s disposal without any restriction whatever it has given me such an abhorrence of annuities that i am sure i would not pin myself down to the payment of one for all the world,0,12,0,1,2,22,1,1,2,15,1,1,0,15,0,1,2,17,1,1,0,3,0,1,5,31,1,1,1,26,1,1,0,0,0,0,17,215,0,15,Fanny,M,intermediate,F,minor
John Dashwood,Fanny,he did not stipulate for any particular sum my dear fanny he only requested me in general terms to assist them and make their situation more comfortable than it was in his power to do perhaps it would have been as well if he had left it wholly to myself he could hardly suppose i should neglect them but as he required the promise i could not do less than give it at least i thought so at the time the promise therefore was given and must be performed something must be done for them whenever they leave norland and settle in a new home,certainly but however one thing must be considered when your father and mother moved to norland though the furniture of stanhill was sold all the china plate and linen was saved and is now left to your mother her house will therefore be almost completely fitted up as soon as she takes it,4,2,1,1,15,7,1,1,9,7,1,1,11,8,1,1,11,3,1,1,2,0,1,0,21,5,1,1,8,3,1,1,1,0,1,0,105,53,2,21,Fanny,M,intermediate,F,minor
John Dashwood,Fanny,why to be sure that would make great difference the time may come when harry will regret that so large a sum was parted with if he should have a numerous family for instance it would be a very convenient addition,there is no knowing what they may expect but we are not to think of their expectations the question is what you can afford to do,4,1,1,1,9,4,1,1,3,1,1,1,2,0,1,0,4,0,1,0,0,1,0,1,2,4,1,1,2,1,1,1,0,0,0,0,41,26,4,9,Fanny,M,intermediate,F,minor
John Dashwood,Fanny,perhaps then it would be better for all parties if the sum were diminished one half five hundred pounds would be a prodigious increase to their fortunes,he did not know what he was talking of i dare say ten to one but he was light headed at the time had he been in his right senses he could not have thought of such a thing as begging you to give away half your fortune from your own child,2,2,1,1,5,7,1,1,1,1,1,1,2,1,1,1,1,6,1,1,0,2,0,1,2,10,1,1,2,7,1,1,0,0,0,0,27,52,6,1,Fanny,M,intermediate,F,minor
John Dashwood,Fanny,i would not wish to do any thing mean one had rather on such occasions do too much than too little no one at least can think i have not done enough for them even themselves they can hardly expect more,to be sure it is and indeed it strikes me that they can want no addition at all they will have ten thousand pounds divided amongst them if they marry they will be sure of doing well and if they do not they may all live very comfortably together on the interest of ten thousand pounds,0,1,0,1,5,7,1,1,0,5,0,1,6,7,1,1,0,2,0,1,2,1,1,1,6,10,1,1,4,5,1,1,0,0,0,0,41,56,8,11,Fanny,M,intermediate,F,minor
John Dashwood,Fanny,certainly and i think i may afford to give them five hundred pounds a piece as it is without any addition of mine they will each have about three thousand pounds on their mother s death a very comfortable fortune for any young woman,to be sure it will indeed to say the truth i am convinced within myself that your father had no idea of your giving them any money at all the assistance he thought of i dare say was only such as might be reasonably expected of you for instance such as looking out for a comfortable small house for them helping them to move their things and sending them presents of fish and game and so forth whenever they are in season i ll lay my life that he meant nothing farther indeed it would be very strange and unreasonable if he did do but consider my dear mr dashwood how excessively comfortable your mother in law and her daughters may live on the interest of seven thousand pounds besides the thousand pounds belonging to each of the girls which brings them in fifty pounds a year a piece and of course they will pay their mother for their board out of it altogether they will have five hundred a year amongst them and what on earth can four women want for more than that they will live so cheap their housekeeping will be nothing at all they will have no carriage no horses and hardly any servants they will keep no company and can have no expenses of any kind only conceive how comfortable they will be five hundred a year i am sure i cannot imagine how they will spend half of it and as to your giving them more it is quite absurd to think of it they will be much more able to give you something,2,10,1,1,3,29,1,1,2,21,1,1,3,18,1,1,1,14,1,1,0,1,0,1,6,44,1,1,4,30,1,1,0,3,0,1,44,271,10,19,Fanny,M,intermediate,F,minor
John Dashwood,Fanny,that is very true and therefore i do not know whether upon the whole it would not be more advisable to do something for their mother while she lives rather than for them something of the annuity kind i mean my sisters would feel the good effects of it as well as herself a hundred a year would make them all perfectly comfortable,undoubtedly and after all you have no thanks for it they think themselves secure you do no more than what is expected and it raises no gratitude at all if i were you whatever i did should be done at my own discretion entirely i would not bind myself to allow them any thing yearly it may be very inconvenient some years to spare a hundred or even fifty pounds from our own expenses,5,1,1,1,6,7,1,1,4,4,1,1,7,8,1,1,7,3,1,1,2,2,1,1,10,15,1,1,6,5,1,1,2,0,1,0,63,74,12,17,Fanny,M,intermediate,F,minor
John Dashwood,Fanny,fifteen years my dear fanny her life cannot be worth half that purchase,yes and the set of breakfast china is twice as handsome as what belongs to this house a great deal too handsome in my opinion for any place they can ever afford to live in but however so it is your father thought only of them and i must say this that you owe no particular gratitude to him nor attention to his wishes for we very well know that if he could he would have left almost everything in the world to them,0,3,0,1,2,7,1,1,0,7,0,1,0,10,0,1,2,9,1,1,1,0,1,0,2,13,1,1,0,11,0,1,0,1,0,1,14,84,14,23,Fanny,M,intermediate,F,minor
John Dashwood,Fanny,it is certainly an unpleasant thing to have those kind of yearly drains on one s income one s fortune as your mother justly says is not one s own to be tied down to the regular payment of such a sum on every rent day is by no means desirable it takes away one s independence,oh beyond anything great what brother on earth would do half so much for his sisters even if really his sisters and as it is only half blood but you have such a generous spirit,3,1,1,1,4,2,1,1,1,4,1,1,3,5,1,1,3,4,1,1,1,0,1,0,3,4,1,1,7,3,1,1,0,1,0,1,57,35,16,7,Fanny,M,intermediate,F,minor
John Dashwood,Fanny,i believe you are right my love it will be better that there should be no annuity in the case whatever i may give them occasionally will be of far greater assistance than a yearly allowance because they would only enlarge their style of living if they felt sure of a larger income and would not be sixpence the richer for it at the end of the year it will certainly be much the best way a present of fifty pounds now and then will prevent their ever being distressed for money and will i think be amply discharging my promise to my father,well then let something be done for them but that something need not be three thousand pounds consider that when the money is once parted with it never can return your sisters will marry and it will be gone for ever if indeed it could be restored to our poor little boy,8,1,1,1,17,10,1,1,6,6,1,1,9,5,1,1,3,5,1,1,1,2,1,1,15,6,1,1,11,4,1,1,0,2,0,1,104,52,18,3,Fanny,M,intermediate,F,minor
