A,B,i_text,j_text,article_i_count,article_j_count,article_i_present,article_j_present,auxverb_i_count,auxverb_j_count,auxverb_i_present,auxverb_j_present,conj_i_count,conj_j_count,conj_i_present,conj_j_present,adverb_i_count,adverb_j_count,adverb_i_present,adverb_j_present,ipron_i_count,ipron_j_count,ipron_i_present,ipron_j_present,negate_i_count,negate_j_count,negate_i_present,negate_j_present,ppron_i_count,ppron_j_count,ppron_i_present,ppron_j_present,prep_i_count,prep_j_count,prep_i_present,prep_j_present,quant_i_count,quant_j_count,quant_i_present,quant_j_present,i_tokens,j_tokens,i_merge_id,j_merge_id,i_addressees,A_gender,A_category,B_gender,B_category
Elinor,Mrs. Dashwood,you may esteem him,in a few months my dear marianne elinor will in all probability be settled for life we shall miss her but she will be happy,0,1,0,1,1,5,1,1,0,1,0,1,0,0,0,0,1,2,1,1,0,0,0,0,2,4,1,1,0,3,0,1,0,0,0,0,4,25,27,29,Mrs. Dashwood,F,major,F,intermediate
Mrs. Dashwood,Elinor,as for the house itself to be sure it is too small for our family but we will make ourselves tolerably comfortable for the present as it is too late in the year for improvements perhaps in the spring if i have plenty of money as i dare say i shall we may think about building these parlors are both too small for such parties of our friends as i hope to see often collected here and i have some thoughts of throwing the passage into one of them with perhaps a part of the other and so leave the remainder of that other for an entrance this with a new drawing room which may be easily added and a bed chamber and garret above will make it a very snug little cottage i could wish the stairs were handsome but one must not expect every thing though i suppose it would be no difficult matter to widen them i shall see how much i am before hand with the world in the spring and we will plan our improvements accordingly,infirmity do you call colonel brandon infirm i can easily suppose that his age may appear much greater to you than to my mother but you can hardly deceive yourself as to his having the use of his limbs,15,1,1,1,19,4,1,1,14,2,1,1,13,3,1,1,8,3,1,1,1,0,1,0,24,9,1,1,21,6,1,1,0,0,0,0,181,39,48,50,Elinor; Margaret; Marianne,F,intermediate,F,major
Elinor,Mrs. Dashwood,infirmity do you call colonel brandon infirm i can easily suppose that his age may appear much greater to you than to my mother but you can hardly deceive yourself as to his having the use of his limbs,my dearest child at this rate you must be in continual terror of my decay and it must seem to you a miracle that my life has been extended to the advanced age of forty,1,2,1,1,4,5,1,1,2,2,1,1,3,0,1,0,3,2,1,1,0,0,0,0,9,6,1,1,6,6,1,1,0,0,0,0,39,35,50,52,Marianne; Mrs. Dashwood,F,major,F,intermediate
Mrs. Dashwood,Elinor,my dearest child at this rate you must be in continual terror of my decay and it must seem to you a miracle that my life has been extended to the advanced age of forty,perhaps thirty five and seventeen had better not have any thing to do with matrimony together but if there should by any chance happen to be a woman who is single at seven and twenty i should not think colonel brandon s being thirty five any objection to his marrying her,2,1,1,1,5,6,1,1,2,4,1,1,0,3,0,1,2,2,1,1,0,2,0,1,6,3,1,1,6,4,1,1,0,0,0,0,35,51,52,54,Elinor; Marianne,F,intermediate,F,major
Elinor,Mrs. Dashwood,had he been only in a violent fever you would not have despised him half so much confess marianne is not there something interesting to you in the flushed cheek hollow eye and quick pulse of a fever,had you any idea of his coming so soon i had none on the contrary if i have felt any anxiety at all on the subject it has been in recollecting that he sometimes showed a want of pleasure and readiness in accepting my invitation when i talked of his coming to barton does elinor expect him already,3,3,1,1,5,4,1,1,1,4,1,1,3,6,1,1,3,5,1,1,2,0,1,0,4,10,1,1,4,8,1,1,1,0,1,0,38,58,58,60,Marianne; Mrs. Dashwood,F,major,F,intermediate
Mrs. Dashwood,Marianne,i rather think you are mistaken for when i was talking to her yesterday of getting a new grate for the spare bedchamber she observed that there was no immediate hurry for it as it was not likely that the room would be wanted for some time,is there a felicity in the world superior to this margaret we will walk here at least two hours,3,2,1,1,5,2,1,1,4,0,1,0,1,3,1,1,4,1,1,1,1,0,1,0,7,1,1,1,6,2,1,1,0,0,0,0,47,19,62,64,Marianne,F,intermediate,F,major
Mrs. Dashwood,Marianne,and what sort of a young man is he,and is that all you can say for him but what are his manners on more intimate acquaintance what his pursuits his talents and genius,1,0,1,0,1,3,1,1,1,4,1,1,0,1,0,1,1,4,1,1,0,0,0,0,1,5,1,1,1,2,1,1,0,0,0,0,9,25,68,70,Elinor; John Middleton; Marianne,F,intermediate,F,major
Marianne,Elinor,and is that all you can say for him but what are his manners on more intimate acquaintance what his pursuits his talents and genius,but who is he where does he come from has he a house at allenham,0,1,0,1,3,2,1,1,4,2,1,1,1,0,1,0,4,3,1,1,0,0,0,0,5,3,1,1,2,2,1,1,0,0,0,0,25,15,70,72,Elinor; John Middleton; Mrs. Dashwood,F,major,F,major
Elinor,Mrs. Dashwood,but who is he where does he come from has he a house at allenham,i do not believe that mr willoughby will be incommoded by the attempts of either of my daughters towards what you call catching him it is not an employment to which they have been brought up men are very safe with us let them be ever so rich i am glad to find however from what you say that he is a respectable young man and one whose acquaintance will not be ineligible,1,3,1,1,2,12,1,1,2,3,1,1,0,4,0,1,3,3,1,1,0,3,0,1,3,11,1,1,2,7,1,1,0,0,0,0,15,73,72,74,John Middleton; Marianne; Mrs. Dashwood,F,major,F,intermediate
Mrs. Dashwood,Marianne,i do not believe that mr willoughby will be incommoded by the attempts of either of my daughters towards what you call catching him it is not an employment to which they have been brought up men are very safe with us let them be ever so rich i am glad to find however from what you say that he is a respectable young man and one whose acquaintance will not be ineligible,did he indeed and with elegance with spirit,3,0,1,0,12,0,1,0,3,1,1,1,4,1,1,1,3,1,1,1,3,0,1,0,11,1,1,1,7,2,1,1,0,0,0,0,73,8,74,76,Elinor; John Middleton; Marianne,F,intermediate,F,major
Marianne,Elinor,that is an expression sir john which i particularly dislike i abhor every common place phrase by which wit is intended and setting one s cap at a man or making a conquest are the most odious of all their tendency is gross and illiberal and if their construction could ever be deemed clever time has long ago destroyed all its ingenuity,well marianne for one morning i think you have done pretty well you have already ascertained mr willoughby s opinion in almost every matter of importance you know what he thinks of cowper and scott you are certain of his estimating their beauties as he ought and you have received every assurance of his admiring pope no more than is proper but how is your acquaintance to be long supported under such extraordinary despatch of every subject for discourse you will soon have exhausted each favourite topic another meeting will suffice to explain his sentiments on picturesque beauty and second marriages and then you can have nothing farther to ask,4,0,1,0,7,12,1,1,5,8,1,1,5,9,1,1,2,6,1,1,0,1,0,1,5,15,1,1,3,10,1,1,0,1,0,1,62,110,80,82,Elinor; John Middleton; Mrs. Dashwood,F,major,F,major
