quoteID,quoteText,quoteBy,quoteTo
Q0,poor miss taylor i wish she were here again what a pity it is that mr weston ever thought of her,Mr. Woodhouse,['Emma']
Q1,i cannot agree with you papa you know i cannot mr weston is such a good humoured pleasant excellent man that he thoroughly deserves a good wife and you would not have had miss taylor live with us for ever and bear all my odd humours when she might have a house of her own,Emma,['Mr. Woodhouse']
Q2,a house of her own but where is the advantage of a house of her own this is three times as large and you have never any odd humours my dear,Mr. Woodhouse,['Emma']
Q3,how often we shall be going to see them and they coming to see us we shall be always meeting we must begin we must go and pay wedding visit very soon,Emma,['Mr. Woodhouse']
Q4,my dear how am i to get so far randalls is such a distance i could not walk half so far,Mr. Woodhouse,['Emma']
Q5,no papa nobody thought of your walking we must go in the carriage to be sure,Emma,['Mr. Woodhouse']
Q6,the carriage but james will not like to put the horses to for such a little way and where are the poor horses to be while we are paying our visit,Mr. Woodhouse,['Emma']
Q7,they are to be put into mr weston s stable papa you know we have settled all that already we talked it all over with mr weston last night and as for james you may be very sure he will always like going to randalls because of his daughter s being housemaid there i only doubt whether he will ever take us anywhere else that was your doing papa you got hannah that good place nobody thought of hannah till you mentioned her james is so obliged to you,Emma,['Mr. Woodhouse']
Q8,i am very glad i did think of her it was very lucky for i would not have had poor james think himself slighted upon any account and i am sure she will make a very good servant she is a civil pretty spoken girl i have a great opinion of her whenever i see her she always curtseys and asks me how i do in a very pretty manner and when you have had her here to do needlework i observe she always turns the lock of the door the right way and never bangs it i am sure she will be an excellent servant and it will be a great comfort to poor miss taylor to have somebody about her that she is used to see whenever james goes over to see his daughter you know she will be hearing of us he will be able to tell her how we all are,Mr. Woodhouse,['Emma']
Q9,it is very kind of you mr knightley to come out at this late hour to call upon us i am afraid you must have had a shocking walk,Mr. Woodhouse,"['Emma', 'Mr. Knightley']"
Q10,not at all sir it is a beautiful moonlight night and so mild that i must draw back from your great fire,Mr. Knightley,"['Emma', 'Mr. Woodhouse']"
Q11,but you must have found it very damp and dirty i wish you may not catch cold,Mr. Woodhouse,"['Emma', 'Mr. Knightley']"
Q12,dirty sir look at my shoes not a speck on them,Mr. Knightley,"['Emma', 'Mr. Woodhouse']"
Q13,well that is quite surprising for we have had a vast deal of rain here it rained dreadfully hard for half an hour while we were at breakfast i wanted them to put off the wedding,Mr. Woodhouse,"['Emma', 'Mr. Knightley']"
Q14,by the bye i have not wished you joy being pretty well aware of what sort of joy you must both be feeling i have been in no hurry with my congratulations but i hope it all went off tolerably well how did you all behave who cried most,Mr. Knightley,"['Emma', 'Mr. Woodhouse']"
Q15,ah poor miss taylor tis a sad business,Mr. Woodhouse,"['Emma', 'Mr. Knightley']"
Q16,poor mr and miss woodhouse if you please but i cannot possibly say,Mr. Knightley,"['Emma', 'Mr. Woodhouse']"
Q17,i have a great regard for you and emma but when it comes to the question of dependence or independence at any rate it must be better to have only one to please than two,Mr. Knightley,"['Emma', 'Mr. Woodhouse']"
Q18,especially when one of those two is such a fanciful troublesome creature that is what you have in your head i know and what you would certainly say if my father were not by,Emma,"['Mr. Knightley', 'Mr. Woodhouse']"
Q19,i believe it is very true my dear indeed i am afraid i am sometimes very fanciful and troublesome,Mr. Woodhouse,"['Emma', 'Mr. Knightley']"
Q20,my dearest papa you do not think i could mean you or suppose mr knightley to mean you what a horrible idea oh no i meant only myself mr knightley loves to find fault with me you know in a joke it is all a joke we always say what we like to one another,Emma,"['Mr. Knightley', 'Mr. Woodhouse']"
Q21,emma knows i never flatter her but i meant no reflection on any body miss taylor has been used to have two persons to please she will now have but one the chances are that she must be a gainer,Mr. Knightley,"['Emma', 'Mr. Woodhouse']"
