A,B,i_text,j_text,article_i_count,article_j_count,article_i_present,article_j_present,auxverb_i_count,auxverb_j_count,auxverb_i_present,auxverb_j_present,conj_i_count,conj_j_count,conj_i_present,conj_j_present,adverb_i_count,adverb_j_count,adverb_i_present,adverb_j_present,ipron_i_count,ipron_j_count,ipron_i_present,ipron_j_present,negate_i_count,negate_j_count,negate_i_present,negate_j_present,ppron_i_count,ppron_j_count,ppron_i_present,ppron_j_present,prep_i_count,prep_j_count,prep_i_present,prep_j_present,quant_i_count,quant_j_count,quant_i_present,quant_j_present,i_tokens,j_tokens,i_merge_id,j_merge_id,i_addressees,A_gender,A_category,B_gender,B_category
Lady Bertram,Sir Thomas,i think we cannot do better let us send for the child,there is a great deal of truth in what you say and far be it from me to throw any fanciful impediment in the way of a plan which would be so consistent with the relative situations of each i only meant to observe that it ought not to be lightly engaged in and that to make it really serviceable to mrs price and creditable to ourselves we must secure to the child or consider ourselves engaged to secure to her hereafter as circumstances may arise the provision of a gentlewoman if no such establishment should offer as you are so sanguine in expecting,1,7,1,1,2,9,1,1,0,8,0,1,1,6,1,1,0,5,0,1,1,1,1,1,3,11,1,1,1,14,1,1,0,0,0,0,13,104,0,2,Mrs. Norris; Sir Thomas,F,intermediate,M,intermediate
Sir Thomas,Lady Bertram,there is a great deal of truth in what you say and far be it from me to throw any fanciful impediment in the way of a plan which would be so consistent with the relative situations of each i only meant to observe that it ought not to be lightly engaged in and that to make it really serviceable to mrs price and creditable to ourselves we must secure to the child or consider ourselves engaged to secure to her hereafter as circumstances may arise the provision of a gentlewoman if no such establishment should offer as you are so sanguine in expecting,where shall the child come to first sister to you or to us then she had better come to us,7,1,1,1,9,2,1,1,8,2,1,1,6,2,1,1,5,1,1,1,1,0,1,0,11,4,1,1,14,4,1,1,0,0,0,0,104,20,2,4,Lady Bertram; Mrs. Norris,M,intermediate,F,intermediate
Mrs. Norris,Sir Thomas,i thoroughly understand you you are everything that is generous and considerate and i am sure we shall never disagree on this point whatever i can do as you well know i am always ready enough to do for the good of those i love and though i could never feel for this little girl the hundredth part of the regard i bear your own dear children nor consider her in any respect so much my own i should hate myself if i were capable of neglecting her is not she a sister s child and could i bear to see her want while i had a bit of bread to give her my dear sir thomas with all my faults i have a warm heart and poor as i am would rather deny myself the necessaries of life than do an ungenerous thing so if you are not against it i will write to my poor sister tomorrow and make the proposal and as soon as matters are settled i will engage to get the child to mansfield you shall have no trouble about it my own trouble you know i never regard i will send nanny to london on purpose and she may have a bed at her cousin the saddler s and the child be appointed to meet her there they may easily get her from portsmouth to town by the coach under the care of any creditable person that may chance to be going i dare say there is always some reputable tradesman s wife or other going up,yes let her home be in this house we will endeavour to do our duty by her and she will at least have the advantage of companions of her own age and of a regular instructress,15,2,1,1,24,3,1,1,20,2,1,1,15,0,1,0,17,5,1,1,5,0,1,0,45,6,1,1,21,6,1,1,1,0,1,0,263,36,3,5,Lady Bertram; Sir Thomas,F,intermediate,M,intermediate
Lady Bertram,Mrs. Norris,where shall the child come to first sister to you or to us then she had better come to us,very true which are both very important considerations and it will be just the same to miss lee whether she has three girls to teach or only two there can be no difference i only wish i could be more useful but you see i do all in my power i am not one of those that spare their own trouble and nanny shall fetch her however it may put me to inconvenience to have my chief counsellor away for three days i suppose sister you will put the child in the little white attic near the old nurseries it will be much the best place for her so near miss lee and not far from the girls and close by the housemaids who could either of them help to dress her you know and take care of her clothes for i suppose you would not think it fair to expect ellis to wait on her as well as the others indeed i do not see that you could possibly place her anywhere else i hope she will prove a well disposed girl and be sensible of her uncommon good fortune in having such friends,1,9,1,1,2,19,1,1,2,10,1,1,2,19,1,1,1,15,1,1,0,4,0,1,4,31,1,1,4,16,1,1,0,0,0,0,20,195,4,6,Mrs. Norris; Sir Thomas,F,intermediate,F,intermediate
Sir Thomas,Lady Bertram,should her disposition be really bad we must not for our own children s sake continue her in the family but there is no reason to expect so great an evil we shall probably see much to wish altered in her and must prepare ourselves for gross ignorance some meanness of opinions and very distressing vulgarity of manner but these are not incurable faults nor i trust can they be dangerous for her associates had my daughters been younger than herself i should have considered the introduction of such a companion as a matter of very serious moment but as it is i hope there can be nothing to fear for them and everything to hope for her from the association,i hope she will not tease my poor pug i have but just got julia to leave it alone,6,0,1,0,14,1,1,1,9,1,1,1,5,2,1,1,10,2,1,1,2,1,1,1,17,5,1,1,13,0,1,0,2,0,1,0,121,19,7,9,Lady Bertram; Mrs. Norris,M,intermediate,F,intermediate
Mrs. Norris,Sir Thomas,that is exactly what i think and what i was saying to my husband this morning it will be an education for the child said i only being with her cousins if miss lee taught her nothing she would learn to be good and clever from them,there will be some difficulty in our way mrs norris as to the distinction proper to be made between the girls as they grow up how to preserve in the minds of my daughters the consciousness of what they are without making them think too lowly of their cousin and how without depressing her spirits too far to make her remember that she is not a miss bertram i should wish to see them very good friends and would on no account authorise in my girls the smallest degree of arrogance towards their relation but still they cannot be equals their rank fortune rights and expectations will always be different it is a point of great delicacy and you must assist us in our endeavours to choose exactly the right line of conduct,2,8,1,1,7,13,1,1,3,9,1,1,2,8,1,1,7,4,1,1,0,2,0,1,9,19,1,1,4,18,1,1,1,0,1,0,47,134,8,10,Lady Bertram; Sir Thomas,F,intermediate,M,intermediate
Lady Bertram,Mrs. Norris,i hope she will not tease my poor pug i have but just got julia to leave it alone,this is not a very promising beginning after all that i said to her as we came along i thought she would have behaved better i told her how much might depend upon her acquitting herself well at first i wish there may not be a little sulkiness of temper her poor mother had a good deal but we must make allowances for such a child and i do not know that her being sorry to leave her home is really against her for with all its faults it was her home and she cannot as yet understand how much she has changed for the better but then there is moderation in all things,0,5,0,1,1,13,1,1,1,9,1,1,2,8,1,1,2,16,1,1,1,4,1,1,5,21,1,1,0,11,0,1,0,0,0,0,19,115,9,11,Mrs. Norris; Sir Thomas,F,intermediate,F,intermediate
_unknowable,Mrs. Norris,fanny was good natured enough,my dear it is very bad but you must not expect everybody to be as forward and quick at learning as yourself,0,0,0,0,1,3,1,1,0,2,0,1,1,3,1,1,0,2,0,1,0,1,0,1,0,4,0,1,0,2,0,1,0,1,0,1,5,22,25,27,Edmund; Julia Bertram; Maria Bertram; Mrs. Norris,M,minor,F,intermediate
Mrs. Norris,Lady Bertram,to be sure my dear that is very stupid indeed and shows a great want of genius and emulation but all things considered i do not know whether it is not as well that it should be so for though you know owing to me your papa and mama are so good as to bring her up with you it is not at all necessary that she should be as accomplished as you are on the contrary it is much more desirable that there should be a difference,so fanny you are going to leave us and live with my sister how shall you like it,3,0,1,0,14,2,1,1,11,2,1,1,11,1,1,1,7,1,1,1,3,0,1,0,13,5,1,1,6,1,1,1,0,0,0,0,88,18,31,33,Julia Bertram; Lady Bertram; Maria Bertram,F,intermediate,F,intermediate
Mary Crawford,Henry Crawford,my dear sister if you can persuade him into anything of the sort it will be a fresh matter of delight to me to find myself allied to anybody so clever and i shall only regret that you have not half a dozen daughters to dispose of if you can persuade henry to marry you must have the address of a frenchwoman all that english abilities can do has been tried already i have three very particular friends who have been all dying for him in their turn and the pains which they their mothers very clever women as well as my dear aunt and myself have taken to reason coax or trick him into marrying is inconceivable he is the most horrible flirt that can be imagined if your miss bertrams do not like to have their hearts broke let them avoid henry,no i am sure you are too good you will be kinder than mary you will allow for the doubts of youth and inexperience i am of a cautious temper and unwilling to risk my happiness in a hurry nobody can think more highly of the matrimonial state than myself i consider the blessing of a wife as most justly described in those discreet lines of the poet heaven s last best gift,7,7,1,1,17,7,1,1,8,3,1,1,8,5,1,1,9,2,1,1,2,0,1,0,22,8,1,1,11,10,1,1,2,1,1,1,144,73,84,86,Dr. Grant; Henry Crawford; Mrs. Grant,F,major,M,major
