quoteID,quoteText,quoteBy,quoteTo
Q0,i think we cannot do better let us send for the child,Lady Bertram,"['Sir Thomas', 'Mrs. Norris']"
Q1,my dear sir thomas i perfectly comprehend you and do justice to the generosity and delicacy of your notions which indeed are quite of a piece with your general conduct and i entirely agree with you in the main as to the propriety of doing everything one could by way of providing for a child one had in a manner taken into one s own hands and i am sure i should be the last person in the world to withhold my mite upon such an occasion having no children of my own who should i look to in any little matter i may ever have to bestow but the children of my sisters and i am sure mr norris is too just but you know i am a woman of few words and professions do not let us be frightened from a good deed by a trifle give a girl an education and introduce her properly into the world and ten to one but she has the means of settling well without farther expense to anybody a niece of ours sir thomas i may say or at least of yours would not grow up in this neighbourhood without many advantages i don t say she would be so handsome as her cousins i dare say she would not but she would be introduced into the society of this country under such very favourable circumstances as in all human probability would get her a creditable establishment you are thinking of your sons but do not you know that of all things upon earth that is the least likely to happen brought up as they would be always together like brothers and sisters it is morally impossible i never knew an instance of it it is in fact the only sure way of providing against the connexion suppose her a pretty girl and seen by tom or edmund for the first time seven years hence and i dare say there would be mischief the very idea of her having been suffered to grow up at a distance from us all in poverty and neglect would be enough to make either of the dear sweet tempered boys in love with her but breed her up with them from this time and suppose her even to have the beauty of an angel and she will never be more to either than a sister,Mrs. Norris,"['Lady Bertram', 'Sir Thomas']"
Q2,there is a great deal of truth in what you say and far be it from me to throw any fanciful impediment in the way of a plan which would be so consistent with the relative situations of each i only meant to observe that it ought not to be lightly engaged in and that to make it really serviceable to mrs price and creditable to ourselves we must secure to the child or consider ourselves engaged to secure to her hereafter as circumstances may arise the provision of a gentlewoman if no such establishment should offer as you are so sanguine in expecting,Sir Thomas,"['Lady Bertram', 'Mrs. Norris']"
Q3,i thoroughly understand you you are everything that is generous and considerate and i am sure we shall never disagree on this point whatever i can do as you well know i am always ready enough to do for the good of those i love and though i could never feel for this little girl the hundredth part of the regard i bear your own dear children nor consider her in any respect so much my own i should hate myself if i were capable of neglecting her is not she a sister s child and could i bear to see her want while i had a bit of bread to give her my dear sir thomas with all my faults i have a warm heart and poor as i am would rather deny myself the necessaries of life than do an ungenerous thing so if you are not against it i will write to my poor sister tomorrow and make the proposal and as soon as matters are settled i will engage to get the child to mansfield you shall have no trouble about it my own trouble you know i never regard i will send nanny to london on purpose and she may have a bed at her cousin the saddler s and the child be appointed to meet her there they may easily get her from portsmouth to town by the coach under the care of any creditable person that may chance to be going i dare say there is always some reputable tradesman s wife or other going up,Mrs. Norris,"['Lady Bertram', 'Sir Thomas']"
Q4,where shall the child come to first sister to you or to us,Lady Bertram,"['Sir Thomas', 'Mrs. Norris']"
Q5,then she had better come to us,Lady Bertram,"['Sir Thomas', 'Mrs. Norris']"
Q6,yes let her home be in this house we will endeavour to do our duty by her and she will at least have the advantage of companions of her own age and of a regular instructress,Sir Thomas,"['Lady Bertram', 'Mrs. Norris']"
Q7,very true which are both very important considerations and it will be just the same to miss lee whether she has three girls to teach or only two there can be no difference i only wish i could be more useful but you see i do all in my power i am not one of those that spare their own trouble and nanny shall fetch her however it may put me to inconvenience to have my chief counsellor away for three days i suppose sister you will put the child in the little white attic near the old nurseries it will be much the best place for her so near miss lee and not far from the girls and close by the housemaids who could either of them help to dress her you know and take care of her clothes for i suppose you would not think it fair to expect ellis to wait on her as well as the others indeed i do not see that you could possibly place her anywhere else,Mrs. Norris,"['Lady Bertram', 'Sir Thomas']"
Q8,i hope she will prove a well disposed girl and be sensible of her uncommon good fortune in having such friends,Mrs. Norris,"['Lady Bertram', 'Sir Thomas']"
Q9,should her disposition be really bad we must not for our own children s sake continue her in the family but there is no reason to expect so great an evil we shall probably see much to wish altered in her and must prepare ourselves for gross ignorance some meanness of opinions and very distressing vulgarity of manner but these are not incurable faults nor i trust can they be dangerous for her associates had my daughters been younger than herself i should have considered the introduction of such a companion as a matter of very serious moment but as it is i hope there can be nothing to fear for them and everything to hope for her from the association,Sir Thomas,"['Lady Bertram', 'Mrs. Norris']"
Q10,that is exactly what i think and what i was saying to my husband this morning it will be an education for the child said i only being with her cousins if miss lee taught her nothing she would learn to be good and clever from them,Mrs. Norris,"['Lady Bertram', 'Sir Thomas']"
Q11,i hope she will not tease my poor pug i have but just got julia to leave it alone,Lady Bertram,"['Sir Thomas', 'Mrs. Norris']"
Q12,there will be some difficulty in our way mrs norris as to the distinction proper to be made between the girls as they grow up how to preserve in the minds of my daughters the consciousness of what they are without making them think too lowly of their cousin and how without depressing her spirits too far to make her remember that she is not a miss bertram i should wish to see them very good friends and would on no account authorise in my girls the smallest degree of arrogance towards their relation but still they cannot be equals their rank fortune rights and expectations will always be different it is a point of great delicacy and you must assist us in our endeavours to choose exactly the right line of conduct,Sir Thomas,"['Lady Bertram', 'Mrs. Norris']"
Q13,this is not a very promising beginning after all that i said to her as we came along i thought she would have behaved better i told her how much might depend upon her acquitting herself well at first i wish there may not be a little sulkiness of temper her poor mother had a good deal but we must make allowances for such a child and i do not know that her being sorry to leave her home is really against her for with all its faults it was her home and she cannot as yet understand how much she has changed for the better but then there is moderation in all things,Mrs. Norris,"['Lady Bertram', 'Sir Thomas']"
Q14,my dear little cousin what can be the matter you are sorry to leave mama my dear little fanny which shows you to be a very good girl but you must remember that you are with relations and friends who all love you and wish to make you happy let us walk out in the park and you shall tell me all about your brothers and sisters,Edmund,['Fanny Price']
Q15,no no not at all no thank you,Fanny Price,['Edmund']
Q16,william did not like she should come away he had told her he should miss her very much indeed,Fanny Price,['Edmund']
Q17,but william will write to you i dare say,Edmund,['Fanny Price']
Q18,yes he had promised he would but he had told her to write first,Fanny Price,['Edmund']
Q19,and when shall you do it,Edmund,['Fanny Price']
Q20,she did not know she had not any paper,Fanny Price,['Edmund']
Q21,if that be all your difficulty i will furnish you with paper and every other material and you may write your letter whenever you choose would it make you happy to write to william,Edmund,['Fanny Price']
Q22,yes very,Fanny Price,['Edmund']
Q23,then let it be done now come with me into the breakfast room we shall find everything there and be sure of having the room to ourselves,Edmund,['Fanny Price']
Q24,but cousin will it go to the post,Fanny Price,['Edmund']
Q25,yes depend upon me it shall it shall go with the other letters and as your uncle will frank it it will cost william nothing,Edmund,['Fanny Price']
Q26,my uncle,Fanny Price,['Edmund']
Q27,yes when you have written the letter i will take it to my father to frank,Edmund,['Fanny Price']
Q28,fanny was good natured enough,_unknowable,"['Maria Bertram', 'Julia Bertram', 'Edmund', 'Mrs. Norris']"
Q29,dear mama only think my cousin cannot put the map of europe together or my cousin cannot tell the principal rivers in russia or she never heard of asia minor or she does not know the difference between water colours and crayons how strange did you ever hear anything so stupid,_unknowable,"['Lady Bertram', 'Maria Bertram', 'Julia Bertram', 'Mrs. Norris']"
Q30,my dear it is very bad but you must not expect everybody to be as forward and quick at learning as yourself,Mrs. Norris,"['Lady Bertram', 'Maria Bertram', 'Julia Bertram']"
Q31,but aunt she is really so very ignorant do you know we asked her last night which way she would go to get to ireland and she said she should cross to the isle of wight she thinks of nothing but the isle of wight and she calls it the island as if there were no other island in the world i am sure i should have been ashamed of myself if i had not known better long before i was so old as she is i cannot remember the time when i did not know a great deal that she has not the least notion of yet how long ago it is aunt since we used to repeat the chronological order of the kings of england with the dates of their accession and most of the principal events of their reigns,_unknowable,"['Lady Bertram', 'Maria Bertram', 'Julia Bertram', 'Mrs. Norris']"
Q32,yes and of the roman emperors as low as severus besides a great deal of the heathen mythology and all the metals semi metals planets and distinguished philosophers,_unknowable,"['Lady Bertram', 'Maria Bertram', 'Julia Bertram', 'Mrs. Norris']"
Q33,very true indeed my dears but you are blessed with wonderful memories and your poor cousin has probably none at all there is a vast deal of difference in memories as well as in everything else and therefore you must make allowance for your cousin and pity her deficiency and remember that if you are ever so forward and clever yourselves you should always be modest for much as you know already there is a great deal more for you to learn,Mrs. Norris,"['Lady Bertram', 'Maria Bertram', 'Julia Bertram']"
Q34,yes i know there is till i am seventeen but i must tell you another thing of fanny so odd and so stupid do you know she says she does not want to learn either music or drawing,_unknowable,"['Lady Bertram', 'Maria Bertram', 'Julia Bertram', 'Mrs. Norris']"
Q35,to be sure my dear that is very stupid indeed and shows a great want of genius and emulation but all things considered i do not know whether it is not as well that it should be so for though you know owing to me your papa and mama are so good as to bring her up with you it is not at all necessary that she should be as accomplished as you are on the contrary it is much more desirable that there should be a difference,Mrs. Norris,"['Lady Bertram', 'Maria Bertram', 'Julia Bertram']"
Q36,i blush for you tom i blush for the expedient which i am driven on and i trust i may pity your feelings as a brother on the occasion you have robbed edmund for ten twenty thirty years perhaps for life of more than half the income which ought to be his it may hereafter be in my power or in yours i hope it will to procure him better preferment but it must not be forgotten that no benefit of that sort would have been beyond his natural claims on us and that nothing can in fact be an equivalent for the certain advantage which he is now obliged to forego through the urgency of your debts,Sir Thomas,['Tom Bertram']
Q37,so fanny you are going to leave us and live with my sister how shall you like it,Lady Bertram,['Fanny Price']
Q38,going to leave you,Fanny Price,['Lady Bertram']
Q39,yes my dear why should you be astonished you have been five years with us and my sister always meant to take you when mr norris died but you must come up and tack on my patterns all the same,Lady Bertram,['Fanny Price']
Q40,i shall be very sorry to go away,Fanny Price,['Lady Bertram']
Q41,yes i dare say you will that s natural enough i suppose you have had as little to vex you since you came into this house as any creature in the world,Lady Bertram,['Fanny Price']
Q42,i hope i am not ungrateful aunt,Fanny Price,['Lady Bertram']
Q43,no my dear i hope not i have always found you a very good girl,Lady Bertram,['Fanny Price']
Q44,and am i never to live here again,Fanny Price,['Lady Bertram']
Q45,never my dear but you are sure of a comfortable home it can make very little difference to you whether you are in one house or the other,Lady Bertram,['Fanny Price']
Q46,cousin something is going to happen which i do not like at all and though you have often persuaded me into being reconciled to things that i disliked at first you will not be able to do it now i am going to live entirely with my aunt norris,Fanny Price,['Edmund']
Q47,indeed,Edmund,['Fanny Price']
Q48,yes my aunt bertram has just told me so it is quite settled i am to leave mansfield park and go to the white house i suppose as soon as she is removed there,Fanny Price,['Edmund']
Q49,well fanny and if the plan were not unpleasant to you i should call it an excellent one,Edmund,['Fanny Price']
Q50,oh cousin,Fanny Price,['Edmund']
