character,community_id
Charley Bates,0
Fagin,0
Noah Claypole,0
Barney,0
Oliver Twist,0
_unknowable,0
The Landlord Of The Cripples,0
The Artful Dodger,0
The Labouring Man,0
The Clerk At The Dodger's Trial,0
Nance,0
The Driver,0
Mr. Chitling,0
Mr. Lively,0
Toby Crackit,0
The Jailer At The Dodger's Trial,0
Kags,0
Bill Sikes,0
The Doctor,0
Joe,0
The Magistrate At The Dodger's Trial,0
Mrs. Gradgrind,1
Mr. James Harthouse,1
Mr. E. W. B. Childers,1
The Waiter,1
The Chairman,1
Mr. Sleary,1
Stephen Blackpool,1
Mrs. Sparsit,1
Jane,1
Louisa Bounderby,1
Slackbridge,1
Master Kidderminster,1
Bitzer,1
Young Thomas,1
Cecilia Jupe,1
Josiah Bounderby,1
The Old Woman,1
Rachel Gradgrind,1
Thomas Gradgrind,1
The Parish Apothecary's Apprentice,2
Anny,2
The Book-stall Keeper,2
Mrs. Corney,2
Mr. Grimwig,2
Martha,2
The Surgeon,2
The Officer,2
The Stout Man,2
The Turnkey,2
Mrs. Bedwin,2
Monks,2
Mr. Brownlow,2
Mrs. Thingummy,2
Mr. Fang,2
The Magistrate With Spectacles,3
Mrs. Sowerberry,3
The Gentleman In The White Waistcoat,3
Dick,3
Mr. Gamfield,3
Mr. Sowerberry,3
Mr. Bumble,3
Mrs. Bolter,3
Mrs. Mann,3
The Magistrate With The Newspaper,3
Mr. Limbkins,3
Mr. Duff,4
Mr. Blathers,4
The Hump-backed Man,4
Rose Maylie,4
Mrs. Maylie,4
The Tinker,4
Harry Maylie,4
Mr. Brittles,4
Mr. Losberne,4
Mr. Giles,4
The Cook,4
